parent,start_time,end_time,duration_s,point_count,reason,mean_fc_kw,mean_battery_kw,all_FC_stopped_status_fraction,mean_load_kw,start_soc_pct,end_soc_pct,speed_min_kn,speed_max_kn,overlapping_sample_ids
3月26日14_00_3月26日16_00,2024-03-26 14:37:57,2024-03-26 14:39:57,150,5,stationary_charge_without_independent_external_supply_disambiguation,165.6,-68.9738604,0,96.6261396,77.275,77.4083333333,0.2,0.4,
3月26日14_00_3月26日16_00,2024-03-26 15:10:27,2024-03-26 15:12:57,180,6,stationary_charge_without_independent_external_supply_disambiguation,312.333333333,-189.627365,0,122.705968333,76.975,77.4083333333,0.2,0.214285714286,
3月27日07_00_3月27日11_00,2024-03-27 08:43:29,2024-03-27 09:38:29,3330,111,stationary_charge_without_independent_external_supply_disambiguation,198.153153153,-120.599441991,0,77.5537111622,73.7166666667,79.7583333333,0,0.95,
3月28日08_00_3月28日11_00,2024-03-28 09:13:01,2024-03-28 09:15:01,150,5,stationary_charge_without_independent_external_supply_disambiguation,252,-130.8163252,0,121.1836748,79.9083333333,80.1916666667,0.1,0.4,
3月28日08_00_3月28日11_00,2024-03-28 09:37:01,2024-03-28 09:42:01,330,11,stationary_charge_without_independent_external_supply_disambiguation,239.545454545,-146.778996727,0,92.7664578182,76.8916666667,77.6083333333,0,0,
3月28日08_00_3月28日11_00,2024-03-28 10:24:31,2024-03-28 10:30:01,360,12,stationary_charge_without_independent_external_supply_disambiguation,140.416666667,-71.5534066667,0,68.86326,67.7333333333,68.0916666667,0,0.7,
3月29日08_00_3月29日15_00,2024-03-29 10:43:04,2024-03-29 10:50:04,450,15,stationary_charge_without_independent_external_supply_disambiguation,321,-229.890961333,0,91.1090386667,59.9916666667,61.4583333333,0,0.665,
4月3日08_00_4月3日11_00,2024-04-03 08:45:44,2024-04-03 08:47:44,150,5,stationary_charge_without_independent_external_supply_disambiguation,168.6,-44.4010436,0,124.1989564,87.0833333333,87.1666666667,0,0.6,
4月3日08_00_4月3日11_00,2024-04-03 09:15:14,2024-04-03 09:16:14,90,3,stationary_charge_without_independent_external_supply_disambiguation,285,-153.249528,0,131.750472,80.425,80.5916666667,0.2,0.795,
4月3日08_00_4月3日11_00,2024-04-03 09:21:44,2024-04-03 09:23:44,150,5,stationary_charge_without_independent_external_supply_disambiguation,284.2,-146.747464,0,137.452536,80.95,81.2583333333,0.04,0.6,
