sample_id,parent,split,side,timestamp,load_kw,speed_kn,measured_fc_kw,measured_battery_kw,measured_soc_pct,boundary_kind,natural_transition_observed,neighbor_timestamp,neighbor_load_kw,neighbor_speed_kn,neighbor_state_class,evidence
train_parent_001_01,3月25日14_00_3月25日17_00,train,start,2024-03-25 14:35:25,47.18474,0,0,47.18474,93.2083333333,source_time_gap,True,2024-03-25 14:28:55,27.00372,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
train_parent_001_01,3月25日14_00_3月25日17_00,train,end,2024-03-25 16:50:26,31.966274,0,0,31.966274,60.9333333333,arrival_before_long_stop,True,2024-03-25 16:50:56,31.136858,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
train_parent_002_01,3月26日14_00_3月26日16_00,train,start,2024-03-26 14:07:27,46.0099,0,0,46.0099,81.3,source_time_gap,True,2024-03-26 14:01:27,3.419977,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
train_parent_002_01,3月26日14_00_3月26日16_00,train,end,2024-03-26 14:37:27,108.064056,1.075,124,-15.935944,77.2666666667,ambiguous_external_supply,False,2024-03-26 14:37:57,103.183108,0.4,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_002_02,3月26日14_00_3月26日16_00,train,start,2024-03-26 14:40:27,177.788759,0.2,171,6.788759,77.4,ambiguous_external_supply,False,2024-03-26 14:39:57,125.59441,0.2,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_002_02,3月26日14_00_3月26日16_00,train,end,2024-03-26 15:09:57,116.3395,1.6,313,-196.6605,76.875,ambiguous_external_supply,False,2024-03-26 15:10:27,88.0851,0.2,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_002_03,3月26日14_00_3月26日16_00,train,start,2024-03-26 15:13:27,166.4693,1.1,311,-144.5307,77.45,ambiguous_external_supply,False,2024-03-26 15:12:57,203.93931,0.214285714286,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_002_03,3月26日14_00_3月26日16_00,train,end,2024-03-26 15:54:57,31.1144,0,0,31.1144,71.6,arrival_before_long_stop,True,2024-03-26 15:55:27,31.4066,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
train_parent_003_01,3月27日07_00_3月27日11_00,train,start,2024-03-27 07:42:59,56.10255,0,0,56.10255,95.4666666667,departure_after_long_stop,True,2024-03-27 07:42:29,55.89499,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
train_parent_003_01,3月27日07_00_3月27日11_00,train,end,2024-03-27 08:42:59,65.88631,1.9,108,-42.11369,73.6916666667,ambiguous_external_supply,False,2024-03-27 08:43:29,64.73529,0.95,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_003_02,3月27日07_00_3月27日11_00,train,start,2024-03-27 09:38:59,172.70151,3.38,240,-67.29849,79.75,ambiguous_external_supply,False,2024-03-27 09:38:29,171.66702,0.873684210526,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_003_02,3月27日07_00_3月27日11_00,train,end,2024-03-27 10:49:59,35.47143,0,0,35.47143,70.3916666667,arrival_before_long_stop,True,2024-03-27 10:50:29,31.07082,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
train_parent_004_01,3月28日08_00_3月28日11_00,train,start,2024-03-28 08:22:01,33.91611,0,0,33.91611,95.1,source_time_gap,True,2024-03-28 08:15:31,1.336463,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
train_parent_004_01,3月28日08_00_3月28日11_00,train,end,2024-03-28 09:12:31,78.7589,1.8,252,-173.2411,79.8416666667,ambiguous_external_supply,False,2024-03-28 09:13:01,113.3927,0.1,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_004_02,3月28日08_00_3月28日11_00,train,start,2024-03-28 09:15:31,358.55688,0.4,209,149.55688,80.1416666667,ambiguous_external_supply,False,2024-03-28 09:15:01,250.774374,0.4,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_004_02,3月28日08_00_3月28日11_00,train,end,2024-03-28 09:36:31,73.4805,1.9,239,-165.5195,76.8333333333,ambiguous_external_supply,False,2024-03-28 09:37:01,73.5325,0,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_004_03,3月28日08_00_3月28日11_00,train,start,2024-03-28 09:42:31,240.24345,0.04,238,2.24345,77.6166666667,ambiguous_external_supply,False,2024-03-28 09:42:01,208.553636,0,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_004_03,3月28日08_00_3月28日11_00,train,end,2024-03-28 10:24:01,66.31695,1.8,141,-74.68305,67.6916666667,ambiguous_external_supply,False,2024-03-28 10:24:31,66.39831,0.7,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_004_04,3月28日08_00_3月28日11_00,train,start,2024-03-28 10:30:31,162.8413,0.1,141,21.8413,68.075,ambiguous_external_supply,False,2024-03-28 10:30:01,91.78846,0,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
train_parent_004_04,3月28日08_00_3月28日11_00,train,end,2024-03-28 10:55:31,30.67381,0,0,30.67381,65.0166666667,arrival_before_long_stop,True,2024-03-28 10:56:01,31.24804,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
validation_parent_005_01,3月29日08_00_3月29日15_00,validation,start,2024-03-29 08:49:34,48.8467,0,0,48.8467,95.5166666667,departure_after_long_stop,True,2024-03-29 08:49:04,48.53612,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
validation_parent_005_01,3月29日08_00_3月29日15_00,validation,end,2024-03-29 10:42:35,93.3234,1.9,347,-253.6766,59.8916666667,ambiguous_external_supply,False,2024-03-29 10:43:04,94.2105,0.665,ambiguous_external_supply,parent record window boundary; not claimed a complete voyage
validation_parent_005_02,3月29日08_00_3月29日15_00,validation,start,2024-03-29 12:31:05,34.956429,0,0,34.956429,58.275,departure_after_long_stop,True,2024-03-29 12:30:35,36.67222,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
validation_parent_005_02,3月29日08_00_3月29日15_00,validation,end,2024-03-29 14:30:05,31.2648,0,0,31.2648,36.6,arrival_before_long_stop,True,2024-03-29 14:30:35,30.714276,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
validation_parent_006_01,4月2日14_00_4月2日17_00,validation,start,2024-04-02 14:28:13,36.46695,0,0,36.46695,97.6666666667,departure_after_long_stop,True,2024-04-02 14:27:43,36.19441,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
validation_parent_006_01,4月2日14_00_4月2日17_00,validation,end,2024-04-02 16:19:13,30.613727,0,0,30.613727,74.7333333333,arrival_before_long_stop,True,2024-04-02 16:19:43,36.141964,0,normal_operation,observed AIS stationary prefix/suffix and sustained sailing; no zero-load requirement
