timestamp,parent,左氢燃料电池#1_kw,左氢燃料电池#1_stopped,左氢燃料电池#2_kw,左氢燃料电池#2_stopped,左氢燃料电池#3_kw,左氢燃料电池#3_stopped,左氢燃料电池#4_kw,左氢燃料电池#4_stopped,左电池簇1_kw,左电池簇1_soc,左电池簇2_kw,左电池簇2_soc,左电池簇3_kw,左电池簇3_soc,左电池簇4_kw,左电池簇4_soc,左电池簇5_kw,左电池簇5_soc,左电池簇6_kw,左电池簇6_soc,左逆变电源_kw,右氢燃料电池#1_kw,右氢燃料电池#1_stopped,右氢燃料电池#2_kw,右氢燃料电池#2_stopped,右氢燃料电池#3_kw,右氢燃料电池#3_stopped,右氢燃料电池#4_kw,右氢燃料电池#4_stopped,右电池簇1_kw,右电池簇1_soc,右电池簇2_kw,右电池簇2_soc,右电池簇3_kw,右电池簇3_soc,右电池簇4_kw,右电池簇4_soc,右电池簇5_kw,右电池簇5_soc,右电池簇6_kw,右电池簇6_soc,右逆变电源_kw,fc_total_kw,battery_total_kw,load_total_kw,soc_mean_pct,soc_channel_count,fc_all_stopped,inverter_total_kw,aligned,speed_kn,speed_source,state_class,correction,eligible
2024-06-12 14:46:35,6月12日14_00_6月12日17_00,0,0,1,0,1,0,1,0,10.3785,82.7,10.9335,82.2,9.9524,82.3,9.6744,83.1,10.4159,83.2,10.5273,82.6,44,23,0,23,0,24,0,25,0,-6.5308,83.1,-6.204,90.5,-5.38056,85.7,-4.64475,85.6,-6.5988,86.1,-6.6997,86,31.6,98,25.82339,123.82339,84.425,12,False,75.6,True,0,linear,normal_operation,none,True
2024-06-12 14:47:05,6月12日14_00_6月12日17_00,0,0,24,0,13,0,1,0,6.2715,82.6,6.105,82.1,8.8245,82.2,8.214,83.1,7.2967,83.2,7.2967,82.5,44.4,24,0,23,0,24,0,25,0,3.44454,83.2,3.31018,90.5,4.60278,85.7,5.59878,85.6,3.31018,86.2,3.31018,86,31.8,134,67.58504,201.58504,84.4083333333,12,False,76.2,True,0.06,linear,normal_operation,none,True
2024-06-12 14:47:35,6月12日14_00_6月12日17_00,0,0,24,0,23,0,24,0,2.84672,82.6,2.70216,82.1,3.70962,82.2,3.13591,83.1,3.5712,83.1,3.5712,82.5,45,24,0,23,0,24,0,25,0,3.44454,83.2,4.45434,90.5,6.9003,85.7,7.168,85.6,6.6198,86.2,6.732,86,23.7,167,54.85579,221.85579,84.4,12,False,68.7,True,0.54,linear,normal_operation,none,True
2024-06-12 14:48:05,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,3.41384,82.6,2.84672,82.1,6.0048,82.2,5.6712,83,1.57356,83.1,1.71306,82.5,46.2,24,0,24,0,24,0,24,0,5.1632,83.1,5.712,90.4,5.88,85.7,5.3032,85.5,6.44,86.1,6.608,86,23.5,168,56.32958,224.32958,84.3583333333,12,False,69.7,True,1.66666666667,linear,normal_operation,none,True
2024-06-12 14:48:35,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,6.0048,82.5,6.116,82,1.99406,82.2,1.99406,83,3.5712,83.1,3.28662,82.5,53.6,24,0,23,0,24,0,25,0,6.0372,83.1,4.872,90.4,2.5816,85.6,3.1528,85.5,7.6024,86.1,7.9937,85.9,24.9,168,55.20644,223.20644,84.325,12,False,78.5,True,3.4,linear,normal_operation,none,True
2024-06-12 14:49:05,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,-0.202191,82.5,-0.196621,82,4.27776,82.2,3.99369,83,2.2878,83.1,2.2878,82.5,51.1,24,0,24,0,24,0,25,0,-4.54971,83.1,-4.53534,90.4,-6.756,85.7,-6.744,85.5,-8.149,86.1,-8.2052,85.9,23.6,169,-26.491012,142.508988,84.3333333333,12,False,74.7,True,3.45714285714,linear,normal_operation,none,True
2024-06-12 14:49:35,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,-0.75195,82.5,-0.96918,82,-6.4844,82.2,-6.3054,83,-0.62049,83.1,-0.283972,82.4,52.3,24,0,24,0,25,0,25,0,-0.198033,83.1,-0.057783,90.4,1.72227,85.7,1.2903,85.5,-0.90321,86.1,-0.355674,86,25.2,170,-13.917522,156.082478,84.3333333333,12,False,77.5,True,1.9,linear,normal_operation,none,True
2024-06-12 14:50:05,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,3.13591,82.5,2.70702,82,8.6892,82.2,8.2436,83,1.2857,83.1,1.2857,82.5,53,24,0,24,0,24,0,25,0,1.0024,83.1,0.71808,90.4,1.72227,85.7,1.7192,85.5,3.4384,86.1,3.584,86,34.2,169,37.53148,206.53148,84.3416666667,12,False,87.2,True,2.13157894737,linear,normal_operation,none,True
2024-06-12 14:50:35,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,19.6868,82.5,19.5562,82,22.673,82.1,20.9966,82.9,16.5132,83,17.3472,82.4,54.1,24,0,24,0,25,0,24,0,14.7312,83.1,14.0058,90.4,16.1262,85.6,16.2936,85.5,17.298,86.1,17.298,85.9,34.5,169,212.5258,381.5258,84.2916666667,12,False,88.6,True,2.74,linear,normal_operation,none,True
2024-06-12 14:51:05,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,20.2032,82.3,20.4057,81.9,18.9679,82,18.249,82.8,18.5925,82.9,19.314,82.3,54.8,24,0,24,0,25,0,25,0,20.5905,83,20.5164,90.3,21.5172,85.5,20.9056,85.4,22.1445,86,22.1445,85.8,34.1,170,243.551,413.551,84.1833333333,12,False,88.9,True,6.7,linear,normal_operation,none,True
2024-06-12 14:51:35,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,23.5828,82.2,23.6256,81.7,27.9864,81.8,26.2752,82.7,23.9882,82.8,24.099,82.2,45.1,24,0,24,0,24,0,24,0,27.7606,82.9,27.3182,90.2,30.415,85.4,29.862,85.2,23.822,85.8,24.2652,85.7,42.5,168,313.0002,481.0002,84.05,12,False,87.6,True,6.86666666667,linear,normal_operation,none,True
2024-06-12 14:52:05,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,26.455,82.1,27.3847,81.6,26.7786,81.7,26.3929,82.5,23.779,82.7,23.0601,82.1,46.3,24,0,24,0,24,0,25,0,28.0968,82.7,27.0417,90,23.3788,85.2,22.9495,85.1,25.8804,85.7,25.4933,85.5,42.9,169,306.6908,475.6908,83.9083333333,12,False,89.2,True,9.7,linear,normal_operation,none,True
2024-06-12 14:52:35,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,25.465,82,25.7868,81.5,26.6684,81.6,25.6766,82.4,25.7698,82.6,24.9403,81.9,40.8,24,0,24,0,25,0,25,0,24.288,82.6,23.9449,89.9,27.5947,85.1,27.1584,85,23.226,85.6,23.5025,85.4,41.6,170,304.0214,474.0214,83.8,12,False,82.4,True,9.80952380952,linear,normal_operation,none,True
2024-06-12 14:53:05,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,25.905,81.8,25.5113,81.3,27.1092,81.4,26.2276,82.3,25.5576,82.4,25.7698,81.8,40,24,0,24,0,24,0,24,0,26.2752,82.4,25.8804,89.8,22.5478,85,22.2306,84.8,25.2168,85.4,25.8804,85.3,43.1,168,304.1117,472.1117,83.6416666667,12,False,83.1,True,9.9,linear,normal_operation,none,True
2024-06-12 14:53:35,6月12日14_00_6月12日17_00,0,0,24,0,24,0,24,0,24.2,81.7,24.244,81.2,23.8583,81.3,22.8665,82.1,25.8336,82.3,26.7168,81.7,37.8,24,0,24,0,25,0,25,0,25.7232,82.3,25.2168,89.6,25.8804,84.9,25.6039,84.7,22.9495,85.3,23.226,85.1,41.9,170,296.319,466.319,83.5166666667,12,False,79.7,True,9.9,linear,normal_operation,none,True
2024-06-12 14:54:05,6月12日14_00_6月12日17_00,0,0,25,0,24,0,24,0,43.3524,81.4,42.9942,80.9,57.77,81,54.5,81.9,37.29,82.1,36.905,81.4,39,24,0,24,0,24,0,24,0,28.16,82.1,27.7704,89.4,31.2968,84.6,29.6438,84.5,30.6356,85.1,30.305,84.9,43.1,169,450.6232,619.6232,83.275,12,False,82.1,True,10.62,linear,normal_operation,none,True
2024-06-12 14:54:35,6月12日14_00_6月12日17_00,0,0,34,0,30,0,24,0,44.8812,81.2,45.1542,80.7,41.648,80.8,40.3876,81.6,47.676,81.8,48.3884,81.2,46.4,24,0,24,0,25,0,25,0,32.395,81.9,32.7294,89.2,31.9608,84.5,30.8016,84.3,29.256,84.9,29.808,84.8,42.4,186,455.0862,641.0862,83.075,12,False,88.8,True,10.9,linear,normal_operation,none,True
2024-06-12 14:55:05,6月12日14_00_6月12日17_00,0,0,35,0,34,0,25,0,42.9942,81,43.5412,80.4,46.9326,80.5,46.6044,81.4,44.4976,81.6,44.6072,80.9,47.2,31,0,24,0,25,0,25,0,33.77,81.7,33.4457,89.1,35.815,84.3,36.2558,84.2,37.9639,84.8,36.9721,84.6,43.4,199,483.3997,682.3997,82.875,12,False,90.6,True,10.9611111111,linear,normal_operation,none,True
2024-06-12 14:55:35,6月12日14_00_6月12日17_00,0,0,35,0,35,0,25,0,43.4616,80.7,44.6899,80.2,42.7988,80.3,41.374,81.2,43.4259,81.3,43.5906,80.7,47.5,41,0,34,0,34,0,35,0,41.4495,81.5,41.415,88.8,41.8,84,41.69,83.9,43.2612,84.5,43.23,84.3,43.4,239,512.1865,751.1865,82.6166666667,12,False,90.9,True,11.7,linear,normal_operation,none,True
2024-06-12 14:56:05,6月12日14_00_6月12日17_00,0,0,35,0,35,0,25,0,45.2634,80.5,45.2369,80,47.589,80,46.0574,80.9,46.032,81.1,46.032,80.4,48.2,42,0,40,0,34,0,35,0,39.4731,81.3,39.27,88.6,37.0823,83.8,38.005,83.7,34.713,84.3,35.9803,84.1,25.1,246,500.7344,746.7344,82.3916666667,12,False,73.3,True,11.76,linear,normal_operation,none,True
2024-06-12 14:56:35,6月12日14_00_6月12日17_00,0,0,35,0,35,0,25,0,57.12,80.2,57.77,79.7,60.495,79.8,58.86,80.7,53.4966,80.8,53.606,80.2,47.6,42,0,40,0,43,0,45,0,49.8132,81.1,49.9228,88.4,51.7158,83.6,51.786,83.5,55.348,84.1,55.896,83.9,25.5,265,655.8294,920.8294,82.1666666667,12,False,73.1,True,11.875,linear,normal_operation,none,True
2024-06-12 14:57:05,6月12日14_00_6月12日17_00,0,0,35,0,35,0,24,0,61.902,79.9,62.445,79.4,65.28,79.4,62.016,80.3,59.514,80.5,60.606,79.9,47.3,50,0,41,0,52,0,46,0,57.876,80.8,57.435,88.1,57.54,83.3,56.341,83.2,56.341,83.8,58.529,83.6,26.3,283,715.825,998.825,81.85,12,False,73.6,True,12.625,linear,normal_operation,none,True
2024-06-12 14:57:35,6月12日14_00_6月12日17_00,0,0,35,0,35,0,25,0,67.208,79.5,68.292,79,66.789,79,64.074,80,65.4,80.2,65.945,79.5,40.7,51,0,41,0,53,0,55,0,54.2178,80.5,53.2231,87.8,50.8923,83,50.9092,82.9,52.7724,83.5,53.43,83.3,25.1,295,713.1528,1008.1528,81.5166666667,12,False,65.8,True,12.8,linear,normal_operation,none,True
2024-06-12 14:58:05,6月12日14_00_6月12日17_00,0,0,36,0,35,0,25,0,61.902,79.2,63.531,78.6,62.016,78.7,60.384,79.6,63.765,79.8,64.31,79.2,31.6,51,0,41,0,53,0,56,0,52.0744,80.2,52.0744,87.5,50.0139,82.7,49.6488,82.6,50.6352,83.2,52.06,83,26.3,297,682.4147,979.4147,81.1916666667,12,False,57.9,True,12.62,linear,normal_operation,none,True
2024-06-12 14:58:35,6月12日14_00_6月12日17_00,0,0,36,0,35,0,27,0,60.816,78.8,61.359,78.3,64.617,78.3,62.445,79.3,62.675,79.5,63.22,78.8,34.6,52,0,41,0,57,0,60,0,50.4334,79.9,50.6352,87.3,50.7276,82.5,50.6352,82.4,49.2652,82.9,49.1008,82.7,26.4,308,675.9294,983.9294,80.8916666667,12,False,61,True,12.395,linear,normal_operation,none,True
