parent,start_time,end_time,duration_s,point_count,reason,mean_fc_kw,mean_battery_kw,all_FC_stopped_status_fraction,mean_load_kw,start_soc_pct,end_soc_pct,speed_min_kn,speed_max_kn,overlapping_sample_ids
3月26日14_00_3月26日16_00,2024-03-26 15:58:27,2024-03-26 15:59:57,120,4,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-41.802487,0,-41.802487,71.55,71.6083333333,0,0,
3月27日07_00_3月27日11_00,2024-03-27 10:54:29,2024-03-27 10:59:59,360,12,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-87.269116,0,-87.269116,70.2833333333,70.7166666667,0,0,
3月29日08_00_3月29日15_00,2024-03-29 14:35:35,2024-03-29 14:59:35,1470,49,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-102.659716816,0,-102.659716816,36.4833333333,38.7333333333,0,0,
4月2日14_00_4月2日17_00,2024-04-02 16:22:43,2024-04-02 16:59:43,2250,75,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-103.1387898,0,-103.1387898,74.65,78.0833333333,0,0,
4月3日08_00_4月3日11_00,2024-04-03 10:55:14,2024-04-03 10:59:44,300,10,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-92.829216,0,-92.829216,67.0416666667,67.4166666667,0,0,
4月8日08_00_4月8日12_00,2024-04-08 11:40:26,2024-04-08 11:59:56,1200,40,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-93.968478325,0,-93.968478325,72.6166666667,74.2666666667,0,0,
4月9日08_00_4月9日11_00,2024-04-09 10:36:28,2024-04-09 10:59:58,1440,48,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-52.3383130208,0,-52.3383130208,56.6,57.7083333333,0,0,
4月12日08_00_4月12日16_00,2024-04-12 15:18:33,2024-04-12 15:59:33,2490,83,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-108.055601855,0,-108.055601855,50.625,54.6,0,0,
4月15日08_00_4月15日17_00,2024-04-15 10:49:38,2024-04-15 13:37:38,10110,337,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-106.71317189,0,-106.71317189,63.2416666667,79.6333333333,0,0,
4月15日08_00_4月15日17_00,2024-04-15 13:44:38,2024-04-15 14:36:08,3120,104,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-105.65631375,0,-105.65631375,79.5583333333,84.3416666667,0,0,
4月15日08_00_4月15日17_00,2024-04-15 16:46:09,2024-04-15 16:59:39,840,28,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-99.6224943929,0,-99.6224943929,65.5583333333,66.7583333333,0,0,
4月16日08_00_4月16日19_00,2024-04-16 11:27:10,2024-04-16 12:54:40,5280,176,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-105.800422631,0,-105.800422631,73.475,81.6,0,0,
4月16日08_00_4月16日19_00,2024-04-16 13:03:10,2024-04-16 14:21:40,4740,158,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-106.445659171,0,-106.445659171,81.4833333333,88.8416666667,0,0,
4月16日08_00_4月16日19_00,2024-04-16 18:50:40,2024-04-16 18:59:40,570,19,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-94.9201053158,0,-94.9201053158,62.0333333333,62.8,0,0,
4月17日07_00_4月17日17_00,2024-04-17 09:00:11,2024-04-17 09:15:41,960,32,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-109.627593969,0,-109.627593969,89.575,91.0666666667,0,0,
4月17日07_00_4月17日17_00,2024-04-17 09:37:11,2024-04-17 09:44:41,480,16,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-91.2657445,0,-91.2657445,90.7166666667,91.3666666667,0,0,
4月17日07_00_4月17日17_00,2024-04-17 16:12:11,2024-04-17 16:59:41,2880,96,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-107.397518062,0,-107.397518062,64.2333333333,68.75,0,0,
4月18日12_00_4月18日18_00,2024-04-18 17:10:13,2024-04-18 17:58:43,2940,98,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-104.241198796,0,-104.241198796,49.425,53.9083333333,0,0,
4月22日14_00_4月22日17_00,2024-04-22 16:54:50,2024-04-22 16:59:50,330,11,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-87.3283540909,0,-87.3283540909,60.225,60.625,0,0,
4月25日08_00_4月25日18_00,2024-04-25 15:06:26,2024-04-25 15:31:56,1560,52,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-106.664017827,0,-106.664017827,49.9416666667,52.375,0,0,
4月25日08_00_4月25日18_00,2024-04-25 17:26:57,2024-04-25 17:59:57,2010,67,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-108.007151134,0,-108.007151134,45.0416666667,48.1916666667,0,0,
4月28日08_00_4月28日12_00,2024-04-28 11:42:35,2024-04-28 11:59:35,1050,35,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-106.789211029,0,-106.789211029,53.9583333333,55.5666666667,0,0,
4月29日08_00_4月29日18_00,2024-04-29 17:29:38,2024-04-29 17:33:08,240,8,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-30.50525625,0,-30.50525625,72.1583333333,72.2666666667,0,0,
4月29日08_00_4月29日18_00,2024-04-29 17:36:08,2024-04-29 17:56:38,1260,42,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-86.5710004524,0,-86.5710004524,72.2416666667,73.825,0,0,
4月30日08_00_4月30日15_00,2024-04-30 14:10:41,2024-04-30 14:59:41,2970,99,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-106.128093273,0,-106.128093273,41.4333333333,46.0583333333,0,0,
5月7日08_00_5月7日18_00,2024-05-07 17:10:31,2024-05-07 17:59:31,2970,99,sustained_static_net_charge_FC_total_at_empirical_shutdown_noise_floor,0,-107.747454404,0,-107.747454404,49.175,53.825,0,0,
