parent,start_time,end_time,duration_s,point_count,exclusion_reason
3月25日14_00_3月25日17_00,2024-03-25 14:00:25,2024-03-25 14:28:55,1740,58,stationary_only_without_sailing_task
3月25日14_00_3月25日17_00,2024-03-25 16:50:56,2024-03-25 16:59:56,570,19,long_stop_dwell_core
3月26日14_00_3月26日16_00,2024-03-26 14:00:27,2024-03-26 14:01:27,90,3,stationary_only_without_sailing_task
3月26日14_00_3月26日16_00,2024-03-26 14:07:27,2024-03-26 14:37:27,1830,61,quality_cut_without_natural_transition
3月26日14_00_3月26日16_00,2024-03-26 14:37:57,2024-03-26 14:39:57,150,5,ambiguous_external_supply
3月26日14_00_3月26日16_00,2024-03-26 14:40:27,2024-03-26 15:09:57,1800,60,quality_cut_without_natural_transition
3月26日14_00_3月26日16_00,2024-03-26 15:10:27,2024-03-26 15:12:57,180,6,ambiguous_external_supply
3月26日14_00_3月26日16_00,2024-03-26 15:13:27,2024-03-26 15:54:57,2520,84,quality_cut_without_natural_transition
3月26日14_00_3月26日16_00,2024-03-26 15:55:27,2024-03-26 15:57:57,180,6,long_stop_dwell_core
3月26日14_00_3月26日16_00,2024-03-26 15:58:27,2024-03-26 15:59:57,120,4,confirmed_shore
3月27日07_00_3月27日11_00,2024-03-27 07:00:29,2024-03-27 07:31:29,1890,63,stationary_only_without_sailing_task
3月27日07_00_3月27日11_00,2024-03-27 07:36:59,2024-03-27 07:42:29,360,12,long_stop_dwell_core
3月27日07_00_3月27日11_00,2024-03-27 07:42:59,2024-03-27 08:42:59,3630,121,quality_cut_without_natural_transition
3月27日07_00_3月27日11_00,2024-03-27 08:43:29,2024-03-27 09:38:29,3330,111,ambiguous_external_supply
3月27日07_00_3月27日11_00,2024-03-27 09:38:59,2024-03-27 10:49:59,4290,143,quality_cut_without_natural_transition
3月27日07_00_3月27日11_00,2024-03-27 10:50:29,2024-03-27 10:53:59,240,8,long_stop_dwell_core
3月27日07_00_3月27日11_00,2024-03-27 10:54:29,2024-03-27 10:59:59,360,12,confirmed_shore
3月28日08_00_3月28日11_00,2024-03-28 08:00:01,2024-03-28 08:15:31,960,32,stationary_only_without_sailing_task
3月28日08_00_3月28日11_00,2024-03-28 08:22:01,2024-03-28 09:12:31,3060,102,quality_cut_without_natural_transition
3月28日08_00_3月28日11_00,2024-03-28 09:13:01,2024-03-28 09:15:01,150,5,ambiguous_external_supply
3月28日08_00_3月28日11_00,2024-03-28 09:15:31,2024-03-28 09:36:31,1290,43,quality_cut_without_natural_transition
3月28日08_00_3月28日11_00,2024-03-28 09:37:01,2024-03-28 09:42:01,330,11,ambiguous_external_supply
3月28日08_00_3月28日11_00,2024-03-28 09:42:31,2024-03-28 10:24:01,2520,84,quality_cut_without_natural_transition
3月28日08_00_3月28日11_00,2024-03-28 10:24:31,2024-03-28 10:30:01,360,12,ambiguous_external_supply
3月28日08_00_3月28日11_00,2024-03-28 10:30:31,2024-03-28 10:55:31,1530,51,quality_cut_without_natural_transition
3月28日08_00_3月28日11_00,2024-03-28 10:56:01,2024-03-28 10:59:31,240,8,long_stop_dwell_core
3月29日08_00_3月29日15_00,2024-03-29 08:00:04,2024-03-29 08:37:34,2280,76,stationary_only_without_sailing_task
3月29日08_00_3月29日15_00,2024-03-29 08:44:04,2024-03-29 08:49:04,330,11,long_stop_dwell_core
