legacy_segment_id,parent,new_sample_id,new_split,use,overlap_start,overlap_end
operating_segment_0001,3月25日14_00_3月25日17_00,,excluded,post-selection provenance only,,
operating_segment_0002,3月25日14_00_3月25日17_00,train_parent_001_01,train,"post-selection provenance only, not selection input",2024-03-25 14:35:25,2024-03-25 16:50:26
operating_segment_0003,3月26日14_00_3月26日16_00,,excluded,post-selection provenance only,,
operating_segment_0004,3月27日07_00_3月27日11_00,,excluded,post-selection provenance only,,
operating_segment_0005,3月28日08_00_3月28日11_00,,excluded,post-selection provenance only,,
operating_segment_0006,3月28日08_00_3月28日11_00,,excluded,post-selection provenance only,,
operating_segment_0007,3月29日08_00_3月29日15_00,validation_parent_005_01,validation,"post-selection provenance only, not selection input",2024-03-29 12:31:05,2024-03-29 14:30:05
operating_segment_0008,4月2日14_00_4月2日17_00,validation_parent_006_01,validation,"post-selection provenance only, not selection input",2024-04-02 14:28:13,2024-04-02 16:19:13
operating_segment_0009,4月3日08_00_4月3日11_00,,excluded,post-selection provenance only,,
operating_segment_0010,4月7日08_00_4月7日12_00,,excluded,post-selection provenance only,,
operating_segment_0011,4月7日08_00_4月7日12_00,,excluded,post-selection provenance only,,
operating_segment_0012,4月8日08_00_4月8日12_00,train_parent_009_01,train,"post-selection provenance only, not selection input",2024-04-08 08:50:56,2024-04-08 11:33:56
operating_segment_0013,4月9日08_00_4月9日11_00,train_parent_010_01,train,"post-selection provenance only, not selection input",2024-04-09 08:16:58,2024-04-09 10:30:28
operating_segment_0014,4月12日08_00_4月12日16_00,test_parent_011_01,test,"post-selection provenance only, not selection input",2024-04-12 12:02:03,2024-04-12 12:22:03
operating_segment_0015,4月15日08_00_4月15日17_00,,excluded,post-selection provenance only,,
operating_segment_0016,4月15日08_00_4月15日17_00,,excluded,post-selection provenance only,,
operating_segment_0017,4月15日08_00_4月15日17_00,,excluded,post-selection provenance only,,
operating_segment_0018,4月15日08_00_4月15日17_00,,excluded,post-selection provenance only,,
operating_segment_0019,4月15日08_00_4月15日17_00,,excluded,post-selection provenance only,,
operating_segment_0020,4月15日08_00_4月15日17_00,train_parent_012_01,train,"post-selection provenance only, not selection input",2024-04-15 15:15:08,2024-04-15 16:36:39
operating_segment_0021,4月16日08_00_4月16日19_00,train_parent_013_01,train,"post-selection provenance only, not selection input",2024-04-16 08:26:40,2024-04-16 11:26:10
operating_segment_0022,4月16日08_00_4月16日19_00,,excluded,post-selection provenance only,,
operating_segment_0023,4月16日08_00_4月16日19_00,,excluded,post-selection provenance only,,
operating_segment_0024,4月16日08_00_4月16日19_00,,excluded,post-selection provenance only,,
operating_segment_0025,4月16日08_00_4月16日19_00,,excluded,post-selection provenance only,,
operating_segment_0026,4月17日07_00_4月17日17_00,,excluded,post-selection provenance only,,
operating_segment_0027,4月17日07_00_4月17日17_00,,excluded,post-selection provenance only,,
operating_segment_0028,4月18日12_00_4月18日18_00,train_parent_015_01,train,"post-selection provenance only, not selection input",2024-04-18 15:09:43,2024-04-18 17:03:43
operating_segment_0029,4月18日12_00_4月18日18_00,,excluded,post-selection provenance only,,
operating_segment_0030,4月21日08_00_4月21日16_00,,excluded,post-selection provenance only,,
operating_segment_0031,4月21日08_00_4月21日16_00,validation_parent_016_01,validation,"post-selection provenance only, not selection input",2024-04-21 13:07:18,2024-04-21 15:14:18
operating_segment_0032,4月22日14_00_4月22日17_00,,excluded,post-selection provenance only,,
operating_segment_0033,4月22日14_00_4月22日17_00,,excluded,post-selection provenance only,,
operating_segment_0034,4月22日14_00_4月22日17_00,test_parent_017_01,test,"post-selection provenance only, not selection input",2024-04-22 14:22:50,2024-04-22 16:45:50
operating_segment_0035,4月23日13_00_4月23日18_00,,excluded,post-selection provenance only,,
operating_segment_0036,4月24日07_00_4月24日17_00,,excluded,post-selection provenance only,,
operating_segment_0037,4月25日08_00_4月25日18_00,,excluded,post-selection provenance only,,
operating_segment_0038,4月25日08_00_4月25日18_00,train_parent_020_01,train,"post-selection provenance only, not selection input",2024-04-25 14:47:56,2024-04-25 14:58:26
operating_segment_0039,4月25日08_00_4月25日18_00,,excluded,post-selection provenance only,,
operating_segment_0040,4月28日08_00_4月28日12_00,,excluded,post-selection provenance only,,
operating_segment_0041,4月29日08_00_4月29日18_00,validation_parent_022_01,validation,"post-selection provenance only, not selection input",2024-04-29 08:27:07,2024-04-29 10:44:07
operating_segment_0042,4月29日08_00_4月29日18_00,,excluded,post-selection provenance only,,
operating_segment_0043,4月29日08_00_4月29日18_00,,excluded,post-selection provenance only,,
operating_segment_0044,4月30日08_00_4月30日15_00,,excluded,post-selection provenance only,,
operating_segment_0045,4月30日08_00_4月30日15_00,,excluded,post-selection provenance only,,
operating_segment_0046,4月30日08_00_4月30日15_00,,excluded,post-selection provenance only,,
operating_segment_0047,5月7日08_00_5月7日18_00,,excluded,post-selection provenance only,,
operating_segment_0048,5月7日08_00_5月7日18_00,test_parent_024_01,test,"post-selection provenance only, not selection input",2024-05-07 16:50:01,2024-05-07 17:03:31
operating_segment_0049,5月8日08_00_5月8日17_00,test_parent_025_01,test,"post-selection provenance only, not selection input",2024-05-08 14:11:05,2024-05-08 16:07:05
operating_segment_0050,5月9日08_00_5月9日17_00,,excluded,post-selection provenance only,,
operating_segment_0051,5月9日08_00_5月9日17_00,,excluded,post-selection provenance only,,
operating_segment_0052,5月9日08_00_5月9日17_00,,excluded,post-selection provenance only,,
operating_segment_0053,5月9日08_00_5月9日17_00,,excluded,post-selection provenance only,,
operating_segment_0054,5月10日08_00_5月10日10_00,train_parent_027_01,train,"post-selection provenance only, not selection input",2024-05-10 08:30:41,2024-05-10 09:19:11
operating_segment_0055,5月11日08_00_5月11日11_00,,excluded,post-selection provenance only,,
operating_segment_0056,5月13日08_00_5月13日11_00,train_parent_029_01,train,"post-selection provenance only, not selection input",2024-05-13 08:57:50,2024-05-13 10:16:21
operating_segment_0057,5月14日12_00_5月14日19_00,,excluded,post-selection provenance only,,
operating_segment_0058,5月14日12_00_5月14日19_00,,excluded,post-selection provenance only,,
operating_segment_0059,5月14日12_00_5月14日19_00,,excluded,post-selection provenance only,,
operating_segment_0060,5月14日12_00_5月14日19_00,,excluded,post-selection provenance only,,
operating_segment_0061,5月14日12_00_5月14日19_00,train_parent_030_01,train,"post-selection provenance only, not selection input",2024-05-14 16:42:23,2024-05-14 17:07:54
operating_segment_0062,5月14日12_00_5月14日19_00,train_parent_030_01,train,"post-selection provenance only, not selection input",2024-05-14 17:08:53,2024-05-14 18:06:23
operating_segment_0063,5月14日12_00_5月14日19_00,train_parent_030_01,train,"post-selection provenance only, not selection input",2024-05-14 18:07:23,2024-05-14 18:29:23
operating_segment_0064,5月15日08_00_5月15日17_00,train_parent_031_01,train,"post-selection provenance only, not selection input",2024-05-15 08:21:24,2024-05-15 08:32:54
operating_segment_0065,5月15日08_00_5月15日17_00,,excluded,post-selection provenance only,,
operating_segment_0066,5月15日08_00_5月15日17_00,,excluded,post-selection provenance only,,
operating_segment_0067,5月15日08_00_5月15日17_00,,excluded,post-selection provenance only,,
operating_segment_0068,5月15日08_00_5月15日17_00,,excluded,post-selection provenance only,,
operating_segment_0069,5月15日08_00_5月15日17_00,,excluded,post-selection provenance only,,
operating_segment_0070,5月15日08_00_5月15日17_00,,excluded,post-selection provenance only,,
operating_segment_0071,5月17日08_00_5月17日18_00,,excluded,post-selection provenance only,,
operating_segment_0072,5月17日08_00_5月17日18_00,,excluded,post-selection provenance only,,
operating_segment_0073,5月17日08_00_5月17日18_00,,excluded,post-selection provenance only,,
operating_segment_0074,5月17日08_00_5月17日18_00,,excluded,post-selection provenance only,,
operating_segment_0075,5月17日08_00_5月17日18_00,,excluded,post-selection provenance only,,
operating_segment_0076,5月17日08_00_5月17日18_00,,excluded,post-selection provenance only,,
