parent,start_time,end_time,duration_s,point_count,sailing_before,sailing_after,mean_load_kw,mean_fc_kw,has_excluded_supply,retained_formal_points,retained_formal_support_s,sample_ids,stop_kind
3月25日14_00_3月25日17_00,2024-03-25 14:00:25,2024-03-25 14:28:55,1740,58,False,False,18.4892227586,0,False,0,0,,terminal_dwell
3月25日14_00_3月25日17_00,2024-03-25 14:35:25,2024-03-25 14:39:55,300,10,False,True,85.113569,0,False,10,300,train_parent_001_01,terminal_dwell
3月25日14_00_3月25日17_00,2024-03-25 16:45:26,2024-03-25 16:59:56,900,30,True,False,33.1354264667,0,False,11,330,train_parent_001_01,terminal_dwell
3月26日14_00_3月26日16_00,2024-03-26 14:00:27,2024-03-26 14:01:27,90,3,False,False,1.13999233333,0,False,0,0,,terminal_dwell
3月26日14_00_3月26日16_00,2024-03-26 14:07:27,2024-03-26 14:09:57,180,6,False,True,113.379241667,0,False,0,0,,terminal_dwell
3月26日14_00_3月26日16_00,2024-03-26 15:49:57,2024-03-26 15:59:57,630,21,True,False,21.9352742857,0,True,0,0,,terminal_dwell
3月27日07_00_3月27日11_00,2024-03-27 07:00:29,2024-03-27 07:31:29,1890,63,False,False,0.0271158730159,0,False,0,0,,terminal_dwell
3月27日07_00_3月27日11_00,2024-03-27 07:36:59,2024-03-27 07:47:59,690,23,False,True,58.4589869565,0,False,0,0,,terminal_dwell
3月27日07_00_3月27日11_00,2024-03-27 10:44:59,2024-03-27 10:59:59,930,31,True,False,-11.6314633226,0,True,0,0,,terminal_dwell
3月28日08_00_3月28日11_00,2024-03-28 08:00:01,2024-03-28 08:15:31,960,32,False,False,0.16041634375,0,False,0,0,,terminal_dwell
3月28日08_00_3月28日11_00,2024-03-28 08:22:01,2024-03-28 08:25:31,240,8,False,True,72.55888875,0,False,0,0,,terminal_dwell
3月28日08_00_3月28日11_00,2024-03-28 10:50:31,2024-03-28 10:59:31,570,19,True,False,34.3948963158,0,False,0,0,,terminal_dwell
3月29日08_00_3月29日15_00,2024-03-29 08:00:04,2024-03-29 08:37:34,2280,76,False,False,0.0425725394737,0,False,0,0,,terminal_dwell
3月29日08_00_3月29日15_00,2024-03-29 08:44:04,2024-03-29 08:54:34,660,22,False,True,59.103085,0,False,0,0,,terminal_dwell
3月29日08_00_3月29日15_00,2024-03-29 10:43:04,2024-03-29 12:36:05,6811,227,True,True,41.5423045066,21.6123348018,True,11,330,validation_parent_005_01,long_bracketed_stop
3月29日08_00_3月29日15_00,2024-03-29 14:25:05,2024-03-29 14:59:35,2100,70,True,False,-62.7640831429,0,True,11,330,validation_parent_005_01,terminal_dwell
