sample_id,split,parent,measured_start_soc_pct,measured_end_soc_pct,all_12_channels_available_fraction,any_channel_available_fraction,max_adjacent_soc_jump_pct,implausible_jump_count,continuous_and_plausible,reliability_scope,used_for_simulation_initialization
train_parent_001_01,train,3月25日14_00_3月25日17_00,93.2083333333,60.9333333333,1,1,0.316666666667,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
validation_parent_005_01,validation,3月29日08_00_3月29日15_00,58.275,36.6,1,1,0.558333333333,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
validation_parent_006_01,validation,4月2日14_00_4月2日17_00,97.6666666667,74.7333333333,1,1,0.258333333333,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
train_parent_009_01,train,4月8日08_00_4月8日12_00,92.4666666667,72.3083333333,1,1,0.275,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
train_parent_010_01,train,4月9日08_00_4月9日11_00,93.525,56.6916666667,1,1,0.258333333333,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
test_parent_011_01,test,4月12日08_00_4月12日16_00,67.275,64.8,1,1,0.266666666667,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
train_parent_012_01,train,4月15日08_00_4月15日17_00,81.9166666667,66,1,1,0.175,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
train_parent_013_01,train,4月16日08_00_4月16日19_00,95.6083333333,73.475,1,1,0.216666666667,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
train_parent_015_01,train,4月18日12_00_4月18日18_00,67.5583333333,49.4333333333,1,1,0.433333333333,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
validation_parent_016_01,validation,4月21日08_00_4月21日16_00,58.7583333333,52.325,1,1,0.2,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
test_parent_017_01,test,4月22日14_00_4月22日17_00,94.1,60.3583333333,1,1,0.3,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
train_parent_020_01,train,4月25日08_00_4月25日18_00,50.3416666667,49.6666666667,1,1,0.0583333333333,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
validation_parent_022_01,validation,4月29日08_00_4月29日18_00,95.9,67.475,1,1,0.3,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
test_parent_024_01,test,5月7日08_00_5月7日18_00,49.675,48.875,1,1,0.0583333333333,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
test_parent_025_01,test,5月8日08_00_5月8日17_00,54.5166666667,39.6166666667,1,1,0.708333333333,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
train_parent_027_01,train,5月10日08_00_5月10日10_00,83.5916666667,72.9083333333,1,1,0.175,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
train_parent_029_01,train,5月13日08_00_5月13日11_00,97.0833333333,78.8583333333,1,1,0.25,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
train_parent_030_01,train,5月14日12_00_5月14日19_00,80.3916666667,64.475,1,1,0.2,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
train_parent_031_01,train,5月15日08_00_5月15日17_00,92.4416666667,91.4333333333,1,1,0.0916666666667,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
train_parent_036_01,train,5月27日08_00_5月27日19_00,97.4166666667,64.9,1,1,0.258333333333,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
test_parent_041_01,test,6月6日10_00_6月6日21_00,93.5916666667,58.125,1,1,0.325,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
test_parent_041_02,test,6月6日10_00_6月6日21_00,50.0583333333,37.5083333333,1,1,0.491666666667,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
validation_parent_042_01,validation,6月7日00_00_6月7日24_00,62.65,60.3583333333,1,1,0.0666666666667,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
test_parent_045_01,test,6月13日08_00_6月13日14_00,63.2666666667,55.2666666667,1,1,0.0833333333333,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
validation_parent_046_01,validation,6月14日08_00_6月15日18_00,47.2666666667,45.7833333333,1,1,0.2,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
test_parent_054_01,test,7月9日08_00_7月9日16_00,62.1833333333,50.6916666667,1,1,0.15,0,True,"arithmetic mean of 12 clusters; range, availability, 2C plus 2 percentage-point quantization continuity only; not sensor calibration or energy-weighted pack SOC",False
