parent,start_time,end_time,duration_s,point_count,reason,mean_fc_kw,mean_battery_kw,all_FC_stopped_status_fraction,mean_load_kw,start_soc_pct,end_soc_pct,speed_min_kn,speed_max_kn,overlapping_sample_ids
3月25日14_00_3月25日17_00,2024-03-25 15:47:56,2024-03-25 15:54:26,420,14,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,373,-116.074478857,0,256.925521143,81.2583333333,81.9583333333,3.335,9.5,train_parent_001_01
3月26日14_00_3月26日16_00,2024-03-26 14:56:27,2024-03-26 15:09:57,840,28,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,310.142857143,-171.926923214,0,138.215933929,74.75,76.875,1.6,9.94285714286,train_parent_002_02
3月26日14_00_3月26日16_00,2024-03-26 15:13:27,2024-03-26 15:16:27,210,7,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,309.857142857,-127.61104,0,182.246102857,77.45,77.825,1.1,6.64,train_parent_002_03
3月27日07_00_3月27日11_00,2024-03-27 08:35:29,2024-03-27 08:42:59,480,16,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,274,-148.31824,0,125.68176,72.65,73.6916666667,1.9,9.97894736842,train_parent_003_01
3月27日07_00_3月27日11_00,2024-03-27 09:38:59,2024-03-27 09:40:29,120,4,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,270.25,-60.092785,0,210.157215,79.75,79.85,3.38,7.22105263158,train_parent_003_02
3月27日07_00_3月27日11_00,2024-03-27 09:43:29,2024-03-27 09:44:29,90,3,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,350.666666667,-46.147286,0,304.519380667,79.675,79.7416666667,9.4,10.5,train_parent_003_02
3月27日07_00_3月27日11_00,2024-03-27 09:46:29,2024-03-27 09:48:29,150,5,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,351.2,-181.80816,0,169.39184,79.6666666667,79.9833333333,9.1,10.1,train_parent_003_02
3月28日08_00_3月28日11_00,2024-03-28 09:08:31,2024-03-28 09:12:31,270,9,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,251.444444444,-143.200211556,0,108.244232889,79.3166666667,79.8416666667,1.8,8.8,train_parent_004_01
3月28日08_00_3月28日11_00,2024-03-28 09:30:01,2024-03-28 09:31:01,90,3,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,239.333333333,-19.2701166667,0,220.063216667,76.275,76.2916666667,6,9.21904761905,train_parent_004_02
3月28日08_00_3月28日11_00,2024-03-28 09:32:01,2024-03-28 09:36:31,300,10,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,239.2,-112.4335441,0,126.7664559,76.325,76.8333333333,1.9,6.15714285714,train_parent_004_02
3月28日08_00_3月28日11_00,2024-03-28 10:18:31,2024-03-28 10:24:01,360,12,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,140.416666667,-61.0841625,0,79.3325041667,67.4,67.6916666667,1.8,8.9,train_parent_004_03
3月29日08_00_3月29日15_00,2024-03-29 10:38:34,2024-03-29 10:42:35,271,9,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,347.666666667,-211.806715556,0,135.859951111,59.1083333333,59.8916666667,1.9,8.2,
3月29日08_00_3月29日15_00,2024-03-29 13:29:35,2024-03-29 13:37:05,480,16,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,358.1875,-10.844036875,0,347.343463125,48.85,48.9083333333,9.59,11.0095238095,validation_parent_005_01
4月2日14_00_4月2日17_00,2024-04-02 15:37:43,2024-04-02 15:42:43,330,11,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,171.727272727,-72.0520312727,0,99.6752414545,80.6166666667,80.9583333333,1.9,7.7,validation_parent_006_01
4月2日14_00_4月2日17_00,2024-04-02 15:52:43,2024-04-02 15:54:13,120,4,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,171.5,-48.2068975,0,123.2931025,78.5416666667,78.6083333333,2.5,8.97,validation_parent_006_01
4月3日08_00_4月3日11_00,2024-04-03 09:11:14,2024-04-03 09:14:44,240,8,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,282.875,-177.07539575,0,105.79960425,79.8083333333,80.3416666667,1.9,8.86666666667,train_parent_007_02
4月3日08_00_4月3日11_00,2024-04-03 09:18:44,2024-04-03 09:21:14,180,6,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,284,-199.846116667,0,84.1538833333,80.4166666667,80.8583333333,1.02,9.315,
4月3日08_00_4月3日11_00,2024-04-03 09:40:44,2024-04-03 09:44:44,270,9,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,284.333333333,-152.396013778,0,131.937319556,78.5166666667,79.0916666667,1.9,7.3,train_parent_007_03
4月7日08_00_4月7日12_00,2024-04-07 10:05:54,2024-04-07 10:08:54,210,7,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,173.428571429,-83.4654387143,0,89.9631327143,79.35,79.5916666667,1.825,7.5,train_parent_008_01
4月7日08_00_4月7日12_00,2024-04-07 10:15:24,2024-04-07 10:18:54,240,8,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,171.875,-102.6897475,0,69.1852525,79.7083333333,79.9916666667,1.9,4.95,
4月7日08_00_4月7日12_00,2024-04-07 10:29:24,2024-04-07 10:32:54,240,8,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,171.75,-73.992731,0,97.757269,80.1083333333,80.35,1.7,6.9,
4月7日08_00_4月7日12_00,2024-04-07 10:42:54,2024-04-07 10:44:54,150,5,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,172.6,-92.8016222,0,79.7983778,80.7333333333,80.9166666667,1.80952380952,6.45714285714,
4月7日08_00_4月7日12_00,2024-04-07 10:56:24,2024-04-07 10:57:24,90,3,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,173.333333333,-68.1792466667,0,105.154086667,81.4833333333,81.5583333333,1.2,5.9380952381,
4月7日08_00_4月7日12_00,2024-04-07 10:58:24,2024-04-07 11:01:54,240,8,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,170.25,-95.3442375,0,74.9057625,81.6,81.9,1.9,2.68095238095,
4月7日08_00_4月7日12_00,2024-04-07 11:06:54,2024-04-07 11:14:54,510,17,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,171.705882353,-68.3224940588,0,103.383388294,81.9,82.3666666667,1.8,4.295,train_parent_008_02
4月7日08_00_4月7日12_00,2024-04-07 11:45:24,2024-04-07 11:48:24,210,7,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,293,-113.369001429,0,179.630998571,71.15,71.475,4,9.82,train_parent_008_03
4月12日08_00_4月12日16_00,2024-04-12 10:48:03,2024-04-12 10:55:03,450,15,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,434.2,-208.650022533,0,225.549977467,65.9416666667,67.2666666667,1.6,9.015,
4月12日08_00_4月12日16_00,2024-04-12 14:56:03,2024-04-12 14:57:03,90,3,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,203.333333333,-84.446365,0,118.886968333,51.575,51.6583333333,4.8,7.8,
4月16日08_00_4月16日19_00,2024-04-16 10:00:10,2024-04-16 10:09:40,600,20,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,344.65,-92.1603186,0,252.4896814,82.725,83.525,1.8,10.24,train_parent_013_01
4月16日08_00_4月16日19_00,2024-04-16 14:29:40,2024-04-16 14:32:10,180,6,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,164.166666667,-35.7884926667,0,128.378174,88.4666666667,88.5416666667,2.16842105263,2.5,
4月16日08_00_4月16日19_00,2024-04-16 15:24:10,2024-04-16 15:25:40,120,4,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,427,-161.830845,0,265.169155,88.275,88.5333333333,5.8,10.13,train_parent_013_02
4月16日08_00_4月16日19_00,2024-04-16 16:51:40,2024-04-16 16:57:10,360,12,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,360,-203.319184,0,156.680816,69.9333333333,70.9416666667,1.9,9.5,train_parent_013_02
4月16日08_00_4月16日19_00,2024-04-16 18:04:40,2024-04-16 18:10:40,390,13,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,417.692307692,-65.3114356923,0,352.380872,62.4,62.7166666667,10.4,11.75,train_parent_013_03
4月17日07_00_4月17日17_00,2024-04-17 11:51:41,2024-04-17 11:55:41,270,9,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,170.888888889,-93.45241,0,77.4364788889,68.75,69.0916666667,1.9,6.7,train_parent_014_01
4月17日07_00_4月17日17_00,2024-04-17 14:14:41,2024-04-17 14:30:41,990,33,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,252.090909091,-10.3586603636,0,241.732248727,67.925,68.075,8.5,10.3,train_parent_014_02
4月17日07_00_4月17日17_00,2024-04-17 14:42:41,2024-04-17 14:56:11,840,28,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,247.607142857,-39.3386941429,0,208.268448714,67.1916666667,67.6583333333,6.2,9.25714285714,train_parent_014_02
4月17日07_00_4月17日17_00,2024-04-17 14:57:11,2024-04-17 14:58:11,90,3,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,247.333333333,-3.890668,0,243.442665333,67.6416666667,67.6666666667,8.19523809524,9.1,train_parent_014_02
4月17日07_00_4月17日17_00,2024-04-17 14:59:11,2024-04-17 15:00:41,120,4,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,247.75,-5.70765175,0,242.04234825,67.6583333333,67.675,9.10952380952,9.3,train_parent_014_02
4月17日07_00_4月17日17_00,2024-04-17 15:03:11,2024-04-17 15:04:41,120,4,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,247.25,-6.656961,0,240.593039,67.6666666667,67.675,9.31,9.4,train_parent_014_02
4月17日07_00_4月17日17_00,2024-04-17 15:06:41,2024-04-17 15:09:41,210,7,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,247.571428571,-6.15510871429,0,241.416319857,67.675,67.7,9,9.2,train_parent_014_02
4月17日07_00_4月17日17_00,2024-04-17 15:11:41,2024-04-17 15:12:41,90,3,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,247.666666667,-6.54825366667,0,241.118413,67.6833333333,67.6916666667,8.97777777778,9.1,train_parent_014_02
4月17日07_00_4月17日17_00,2024-04-17 15:13:41,2024-04-17 15:14:41,90,3,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,247,-7.50631766667,0,239.493682333,67.6916666667,67.7,8.97,9.015,train_parent_014_02
4月17日07_00_4月17日17_00,2024-04-17 15:16:11,2024-04-17 15:20:11,270,9,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,247.111111111,-7.41688511111,0,239.694226,67.7083333333,67.7166666667,9,9.3,train_parent_014_02
4月18日12_00_4月18日18_00,2024-04-18 14:57:13,2024-04-18 15:01:43,300,10,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,280.3,-155.476842,0,124.823158,65.9416666667,66.55,1.9,7.9,train_parent_015_01
4月18日12_00_4月18日18_00,2024-04-18 16:02:43,2024-04-18 16:03:43,90,3,sustained_sailing_FC_generation_net_battery_charge_SOC_rise_positive_balance,194,-63.457998,0,130.542002,62.1,62.1916666667,6.72,9.9,train_parent_015_02
