parent_id,parent,chronological_index,split,split_reason,original_chronological_split,source_points,formal_sample_count,formal_source_points,stress_source_points,excluded_source_points,start_time,end_time
parent_001,3月25日14_00_3月25日17_00,1,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,348,1,271,0,77,2024-03-25 14:00:25,2024-03-25 16:59:56
parent_002,3月26日14_00_3月26日16_00,2,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,229,3,205,0,24,2024-03-26 14:00:27,2024-03-26 15:59:57
parent_003,3月27日07_00_3月27日11_00,3,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,470,2,264,0,206,2024-03-27 07:00:29,2024-03-27 10:59:59
parent_004,3月28日08_00_3月28日11_00,4,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,348,4,280,0,68,2024-03-28 08:00:01,2024-03-28 10:59:31
parent_005,3月29日08_00_3月29日15_00,5,validation,validation: remaining independent parent with complete feasible natural operation,train,828,1,239,0,589,2024-03-29 08:00:04,2024-03-29 14:59:35
parent_006,4月2日14_00_4月2日17_00,6,validation,validation: remaining independent parent with complete feasible natural operation,train,349,1,223,0,126,2024-04-02 14:00:12,2024-04-02 16:59:43
parent_007,4月3日08_00_4月3日11_00,7,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,349,4,262,0,87,2024-04-03 08:00:14,2024-04-03 10:59:44
parent_008,4月7日08_00_4月7日12_00,8,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,468,3,254,0,214,2024-04-07 08:00:24,2024-04-07 11:59:24
parent_009,4月8日08_00_4月8日12_00,9,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,458,1,327,0,131,2024-04-08 08:00:26,2024-04-08 11:59:56
parent_010,4月9日08_00_4月9日11_00,10,train,training: remaining independent parent; normal operating fragments retained only after semantic and physical screening,train,349,1,271,0,78,2024-04-09 08:00:28,2024-04-09 10:59:58
parent_011,4月12日08_00_4月12日16_00,11,test,test raw-feature representative order 4; complete natural and independently feasible,train,938,1,41,0,897,2024-04-12 08:00:03,2024-04-12 15:59:33
