sample_id,parent_id,parent,assigned_split,split,relative_path,start_time,end_time,source_points_30s,natural_complete,start_boundary,end_boundary,inclusion_reason,start_speed_kn,end_speed_kn,max_speed_kn,measured_fc_zero_fraction,short_stop_count,stationary_duration_s,sailing_duration_s,alignment_repair_channel_count,alignment_repaired_power_points,onboard_charging_point_count,onboard_charging_duration_s,measured_start_soc_pct,measured_end_soc_pct,boundary_load_nonzero_reason,physical_feasibility,qa_plot,duration_s,point_count_1s,energy_kwh,mean_load_kw,median_load_kw,p90_load_kw,p95_load_kw,p99_load_kw,max_load_kw,start_load_kw,end_load_kw,above600_duration_s,above600_load_energy_kwh,above600_deficit_energy_kwh,low_load_duration_s,medium_load_duration_s,high_load_duration_s,delta_mean_kw_per_s,delta_std_kw_per_s,delta_abs_mean_kw_per_s,delta_abs_p90_kw_per_s,delta_abs_p95_kw_per_s,delta_abs_p99_kw_per_s,delta_abs_max_kw_per_s,difficulty_descriptor
train_parent_001_01,parent_001,3月25日14_00_3月25日17_00,train,train,train/train_parent_001_01.csv,2024-03-25 14:35:25,2024-03-25 16:50:26,271,False,source_time_gap,arrival_before_long_stop,quality_verified_parent_window_operation,0,0,12.7,0.394833948339,0,540,7561,2171,271,14,420,93.2083333333,60.9333333333,,feasible,,8101,8102,836.462514789,371.715226915,350.743119635,586.0788832,593.1702,618.440341307,650.7618,47.18474,31.966274,333,56.7719110669,1.27191106691,1193,4545,2363,-0.00187859103814,1.15480366918,0.473021864214,1.14895232198,2.32049985315,5.16674469176,14.204390237,not_test
train_parent_002_01,parent_002,3月26日14_00_3月26日16_00,train,train,train/train_parent_002_01.csv,2024-03-26 14:07:27,2024-03-26 14:37:27,61,False,source_time_gap,ambiguous_external_supply,quality_verified_parent_window_operation,0,1.075,8.8,0.327868852459,0,90,1710,69,1,0,0,81.3,77.2666666667,,feasible,,1800,1801,104.758441482,209.516882963,229.420944335,337.71597227,341.154262619,350.139407733,352.1819,46.0099,108.064056,0,0,0,655,1145,0,0.0344745311111,1.49798223333,0.658364544444,1.7143061702,2.76529872125,7.46781995052,11.3084273335,not_test
train_parent_002_02,parent_002,3月26日14_00_3月26日16_00,train,train,train/train_parent_002_02.csv,2024-03-26 14:40:27,2024-03-26 15:09:57,60,False,ambiguous_external_supply,ambiguous_external_supply,quality_verified_parent_window_operation,0.2,1.6,11.7,0,0,0,1770,86,2,28,840,77.4,76.875,,feasible,,1770,1771,129.065955027,262.507027174,232.521162642,482.315672305,486.114587433,488.693235187,489.3527,177.788759,116.3395,0,0,0,701,531,538,-0.0347170954802,2.03941008177,0.863938588136,1.98406370805,3.48757365037,11.5434487083,13.6778175022,not_test
train_parent_002_03,parent_002,3月26日14_00_3月26日16_00,train,train,train/train_parent_002_03.csv,2024-03-26 15:13:27,2024-03-26 15:54:57,84,False,ambiguous_external_supply,arrival_before_long_stop,quality_verified_parent_window_operation,1.1,0,10.9,0.511904761905,0,210,2280,178,2,7,180,77.45,71.6,,feasible,,2490,2491,167.089500705,241.575181742,284.212432267,358.767279774,376.346019193,422.883454701,431.067,166.4693,31.1144,0,0,0,930,1450,110,-0.0543593975904,1.78747179184,0.878306707631,3.06452202674,4.06070065169,8.10559411297,9.73505729481,not_test
train_parent_003_01,parent_003,3月27日07_00_3月27日11_00,train,train,train/train_parent_003_01.csv,2024-03-27 07:42:59,2024-03-27 08:42:59,121,False,departure_after_long_stop,ambiguous_external_supply,quality_verified_parent_window_operation,0,1.9,12.2,0.338842975207,0,270,3330,601,120,16,480,95.4666666667,73.6916666667,,feasible,,3600,3601,545.694318323,545.694318323,776.529771252,793.731254381,797.350403285,806.986424732,811.0917,56.10255,65.88631,2034,443.294791572,104.294791572,849,352,2399,0.00271771111111,2.05817659026,0.659743411111,1.50520629735,2.7074690963,5.24568577772,27.0843452924,not_test
train_parent_003_02,parent_003,3月27日07_00_3月27日11_00,train,train,train/train_parent_003_02.csv,2024-03-27 09:38:59,2024-03-27 10:49:59,143,False,ambiguous_external_supply,arrival_before_long_stop,quality_verified_parent_window_operation,3.38,0,11.8,0.482517482517,1,300,3960,699,139,12,330,79.75,70.3916666667,,feasible,,4260,4261,328.002767377,277.18543722,330.664205579,484.860580059,491.084558238,496.136052089,497.7431,172.70151,35.47143,0,0,0,1797,797,1666,-0.0322136338028,1.75370852231,0.765000810329,2.08581883751,2.99984344012,8.16722487557,17.0582959556,not_test
train_parent_004_01,parent_004,3月28日08_00_3月28日11_00,train,train,train/train_parent_004_01.csv,2024-03-28 08:22:01,2024-03-28 09:12:31,102,False,source_time_gap,ambiguous_external_supply,quality_verified_parent_window_operation,0,1.8,12,0.470588235294,1,300,2730,151,0,9,270,95.1,79.8416666667,,feasible,,3030,3031,344.704465329,409.549859797,488.75737863,657.778963432,663.676753672,680.285913542,681.1392,33.91611,78.7589,1385,250.946872817,20.1135394839,1044,342,1644,0.0147996006601,2.74822927784,1.24851590693,3.20530649778,6.52442309911,12.4836872089,19.8069170827,not_test
train_parent_004_02,parent_004,3月28日08_00_3月28日11_00,train,train,train/train_parent_004_02.csv,2024-03-28 09:15:31,2024-03-28 09:36:31,43,False,ambiguous_external_supply,ambiguous_external_supply,quality_verified_parent_window_operation,0.4,1.9,10.8761904762,0,0,0,1260,86,0,13,390,80.1416666667,76.8333333333,,feasible,,1260,1261,142.431284716,406.946527759,434.596637407,641.577663981,647.969625886,706.817676291,727.9675,358.55688,73.4805,239,42.83346117,3.00012783664,286,235,739,-0.226251095238,3.07670472964,1.78177165873,4.80474328652,7.24662710141,12.3361335407,15.1725438074,not_test
train_parent_004_03,parent_004,3月28日08_00_3月28日11_00,train,train,train/train_parent_004_03.csv,2024-03-28 09:42:31,2024-03-28 10:24:01,84,False,ambiguous_external_supply,ambiguous_external_supply,quality_verified_parent_window_operation,0.04,1.8,12.5,0,0,0,2490,198,5,12,360,77.6166666667,67.6916666667,,feasible,,2490,2491,272.448829966,393.901922843,469.222764994,479.147099737,483.454401073,621.190268222,633.5981,240.24345,66.31695,64,10.9656642987,0.298997631989,343,740,1407,-0.06985,1.81187875071,0.584173694779,1.03886040654,2.62983542732,9.76281459621,16.2616888652,not_test
train_parent_004_04,parent_004,3月28日08_00_3月28日11_00,train,train,train/train_parent_004_04.csv,2024-03-28 10:30:31,2024-03-28 10:55:31,51,False,ambiguous_external_supply,arrival_before_long_stop,quality_verified_parent_window_operation,0.1,0,11.1,0.450980392157,0,300,1200,397,49,0,0,68.075,65.0166666667,,feasible,,1500,1501,81.0575939969,194.538225593,216.943021206,400.322258762,404.082793741,410.032701808,410.7168,162.8413,30.67381,0,0,0,729,615,156,-0.08811166,1.00054644698,0.584354014667,1.83749148196,2.41491034753,3.45276868611,4.52845560516,not_test
validation_parent_005_01,parent_005,3月29日08_00_3月29日15_00,validation,validation,validation/validation_parent_005_01.csv,2024-03-29 12:31:05,2024-03-29 14:30:05,239,True,departure_after_long_stop,arrival_before_long_stop,complete_natural_voyage,0,0,12.5,0.309623430962,0,450,6690,1182,236,16,480,58.275,36.6,,feasible,,7140,7141,645.039806599,325.230154588,352.860903056,408.852055545,554.213220556,561.789771835,570.3444,34.956429,31.2648,0,0,0,1140,5098,902,-0.00051703487395,1.02151670852,0.446046059244,0.98057576795,1.85576009657,4.96782191812,8.56501094694,not_test
