parent,start_time,end_time,duration_s,sailing_before,sailing_after,bracketed
3月25日14_00_3月25日17_00,2024-03-25 14:00:25,2024-03-25 14:28:55,1740,False,False,False
3月25日14_00_3月25日17_00,2024-03-25 14:35:25,2024-03-25 14:39:25,270,False,True,False
3月25日14_00_3月25日17_00,2024-03-25 16:45:56,2024-03-25 16:59:56,870,True,False,False
3月26日14_00_3月26日16_00,2024-03-26 14:00:27,2024-03-26 14:01:27,90,False,False,False
3月26日14_00_3月26日16_00,2024-03-26 14:07:27,2024-03-26 14:08:57,120,False,True,False
3月26日14_00_3月26日16_00,2024-03-26 15:51:57,2024-03-26 15:59:57,510,True,False,False
3月27日07_00_3月27日11_00,2024-03-27 07:00:29,2024-03-27 07:31:29,1890,False,False,False
3月27日07_00_3月27日11_00,2024-03-27 07:36:59,2024-03-27 07:47:29,660,False,True,False
3月27日07_00_3月27日11_00,2024-03-27 08:43:59,2024-03-27 09:37:29,3240,True,True,True
3月27日07_00_3月27日11_00,2024-03-27 10:24:59,2024-03-27 10:27:29,180,True,True,True
3月27日07_00_3月27日11_00,2024-03-27 10:48:29,2024-03-27 10:59:59,720,True,False,False
3月28日08_00_3月28日11_00,2024-03-28 08:00:01,2024-03-28 08:15:31,960,False,False,False
3月28日08_00_3月28日11_00,2024-03-28 08:22:01,2024-03-28 08:24:31,180,False,True,False
3月28日08_00_3月28日11_00,2024-03-28 08:42:01,2024-03-28 08:44:01,150,True,True,True
3月28日08_00_3月28日11_00,2024-03-28 09:13:01,2024-03-28 09:13:01,30,True,True,True
3月28日08_00_3月28日11_00,2024-03-28 09:37:01,2024-03-28 09:42:31,360,True,True,True
3月28日08_00_3月28日11_00,2024-03-28 10:27:31,2024-03-28 10:30:31,210,True,True,True
3月28日08_00_3月28日11_00,2024-03-28 10:51:01,2024-03-28 10:59:31,540,True,False,False
3月29日08_00_3月29日15_00,2024-03-29 08:00:04,2024-03-29 08:37:34,2280,False,False,False
3月29日08_00_3月29日15_00,2024-03-29 08:44:04,2024-03-29 08:53:34,600,False,True,False
3月29日08_00_3月29日15_00,2024-03-29 10:44:34,2024-03-29 12:35:05,6661,True,True,True
3月29日08_00_3月29日15_00,2024-03-29 14:27:05,2024-03-29 14:59:35,1980,True,False,False
4月2日14_00_4月2日17_00,2024-04-02 14:00:12,2024-04-02 14:21:42,1320,False,False,False
4月2日14_00_4月2日17_00,2024-04-02 14:27:43,2024-04-02 14:31:43,270,False,True,False
4月2日14_00_4月2日17_00,2024-04-02 16:14:43,2024-04-02 16:59:43,2730,True,False,False
4月3日08_00_4月3日11_00,2024-04-03 08:00:14,2024-04-03 08:20:44,1260,False,False,False
4月3日08_00_4月3日11_00,2024-04-03 08:26:44,2024-04-03 08:29:14,180,False,True,False
4月3日08_00_4月3日11_00,2024-04-03 08:46:44,2024-04-03 08:47:14,60,True,True,True
4月3日08_00_4月3日11_00,2024-04-03 09:23:44,2024-04-03 09:23:44,30,True,True,True
4月3日08_00_4月3日11_00,2024-04-03 09:45:44,2024-04-03 09:49:14,240,True,True,True
4月3日08_00_4月3日11_00,2024-04-03 10:49:44,2024-04-03 10:59:44,630,True,False,False
4月7日08_00_4月7日12_00,2024-04-07 08:00:24,2024-04-07 08:47:54,2880,False,False,False
4月7日08_00_4月7日12_00,2024-04-07 08:53:54,2024-04-07 08:56:54,210,False,True,False
4月7日08_00_4月7日12_00,2024-04-07 10:19:24,2024-04-07 10:22:54,240,True,True,True
4月7日08_00_4月7日12_00,2024-04-07 10:45:24,2024-04-07 10:45:54,60,True,True,True
