parent,missing_boundary,reason_code,reason,first_timestamp,last_timestamp,point_count_30s,first_load_kw,minimum_load_kw,maximum_load_kw,last_load_kw,deadband_point_count,nonpositive_point_count,aligned_measured_points,cubic_gap_count,cubic_imputed_points,cubic_max_gap_seconds,cubic_warning_count,cubic_warning_messages,duplicate_count,duplicate_conflict_count,channel_span_violation_count,ais_present_points
3月25日14_00_3月25日17_00,start,NO_BRACKET_WITHIN_RECORDING,start boundary is not bracketed,2024-03-25T14:00:26+08:00,2024-03-25T16:59:56+08:00,360,18.250233,17.677793,650.7618,30.73547,0,0,348,1,12,390.0,0,,0,0,0,347
3月28日08_00_3月28日11_00,end,NO_BRACKET_WITHIN_RECORDING,end boundary is not bracketed,2024-03-28T08:00:01+08:00,2024-03-28T10:59:32+08:00,360,-0.08614899999999996,-0.08952399999999996,727.9675,29.98061,29,27,348,1,12,390.0,0,,0,0,0,299
4月7日08_00_4月7日12_00,end,NO_BRACKET_WITHIN_RECORDING,end boundary is not bracketed,2024-04-07T08:00:24+08:00,2024-04-07T11:59:25+08:00,479,-0.09290599999999997,-0.09435899999999997,800.057,29.630480000000002,95,94,468,1,11,360.0,0,,0,0,0,436
4月21日08_00_4月21日16_00,end,NO_BRACKET_WITHIN_RECORDING,end boundary is not bracketed,2024-04-21T08:00:18+08:00,2024-04-21T15:59:49+08:00,960,-0.05930199999999998,-0.06108199999999997,896.3272999999999,20.162763,37,37,949,1,11,360.0,0,,0,0,0,949
4月23日13_00_4月23日18_00,start,NO_BRACKET_WITHIN_RECORDING,start boundary is not bracketed,2024-04-23T13:05:22+08:00,2024-04-23T17:59:52+08:00,590,66.69502,37.9946,788.7699,38.36267,0,0,590,0,0,0.0,0,,0,0,0,569
4月24日07_00_4月24日17_00,end,NO_BRACKET_WITHIN_RECORDING,end boundary is not bracketed,2024-04-24T07:00:23+08:00,2024-04-24T16:59:55+08:00,1200,-0.03294599999999997,-0.034893999999999974,706.6131,39.4303,47,46,1188,1,12,390.0,1,2024-04-24T07:29:53+08:00:BATTERY_OVERSHOOT,0,0,0,1117
4月29日08_00_4月29日18_00,end,NO_BRACKET_WITHIN_RECORDING,end boundary is not bracketed,2024-04-29T08:00:07+08:00,2024-04-29T17:58:08+08:00,1197,-0.012411999999999966,-107.809434,742.0863999999999,25.38867,38,87,1184,2,13,390.0,2,2024-04-29T08:19:07+08:00:BATTERY_OVERSHOOT|2024-04-29T13:54:08+08:00:BATTERY_OVERSHOOT,0,0,0,1184
6月6日10_00_6月6日21_00,end,NO_BRACKET_WITHIN_RECORDING,end boundary is not bracketed,2024-06-06T10:00:17+08:00,2024-06-06T20:53:48+08:00,1308,0.005500000000000034,-0.099545,901.9051,21.570061000000003,201,181,1241,5,67,510.0,14,2024-06-06T10:15:47+08:00:BATTERY_OVERSHOOT|2024-06-06T20:41:17+08:00:BATTERY_OVERSHOOT|2024-06-06T20:41:47+08:00:BATTERY_OVERSHOOT|2024-06-06T20:42:17+08:00:BATTERY_OVERSHOOT|2024-06-06T20:42:47+08:00:BATTERY_OVERSHOOT|2024-06-06T20:43:17+08:00:BATTERY_OVERSHOOT|2024-06-06T20:43:47+08:00:BATTERY_OVERSHOOT|2024-06-06T20:44:17+08:00:BATTERY_OVERSHOOT|2024-06-06T20:44:47+08:00:BATTERY_OVERSHOOT|2024-06-06T20:45:17+08:00:BATTERY_OVERSHOOT|2024-06-06T20:45:47+08:00:BATTERY_OVERSHOOT|2024-06-06T20:46:17+08:00:BATTERY_OVERSHOOT|2024-06-06T20:46:47+08:00:BATTERY_OVERSHOOT|2024-06-06T20:47:17+08:00:BATTERY_OVERSHOOT,0,0,0,1241
6月13日08_00_6月13日14_00,start,NO_BRACKET_WITHIN_RECORDING,start boundary is not bracketed,2024-06-13T08:00:08+08:00,2024-06-13T13:59:40+08:00,720,32.63292,-0.036573999999999995,1103.7015000000001,-0.036573,18,17,708,1,12,390.0,0,,0,0,0,584
7月9日08_00_7月9日16_00,end,NO_BRACKET_WITHIN_RECORDING,end boundary is not bracketed,2024-07-09T08:00:18+08:00,2024-07-09T15:53:20+08:00,947,-0.069115,-0.070239,842.4464,28.53244,36,36,934,2,13,360.0,0,,4,16,0,874
7月19日07_00_7月19日09_00,end,NO_BRACKET_WITHIN_RECORDING,end boundary is not bracketed,2024-07-19T07:00:22+08:00,2024-07-19T08:59:52+08:00,240,-0.065181,-0.070257,753.811,72.19712,59,57,229,1,11,360.0,0,,0,0,0,229
7月22日08_00_7月22日11_00,end,NO_BRACKET_WITHIN_RECORDING,end boundary is not bracketed,2024-07-22T08:00:28+08:00,2024-07-22T10:57:59+08:00,356,-0.077001,-0.080373,763.379,30.80993,101,101,344,1,12,390.0,0,,0,0,0,333
7月24日14_00_7月24日17_00,end,NO_BRACKET_WITHIN_RECORDING,end boundary is not bracketed,2024-07-24T14:00:03+08:00,2024-07-24T16:58:03+08:00,357,-0.055025,-0.6182377684907916,682.6894,41.845573,18,16,338,3,19,510.0,1,2024-07-24T14:08:03+08:00:BATTERY_OVERSHOOT,0,0,0,337
