parent,split,chronological_rank,month,duration_s,mean_load_kw,p95_load_kw,duration_quartile,mean_load_quartile,p95_load_quartile
3月26日14_00_3月26日16_00,test,0,3,7037.0,215.08272666504286,437.5172445386298,0,1,1
3月27日07_00_3月27日11_00,train,1,3,12168.0,282.5837431895589,791.7193551415185,1,2,3
3月29日08_00_3月29日15_00,test,2,3,21480.0,295.55442549015396,638.3328616707568,2,2,2
4月2日14_00_4月2日17_00,validation,3,4,7288.0,288.95337476676787,492.10978302115126,0,2,1
4月3日08_00_4月3日11_00,train,4,4,9258.0,324.86886014331577,601.3487173285474,1,3,2
4月8日08_00_4月8日12_00,train,5,4,10550.0,125.34669020548601,249.2764530117356,1,0,0
4月9日08_00_4月9日11_00,train,6,4,8748.0,271.6176139461731,488.0459834579994,0,2,1
4月12日08_00_4月12日16_00,train,7,4,22856.0,309.90267521156176,908.0603405665413,2,3,3
4月15日08_00_4月15日17_00,validation,8,4,30885.0,64.44534828912273,344.0079818938527,2,0,0
4月16日08_00_4月16日19_00,validation,9,4,37801.0,239.11825286855637,680.2588413614882,3,2,3
4月17日07_00_4月17日17_00,train,10,4,24936.0,227.4808545030452,519.1342786998518,2,1,2
4月18日12_00_4月18日18_00,test,11,4,17873.0,333.24486899417036,656.5717990618609,1,3,2
4月22日14_00_4月22日17_00,train,12,4,10308.0,223.3926336634495,371.84857530852537,1,1,0
4月28日08_00_4月28日12_00,train,14,4,10115.0,422.44954444354204,1098.6458772062485,1,3,3
4月30日08_00_4月30日15_00,train,15,4,21070.0,348.71147199499643,753.4414144440746,2,3,3
5月7日08_00_5月7日18_00,train,16,5,29773.0,307.1838406435957,807.3471047062039,2,2,3
5月8日08_00_5月8日17_00,test,17,5,27310.0,234.535297122653,515.3381022407466,2,1,1
5月9日08_00_5月9日17_00,validation,18,5,28638.0,133.7707145397438,532.1009937984259,2,0,2
5月10日08_00_5月10日10_00,train,19,5,3558.0,205.19208012136357,337.69711027328356,0,1,0
5月11日08_00_5月11日11_00,train,20,5,6996.0,281.90509030957475,462.0512219275271,0,2,1
5月13日08_00_5月13日11_00,train,21,5,5490.0,224.47515423214284,398.6875961583382,0,1,0
5月27日08_00_5月27日19_00,train,28,5,35611.0,94.26654503737554,371.38679347999994,3,0,0
6月4日08_00_6月4日12_00,validation,31,6,9841.0,159.095366860611,317.22018815152,1,1,0
6月5日08_00_6月5日19_00,train,32,6,35820.0,102.01968270724231,504.5985943999999,3,0,1
6月7日00_00_6月7日24_00,train,33,6,49423.0,26.402652215472823,201.05452815897368,3,0,0
6月11日08_00_6月11日11_00,test,34,6,9300.0,348.8834133462818,667.1138588148149,1,3,3
6月12日14_00_6月12日17_00,validation,35,6,6661.0,568.6325630565312,1020.7877912677767,0,3,3
6月14日08_00_6月15日18_00,train,36,6,115295.0,15.066779403813591,234.22727630544094,3,0,0
6月17日09_00_6月17日16_00,train,37,6,21091.0,264.5907713412083,471.3459699088855,2,2,1
6月26日08_00_6月26日13_00,train,39,6,15540.0,323.3216886147031,533.8560332271805,1,3,2
6月28日08_00_6月28日15_00,train,40,6,19651.0,309.1677896428682,619.0315698093333,1,3,2
6月30日05_00_6月30日11_00,train,41,6,18721.0,364.87358551560055,619.5370994640019,1,3,2
7月2日14_00_7月2日18_00,validation,42,7,11761.0,252.05170295526634,542.4048667007407,1,2,2
7月3日08_00_7月3日16_00,train,43,7,24481.0,280.25063480214607,801.0172197907597,2,2,3
7月10日08_00_7月10日18_00,train,44,7,32679.0,260.64608451816457,658.4190088071108,3,2,2
7月11日06_00_7月12日10_00,train,45,7,97322.0,108.91847117085537,524.6383015254088,3,0,2
7月15日14_00_7月15日16_00,validation,46,7,5880.0,411.6721322851697,743.8202429627031,0,3,3
7月18日08_00_7月18日12_00,train,47,7,8580.0,315.1630002225437,700.1240251435014,0,3,3
7月23日12_00_7月23日15_00,train,48,7,8070.0,233.181394038899,325.3114228910192,0,1,0
7月25日08_00_7月25日17_00,train,49,7,30691.0,289.9400542554262,717.4679961716101,2,2,3
7月26日11_00_7月26日13_00,train,50,7,4350.0,238.72605289817713,405.79252678941896,0,1,1
7月29日14_00_7月29日17_00,train,51,7,7110.0,309.3396132345143,654.8351090869578,0,3,2
7月31日08_00_7月31日11_00,train,52,7,7650.0,261.67709117266384,498.55927381726826,0,2,1
