parent,sample_id,relative_path,split,point_count_1s,start_timestamp,end_timestamp,duration_s,sha256
3月26日14_00_3月26日16_00,zero_boundary_001,test/zero_boundary_001.csv,test,7038,2024-03-26T14:00:57+08:00,2024-03-26T15:58:14+08:00,7037.0,2914c0d3dc3faaa5e82b35ceabf5a595d96ae30536a9c4225fa74ff1717f1f72
3月27日07_00_3月27日11_00,zero_boundary_002,train/zero_boundary_002.csv,train,12169,2024-03-27T07:31:29+08:00,2024-03-27T10:54:17+08:00,12168.0,e18e7ed56d7c0d8b90ae71b0b7ce14b25dd71a63aff7af9f0b98f188730dd2dd
3月29日08_00_3月29日15_00,zero_boundary_003,test/zero_boundary_003.csv,test,21481,2024-03-29T08:37:05+08:00,2024-03-29T14:35:05+08:00,21480.0,e49273bec76896e75a279d9345748fb44181416cfe3b62aa08f74b042c9823d9
4月2日14_00_4月2日17_00,zero_boundary_004,validation/zero_boundary_004.csv,validation,7289,2024-04-02T14:21:13+08:00,2024-04-02T16:22:41+08:00,7288.0,b7dc9aa303f8db2273477df184c405703b5aa5f1b6c4fc1f3f2d27002d1d3687
4月3日08_00_4月3日11_00,zero_boundary_005,train/zero_boundary_005.csv,train,9259,2024-04-03T08:20:44+08:00,2024-04-03T10:55:02+08:00,9258.0,a27b6754c30c178b73f189c1126f843dbc6255f811f9e9ff54b70024d43d5f49
4月8日08_00_4月8日12_00,zero_boundary_006,train/zero_boundary_006.csv,train,10551,2024-04-08T08:39:56+08:00,2024-04-08T11:35:46+08:00,10550.0,38f715e4d8af698ddac0e5496a0b5fbeb1e2af6c4457ca1f29eee4050906223c
4月9日08_00_4月9日11_00,zero_boundary_007,train/zero_boundary_007.csv,train,8749,2024-04-09T08:10:29+08:00,2024-04-09T10:36:17+08:00,8748.0,42007cd96902b83aa6e0e6ad4b057f7543f52ce571c6c0ffb5d0d1d0171704cb
4月12日08_00_4月12日16_00,zero_boundary_008,train/zero_boundary_008.csv,train,22857,2024-04-12T08:53:33+08:00,2024-04-12T15:14:29+08:00,22856.0,d077451727123193e5820e2dc2fa4a9ea89173557a5e13bac395772f2c445d80
4月15日08_00_4月15日17_00,zero_boundary_009,validation/zero_boundary_009.csv,validation,30886,2024-04-15T08:11:08+08:00,2024-04-15T16:45:53+08:00,30885.0,bb171611d2271f460457b3c83fdbe6f30def3b018013546912c35fad3bf743a0
4月16日08_00_4月16日19_00,zero_boundary_010,validation/zero_boundary_010.csv,validation,37802,2024-04-16T08:20:10+08:00,2024-04-16T18:50:11+08:00,37801.0,1f5c7a4e8516f12a2f76a5110400c9fe807129e175d173992b54fc08882f2157
4月17日07_00_4月17日17_00,zero_boundary_011,train/zero_boundary_011.csv,train,24937,2024-04-17T09:16:06+08:00,2024-04-17T16:11:42+08:00,24936.0,5b4630a23f841153a7ff68dd7db43fe20eb5555952d8e1757b52fe34a129cb82
4月18日12_00_4月18日18_00,zero_boundary_012,test/zero_boundary_012.csv,test,17874,2024-04-18T12:12:13+08:00,2024-04-18T17:10:06+08:00,17873.0,0a9b9e18736b2e37c77a2d798c899429740b03c75e26d6a1fc1c82129ed10625
4月22日14_00_4月22日17_00,zero_boundary_013,train/zero_boundary_013.csv,train,10309,2024-04-22T14:02:50+08:00,2024-04-22T16:54:38+08:00,10308.0,a900f41df34e2d024642412e07a6f541c97133c5b52784b2f23ef11922aacaa5
4月28日08_00_4月28日12_00,zero_boundary_015,train/zero_boundary_015.csv,train,10116,2024-04-28T08:49:34+08:00,2024-04-28T11:38:09+08:00,10115.0,1031e7458155f93563a68db82a51c6c57334fd0f00a65f1fb05920d7795f88d8
4月30日08_00_4月30日15_00,zero_boundary_016,train/zero_boundary_016.csv,train,21071,2024-04-30T08:19:10+08:00,2024-04-30T14:10:20+08:00,21070.0,c61b80b65d2478888d2a11a6255e73e883fbb720be4c93b5c01962fcb3a718ce
5月7日08_00_5月7日18_00,zero_boundary_017,train/zero_boundary_017.csv,train,29774,2024-05-07T08:50:01+08:00,2024-05-07T17:06:14+08:00,29773.0,72ee87bf57e89cd9b3a1eae65ba394057f809d92bb37883c9ee49b7b365e8c32
