parent,sample_id,split,reason
4月25日08_00_4月25日18_00,zero_boundary_014,train,UNEXPLAINED_MOVING_NEGATIVE_TOTAL_POWER
5月14日12_00_5月14日19_00,zero_boundary_023,train,UNEXPLAINED_MOVING_NEGATIVE_TOTAL_POWER
5月15日08_00_5月15日17_00,zero_boundary_024,validation,UNEXPLAINED_MOVING_NEGATIVE_TOTAL_POWER
5月17日08_00_5月17日18_00,zero_boundary_025,train,UNEXPLAINED_MOVING_NEGATIVE_TOTAL_POWER
5月20日08_00_5月20日18_00,zero_boundary_026,train,UNEXPLAINED_MOVING_NEGATIVE_TOTAL_POWER
5月21日05_00_5月21日11_00,zero_boundary_027,validation,UNEXPLAINED_MOVING_NEGATIVE_TOTAL_POWER
5月24日08_00_5月24日19_00,zero_boundary_028,train,UNEXPLAINED_MOVING_NEGATIVE_TOTAL_POWER
5月29日14_00_5月29日17_00,zero_boundary_030,train,UNEXPLAINED_MOVING_NEGATIVE_TOTAL_POWER
5月30日05_00_5月30日17_00,zero_boundary_031,train,UNEXPLAINED_MOVING_NEGATIVE_TOTAL_POWER
6月20日08_00_6月20日16_00,zero_boundary_039,train,UNEXPLAINED_MOVING_NEGATIVE_TOTAL_POWER
