parent,sample_id,split,relative_path,supervisory_row_count,aligned_raw_count,interpolated_gap_count,minimum_speed_kn,maximum_speed_kn,sha256
3月26日14_00_3月26日16_00,zero_boundary_001,test,test/zero_boundary_001.csv,234,184,50,0.0,11.7,84ed5995d2ff3eb15a6dd2b12afcc002c545cc188a93e57102b8ef81d42df66d
3月27日07_00_3月27日11_00,zero_boundary_002,train,train/zero_boundary_002.csv,405,338,67,0.0,12.2,6f8d040d9718e2c437e5985b38848541d444d464dc581193fe71b2b7212081c6
3月29日08_00_3月29日15_00,zero_boundary_003,test,test/zero_boundary_003.csv,716,570,146,0.0,12.5,b5a735483bc9b126f12e8b32b244afb0d2b6b709208b36bed7c4eb3cea6166be
4月2日14_00_4月2日17_00,zero_boundary_004,validation,validation/zero_boundary_004.csv,242,231,11,0.0,11.1,0ba4df3432c3994f9dee140350b33cba21d23f1659523d8c8c813a9191115681
4月3日08_00_4月3日11_00,zero_boundary_005,train,train/zero_boundary_005.csv,308,297,11,0.0,11.7,797d5f5252d5eac17eb0791b206ee7db36df1b29d4c55ccdd089cf3529d551e3
4月8日08_00_4月8日12_00,zero_boundary_006,train,train/zero_boundary_006.csv,351,310,41,0.0,11.5,1d08463d1b697b627dde9171bb1765703f35525ec3f6dfaad860697a48566785
4月9日08_00_4月9日11_00,zero_boundary_007,train,train/zero_boundary_007.csv,291,280,11,0.0,11.0,51a022abac3f355c56f3669d9ee363e13a5dabd8686220f5bdddf17347691760
4月12日08_00_4月12日16_00,zero_boundary_008,train,train/zero_boundary_008.csv,761,687,74,0.0,12.7,bed649b677493cc679d035be79d867190673c7c19fde711a99b84b48425d0f0d
4月15日08_00_4月15日17_00,zero_boundary_009,validation,validation/zero_boundary_009.csv,1029,994,35,0.0,11.1,85ef364cc5de14fb9fdb7d44d85a480f4f8920fc5902959592b39381b9324159
4月16日08_00_4月16日19_00,zero_boundary_010,validation,validation/zero_boundary_010.csv,1260,1225,35,0.0,13.7,f5bc9abd7e370895c0ab08e774418af03b9f836402ac2a2d8bc8328ae78855c8
4月17日07_00_4月17日17_00,zero_boundary_011,train,train/zero_boundary_011.csv,831,819,12,0.0,12.7,aa85830970e5025028f6baba15e67609cf4cea1e907a100d04cd6681acbba8de
4月18日12_00_4月18日18_00,zero_boundary_012,test,test/zero_boundary_012.csv,595,507,88,0.0,12.0,6f71c90bc4d8c09f6246d66582ffb9150b73c59c174b9589417cad38cc0b2652
4月22日14_00_4月22日17_00,zero_boundary_013,train,train/zero_boundary_013.csv,343,334,9,0.0,11.0,a03b7fa359275c42332c0791d42311a515010093c57229868197e16cefcb285e
4月28日08_00_4月28日12_00,zero_boundary_015,train,train/zero_boundary_015.csv,337,322,15,0.0,13.0,8c4de6712dde4132be70b40ee523f0a26a18037bebd45777861e694a9fb16457
4月30日08_00_4月30日15_00,zero_boundary_016,train,train/zero_boundary_016.csv,702,685,17,0.0,14.5,73447f999f2b3011a7cfbff901672df91974e6cc20e127b8d6a5a22b23570b7b
5月7日08_00_5月7日18_00,zero_boundary_017,train,train/zero_boundary_017.csv,992,824,168,0.0,13.4,17e99dcbe5fa08f254f89d1c2b53fbe3d969fbffd43422ec48fd87ce2fb37cb7
5月8日08_00_5月8日17_00,zero_boundary_018,test,test/zero_boundary_018.csv,910,749,161,0.0,13.5,a99202ef520e9196f63b50893c57a2d3b62e600ef1c073991fa4795564562a25
5月9日08_00_5月9日17_00,zero_boundary_019,validation,validation/zero_boundary_019.csv,954,795,159,0.0,13.9,aafcdf256a51c12ffc0722970dd2f154084aeb0aef4acee5f26644b84aec8350
5月10日08_00_5月10日10_00,zero_boundary_020,train,train/zero_boundary_020.csv,118,91,27,0.0,12.2,1c5cda2cc457da33c75dae9faf80f866e726aa8f3e56745641256e30ab547e77
5月11日08_00_5月11日11_00,zero_boundary_021,train,train/zero_boundary_021.csv,233,214,19,0.0,13.2,ce8019c3e76a5e13e396c4c374f458686498796e8e4ea8ac1a1256284cfb9ab8
5月13日08_00_5月13日11_00,zero_boundary_022,train,train/zero_boundary_022.csv,183,158,25,0.0,10.6,cf630099dafff7c30c05999abf6ccef6ba81c68d167a8f96938bff2fefeb887b
5月27日08_00_5月27日19_00,zero_boundary_029,train,train/zero_boundary_029.csv,1187,1142,45,0.0,13.4,60b932ad85b5f5393d6d42041d9db5a01509b20ab8b52f724196e686a22bdebd
6月4日08_00_6月4日12_00,zero_boundary_032,validation,validation/zero_boundary_032.csv,328,307,21,0.0,9.4,7e13239ca3679e4d72febaa09229ba8f0c3fd440a42e02c185c1900eac0fd365
6月5日08_00_6月5日19_00,zero_boundary_033,train,train/zero_boundary_033.csv,1194,1147,47,0.0,12.9,fed80ff2a8637b1e679cddac468e8ed6054017745fd4e2566a7cfcbcafeb2e6c
6月7日00_00_6月7日24_00,zero_boundary_034,train,train/zero_boundary_034.csv,1647,1523,124,0.0,10.8,cd310f97a56043cb3e35a7e99d33e5efd9e3a7c34d92c2242dc5838d00fd486e
6月11日08_00_6月11日11_00,zero_boundary_035,test,test/zero_boundary_035.csv,310,286,24,0.0,13.2,6395f3010d3ead573cda5fd987318a25441e77c6267163f4cf6eacb817a2dc32
6月12日14_00_6月12日17_00,zero_boundary_036,validation,validation/zero_boundary_036.csv,222,197,25,0.0,14.2,d96f0957c4b72dad68fb4e414dff53c9ea06be90f4024c98b11f43507ac5f7b7
6月14日08_00_6月15日18_00,zero_boundary_037,train,train/zero_boundary_037.csv,3843,3666,177,0.0,12.4,b2baaa7a3be0f04ca2cadd162c7a1884aa0699e686e664f8fa87573d4cd67f3f
6月17日09_00_6月17日16_00,zero_boundary_038,train,train/zero_boundary_038.csv,703,680,23,0.0,13.5,ee1c82fe7d01d2a280463fac06715ab6fdbb7b8f71fa2c3c5a69c61a1b8d98bc
6月26日08_00_6月26日13_00,zero_boundary_040,train,train/zero_boundary_040.csv,518,475,43,0.0,13.8,300234e3d51fa5a97a51dca12480d86976e24cc47e58639879e22342fd2bd4b9
6月28日08_00_6月28日15_00,zero_boundary_041,train,train/zero_boundary_041.csv,655,631,24,0.0,11.4,a901a0d855b2e62e0659dd80b3872fe84d3246001765fcd224d0c188bdf768db
6月30日05_00_6月30日11_00,zero_boundary_042,train,train/zero_boundary_042.csv,624,609,15,0.0,13.9,b3fee6b5d98a9556a9e178e22fbdb774795675960587703f0209b93b0d6fe1c1
7月2日14_00_7月2日18_00,zero_boundary_043,validation,validation/zero_boundary_043.csv,392,365,27,0.0,12.7,a2a08d3d67359f2ec66863f36c6b61739e1f0142db3a241965f93eef378e6956
