parent,sample_id,relative_path,split,supervisory_row_count,unresolved_row_count,sha256
3月26日14_00_3月26日16_00,zero_boundary_001,test/zero_boundary_001.csv,test,234,0,8b18d9228415cd24c9993dbad32fcd3117f9b02fde5acaa732199552bae35325
3月27日07_00_3月27日11_00,zero_boundary_002,train/zero_boundary_002.csv,train,405,0,7e70e4acc1c7f812dbfd261d2d322a5d866d84c933dee792dd0db466d6d6c3d4
3月29日08_00_3月29日15_00,zero_boundary_003,test/zero_boundary_003.csv,test,716,0,794e719aff325b9d4d9088e12dabc91f52d50a97b5259c96910e52fa73531a05
4月2日14_00_4月2日17_00,zero_boundary_004,validation/zero_boundary_004.csv,validation,242,0,9a7bfd6b005b8b3f5a86c4c73196c932ca28496c9b972a6a785dfa9ec0b1b873
4月3日08_00_4月3日11_00,zero_boundary_005,train/zero_boundary_005.csv,train,308,0,8253fb92470702cc2a6773c216795e6fb76e999d7f61d0952864e05119627d80
4月8日08_00_4月8日12_00,zero_boundary_006,train/zero_boundary_006.csv,train,351,0,8776c6a224b380081844d8f33c0ffe0928a126e495e49eddec85a8e9d7d1d24f
4月9日08_00_4月9日11_00,zero_boundary_007,train/zero_boundary_007.csv,train,291,0,83306d551a34c244cabe78a5a76b7a69eddb913ea0c8a3d219a71f17f50ba20d
4月12日08_00_4月12日16_00,zero_boundary_008,train/zero_boundary_008.csv,train,761,0,5e5c70526b5fc2392bdff9748ee66e2f0e7cfe273140a7aa1edff967912017d8
4月15日08_00_4月15日17_00,zero_boundary_009,validation/zero_boundary_009.csv,validation,1029,0,042974b87283ae7af2be92c25ed416e7ddee6d34fb76271337f1b325346fbd07
4月16日08_00_4月16日19_00,zero_boundary_010,validation/zero_boundary_010.csv,validation,1260,0,2b3aecbcd1d2f93a7c01455161bd04b60b22b4430c8731000151b5c18ef67cc2
4月17日07_00_4月17日17_00,zero_boundary_011,train/zero_boundary_011.csv,train,831,0,bb30261e86c63b68779e672c40541d62c50bbf870b87c0b68dafacc0bb0b7f07
4月18日12_00_4月18日18_00,zero_boundary_012,test/zero_boundary_012.csv,test,595,0,94f6f47e403da905ac4be99a49fcb9f5331e6efad847b07b9bb3361037d31fd4
4月22日14_00_4月22日17_00,zero_boundary_013,train/zero_boundary_013.csv,train,343,0,b545a366112cba4349dacebf88683d13c1231569ba80761f33019a18b089b98c
4月28日08_00_4月28日12_00,zero_boundary_015,train/zero_boundary_015.csv,train,337,0,44f9b388df328bbfd6e83870ccba04dde7f75cd737ef0314d6a28a6455968b6d
4月30日08_00_4月30日15_00,zero_boundary_016,train/zero_boundary_016.csv,train,702,0,d87141b26a205643c4ea91708af080fd9bd0095bc13f00a251687b3d960ea639
5月7日08_00_5月7日18_00,zero_boundary_017,train/zero_boundary_017.csv,train,992,0,c7eb1d1d273f56b8b3f04445a9b11706de858c9915e37d5353820bd6001668a9
5月8日08_00_5月8日17_00,zero_boundary_018,test/zero_boundary_018.csv,test,910,0,5b2c3210e221b7b4e48b79b0ba1a09291b6271d1d487b59742e257d0b4c06c1b
5月9日08_00_5月9日17_00,zero_boundary_019,validation/zero_boundary_019.csv,validation,954,0,0d6fb2afb2a0b4676d239a4eeb60dc6808f1ce7b5df92772e2bc2328a418099f
5月10日08_00_5月10日10_00,zero_boundary_020,train/zero_boundary_020.csv,train,118,0,eee83d0b74b953abbe251647f288434ef8f3fb8788be144fbeab082c48e77b53
5月11日08_00_5月11日11_00,zero_boundary_021,train/zero_boundary_021.csv,train,233,0,75479abb5ed236de4de8101a1970007486d36b573a76141db287a26e7f364799
5月13日08_00_5月13日11_00,zero_boundary_022,train/zero_boundary_022.csv,train,183,0,3e80b7c4d555af0e922ef1336cdc7b85d0f4797c0d1da3e49effa7a4947c8014
5月27日08_00_5月27日19_00,zero_boundary_029,train/zero_boundary_029.csv,train,1187,0,d5e095ebd241290730d1c0bdf8a2e5cc3ec4778a7758546b0b29296d2a7c9f12
6月4日08_00_6月4日12_00,zero_boundary_032,validation/zero_boundary_032.csv,validation,328,0,908bb670a95dbf0f2c790e1c512cfce9c3426c51db824f752ffa3123b79eaff4
