point_count,minimum_original_load_kw,duration_s,parent_voyage
0,0.0,0.0,3月25日14_00_3月25日17_00
2,-0.0910519999999999,30.0,3月26日14_00_3月26日16_00
61,-0.0878359999999999,1800.0,3月27日07_00_3月27日11_00
27,-0.0895239999999999,780.0,3月28日08_00_3月28日11_00
74,-0.0816479999999999,2220.0,3月29日08_00_3月29日15_00
43,-0.0730639999999999,1261.0,4月2日14_00_4月2日17_00
41,-0.0731179999999999,1200.0,4月3日08_00_4月3日11_00
94,-0.0943589999999999,2790.0,4月7日08_00_4月7日12_00
77,-0.0780309999999999,2280.0,4月8日08_00_4月8日12_00
21,-0.783055,600.0,4月9日08_00_4月9日11_00
108,-0.0944629999999999,3210.0,4月12日08_00_4月12日16_00
22,-0.0645779999999999,630.0,4月15日08_00_4月15日17_00
40,-0.0446069999999999,1170.0,4月16日08_00_4月16日19_00
0,0.0,0.0,4月17日07_00_4月17日17_00
24,-0.0613629999999999,690.0,4月18日12_00_4月18日18_00
37,-0.0610819999999999,1080.0,4月21日08_00_4月21日16_00
1,-0.0264659999999999,0.0,4月22日14_00_4月22日17_00
0,0.0,0.0,4月23日13_00_4月23日18_00
46,-0.0348939999999999,1350.0,4月24日07_00_4月24日17_00
87,-0.0391469999999999,2580.0,4月25日08_00_4月25日18_00
93,-0.0412509999999999,2760.0,4月28日08_00_4月28日12_00
36,-0.0157839999999999,1050.0,4月29日08_00_4月29日18_00
38,-0.0401219999999999,1110.0,4月30日08_00_4月30日15_00
100,-0.0165539999999999,2970.0,5月7日08_00_5月7日18_00
78,-0.0057489999999999,2340.0,5月8日08_00_5月8日17_00
24,-0.0072499999999999,690.0,5月9日08_00_5月9日17_00
46,-0.0158819999999999,1350.0,5月10日08_00_5月10日10_00
46,-0.0163419999999999,1350.0,5月11日08_00_5月11日11_00
174,-0.143124,10771.0,5月13日08_00_5月13日11_00
96,-0.092258,25170.0,5月14日12_00_5月14日19_00
21,-0.067109,31741.0,5月15日08_00_5月15日17_00
507,-0.2330249999999994,35401.0,5月17日08_00_5月17日18_00
43,-0.0123699999999999,1260.0,5月20日08_00_5月20日18_00
40,-0.740619,19860.0,5月21日05_00_5月21日11_00
0,0.0,0.0,5月24日08_00_5月24日19_00
625,-0.13581,28170.0,5月27日08_00_5月27日19_00
48,-0.109484,1440.0,5月29日14_00_5月29日17_00
0,0.0,0.0,5月30日05_00_5月30日17_00
77,-0.111257,2280.0,6月4日08_00_6月4日12_00
263,-0.119457,39571.0,6月5日08_00_6月5日19_00
181,-0.099545,5400.0,6月6日10_00_6月6日21_00
2273,-0.121559,79202.0,6月7日00_00_6月7日24_00
49,-0.122117,10741.0,6月11日08_00_6月11日11_00
132,-0.105476,10770.0,6月12日14_00_6月12日17_00
17,-0.0365739999999999,480.0,6月13日08_00_6月13日14_00
382,-0.2075919999999993,122375.0,6月14日08_00_6月15日18_00
136,-0.106829,25170.0,6月17日09_00_6月17日16_00
274,-0.102852,28771.0,6月20日08_00_6月20日16_00
82,-0.109557,17970.0,6月26日08_00_6月26日13_00
186,-0.12102,25172.0,6月28日08_00_6月28日15_00
40,-0.2477010000000002,1170.0,6月30日05_00_6月30日11_00
86,-0.103375,14372.0,7月2日14_00_7月2日18_00
143,-0.09667,28771.0,7月3日08_00_7月3日16_00
36,-0.070239,1050.0,7月9日08_00_7月9日16_00
106,-0.083809,35949.0,7月10日08_00_7月10日18_00
110,-0.110705,100772.0,7月11日06_00_7月12日10_00
42,-0.098473,7170.0,7月15日14_00_7月15日16_00
194,-0.089365,14371.0,7月18日08_00_7月18日12_00
57,-0.070257,1680.0,7月19日07_00_7月19日09_00
101,-0.080373,3000.0,7月22日08_00_7月22日11_00
91,-0.061758,10770.0,7月23日12_00_7月23日15_00
15,-0.2345589999999998,450.0,7月24日14_00_7月24日17_00
57,-0.055125,32371.0,7月25日08_00_7月25日17_00
92,-0.055036,7170.0,7月26日11_00_7月26日13_00
123,-0.073653,10770.0,7月29日14_00_7月29日17_00
105,-0.073663,10770.0,7月31日08_00_7月31日11_00
