segment_id,parent_voyage,start_time,end_time,raw_points,num_1s_points,raw_csv,one_second_csv,source_points,output_points,raw_min_kw,pchip_min_kw,floating_negative_zeroed,split
operating_segment_0001,3月25日14_00_3月25日17_00,2024-03-25T14:00:25,2024-03-25T14:28:55,58,1711,cleaned_30s_segments/operating_segment_0001.csv,operating_segments_1s_rebuilt/operating_segment_0001.csv,58,1711,17.677793,17.677793,0,train
operating_segment_0002,3月25日14_00_3月25日17_00,2024-03-25T14:35:25,2024-03-25T16:59:56,290,8672,cleaned_30s_segments/operating_segment_0002.csv,operating_segments_1s_rebuilt/operating_segment_0002.csv,290,8672,30.037422000000003,30.037422000000003,0,train
operating_segment_0003,3月26日14_00_3月26日16_00,2024-03-26T14:00:27,2024-03-26T14:01:27,3,61,cleaned_30s_segments/operating_segment_0003.csv,operating_segments_1s_rebuilt/operating_segment_0003.csv,3,61,-0.09105199999999997,-0.09105199999999997,0,train
operating_segment_0004,3月26日14_00_3月26日16_00,2024-03-26T14:07:27,2024-03-26T15:59:57,226,6751,cleaned_30s_segments/operating_segment_0004.csv,operating_segments_1s_rebuilt/operating_segment_0004.csv,226,6751,-72.448389,-72.448389,0,train
operating_segment_0005,3月27日07_00_3月27日11_00,2024-03-27T07:00:29,2024-03-27T07:31:29,63,1861,cleaned_30s_segments/operating_segment_0005.csv,operating_segments_1s_rebuilt/operating_segment_0005.csv,63,1861,-0.08783599999999997,-0.08783599999999997,0,train
operating_segment_0006,3月27日07_00_3月27日11_00,2024-03-27T07:36:59,2024-03-27T10:59:59,407,12181,cleaned_30s_segments/operating_segment_0006.csv,operating_segments_1s_rebuilt/operating_segment_0006.csv,407,12181,-107.031076,-107.031076,0,train
operating_segment_0007,3月28日08_00_3月28日11_00,2024-03-28T08:00:01,2024-03-28T08:15:31,32,931,cleaned_30s_segments/operating_segment_0007.csv,operating_segments_1s_rebuilt/operating_segment_0007.csv,32,931,-0.08952399999999996,-0.08952399999999996,0,train
operating_segment_0008,3月28日08_00_3月28日11_00,2024-03-28T08:22:01,2024-03-28T10:59:31,316,9451,cleaned_30s_segments/operating_segment_0008.csv,operating_segments_1s_rebuilt/operating_segment_0008.csv,316,9451,29.980610000000002,29.980610000000006,0,train
operating_segment_0009,3月29日08_00_3月29日15_00,2024-03-29T08:00:04,2024-03-29T08:37:34,76,2251,cleaned_30s_segments/operating_segment_0009.csv,operating_segments_1s_rebuilt/operating_segment_0009.csv,76,2251,-0.08164799999999997,-0.08164799999999997,0,train
operating_segment_0010,3月29日08_00_3月29日15_00,2024-03-29T08:44:04,2024-03-29T14:59:35,752,22532,cleaned_30s_segments/operating_segment_0010.csv,operating_segments_1s_rebuilt/operating_segment_0010.csv,752,22532,-108.295431,-108.295431,0,train
operating_segment_0011,4月2日14_00_4月2日17_00,2024-04-02T14:00:12,2024-04-02T14:21:42,44,1291,cleaned_30s_segments/operating_segment_0011.csv,operating_segments_1s_rebuilt/operating_segment_0011.csv,44,1291,-0.07306399999999996,-0.07306399999999996,0,train
operating_segment_0012,4月2日14_00_4月2日17_00,2024-04-02T14:27:43,2024-04-02T16:23:13,232,6931,cleaned_30s_segments/operating_segment_0012.csv,operating_segments_1s_rebuilt/operating_segment_0012.csv,232,6931,-21.405424999999997,-21.405425,0,train
operating_segment_0013,4月2日14_00_4月2日17_00,2024-04-02T16:33:13,2024-04-02T16:36:13,7,181,cleaned_30s_segments/operating_segment_0013.csv,operating_segments_1s_rebuilt/operating_segment_0013.csv,7,181,-106.127217,-106.12721700000002,0,train
operating_segment_0014,4月2日14_00_4月2日17_00,2024-04-02T16:44:13,2024-04-02T16:51:13,15,421,cleaned_30s_segments/operating_segment_0014.csv,operating_segments_1s_rebuilt/operating_segment_0014.csv,15,421,-107.8998,-107.8998,0,train
operating_segment_0015,4月2日14_00_4月2日17_00,2024-04-02T16:55:13,2024-04-02T16:56:13,3,61,cleaned_30s_segments/operating_segment_0015.csv,operating_segments_1s_rebuilt/operating_segment_0015.csv,3,61,-107.37930900000002,-107.37930900000002,0,train
operating_segment_0016,4月2日14_00_4月2日17_00,2024-04-02T16:58:13,2024-04-02T16:59:43,4,91,cleaned_30s_segments/operating_segment_0016.csv,operating_segments_1s_rebuilt/operating_segment_0016.csv,4,91,-108.184469,-108.184469,0,train
operating_segment_0017,4月3日08_00_4月3日11_00,2024-04-03T08:00:14,2024-04-03T08:20:44,42,1231,cleaned_30s_segments/operating_segment_0017.csv,operating_segments_1s_rebuilt/operating_segment_0017.csv,42,1231,-0.07311799999999996,-0.07311799999999996,0,train
operating_segment_0018,4月3日08_00_4月3日11_00,2024-04-03T08:26:44,2024-04-03T10:59:44,307,9181,cleaned_30s_segments/operating_segment_0018.csv,operating_segments_1s_rebuilt/operating_segment_0018.csv,307,9181,-107.95476,-107.95476,0,train
operating_segment_0019,4月7日08_00_4月7日12_00,2024-04-07T08:00:24,2024-04-07T08:47:54,96,2851,cleaned_30s_segments/operating_segment_0019.csv,operating_segments_1s_rebuilt/operating_segment_0019.csv,96,2851,-0.09435899999999997,-0.09435899999999997,0,train
operating_segment_0020,4月7日08_00_4月7日12_00,2024-04-07T08:53:54,2024-04-07T11:59:24,372,11131,cleaned_30s_segments/operating_segment_0020.csv,operating_segments_1s_rebuilt/operating_segment_0020.csv,372,11131,29.630480000000002,29.630480000000002,0,train
operating_segment_0021,4月8日08_00_4月8日12_00,2024-04-08T08:00:26,2024-04-08T08:40:26,81,2401,cleaned_30s_segments/operating_segment_0021.csv,operating_segments_1s_rebuilt/operating_segment_0021.csv,81,2401,-0.07803099999999998,-0.07803099999999998,0,train
