action_id,action_name,battery_charge_energy_kwh,battery_discharge_energy_kwh,battery_throughput_kwh,completed,episode_reward,expected_steps,fc_max_step_kw,fc_variation_rms_kw,final_soc,first_failure_decision_index,first_failure_solve_ms,mean_reward_per_step,mean_solve_ms,minimum_soc,p99_solve_ms,q_batt,q_fc_var,q_h2,q_soc,solved_inaccurate_steps,solver_status,solver_status_class,split,successful_steps,total_h2_kg,voyage_id,weighted_batt,weighted_fc_var,weighted_h2,weighted_soc
0,candidate_C,171.87830311583258,129.0210957341322,300.8993988499648,True,-173032.81707958924,10769,0.5704955561367342,0.22278575023115116,0.6186814220860609,,,-16.06767732190447,0.04892047505546595,0.4463015820671608,0.0845960993319749,0.4,20.0,0.25,12.0,0,solved,solved,train,10769,49.48328819993679,voyage_001,239.82946478445223,4.639783500518464,1399.5008624334464,171388.84696887014
1,hydrogen_economy,121.77874618292682,126.66664742533106,248.44539360825786,True,-318452.32995141385,10769,0.6851963971109285,0.2375976955723533,0.5421668249320414,,,-29.571207164213376,0.04822755155830466,0.4203494752422305,0.08026414550840849,0.25,8.0,0.4,8.0,0,solved,solved,train,10769,46.80830118424948,voyage_001,179.23988068295648,5.27724608292344,1323.8460955091343,316943.9667291384
2,soc_regulation,112.86770845226934,90.0571526878353,202.9248611401046,True,-51130.371803210306,10769,1.200626621299051,0.3225669370940442,0.5865553778276185,,,-4.747921980054815,0.05317513311809512,0.48376709465884804,0.0904641486704349,0.45,15.0,0.25,36.0,0,solved,solved,train,10769,48.3331954240766,voyage_001,148.78620597045918,9.726634547666881,1366.9736014084467,49604.88536128367
3,fast_fc_response,23.491059895332526,34.349701961772865,57.84076185710539,True,-28835.97430306304,10769,3.770084776485078,0.52492498831898,0.5325983300217295,,,-2.6776835642179444,0.048713668149488035,0.5034555418013044,0.08726004511117921,0.8,1.0,0.15,12.0,0,solved,solved,train,10769,46.30534237147225,voyage_001,10.798610246819615,25.75831158647525,1309.621266928505,27489.796114301214
4,fc_smoothing,306.9784418265104,224.56937903812508,531.5478208646355,True,-367552.5999400532,10769,0.44781560560284106,0.1769945136728419,0.6820658057506191,,,-34.130615650483165,0.05571184974682315,0.391937346268772,0.09866405278444285,0.1,40.0,0.25,12.0,0,solved,solved,train,10769,52.01083929846216,voyage_001,571.230652692845,2.9284816510860012,1470.985803530736,365507.4550021774
0,candidate_C,148.15170748010408,130.97963392191315,279.1313414020172,True,-74614.25913510575,7170,0.3951819254286306,0.21041990926222492,0.5775193486509462,,,-10.406451762218374,0.048341172275807566,0.4658991542010699,0.08023110916838044,0.4,20.0,0.25,12.0,0,solved,solved,train,7170,23.177758379259455,voyage_002,196.08534726317177,2.75575328987697,655.5201568255251,73759.89787772673
1,hydrogen_economy,120.4503356172149,130.81517566425083,251.26551128146576,True,-173364.97496231634,7170,0.5039499802725516,0.26873445181018013,0.5333896794117988,,,-24.179215475915807,0.0491716735963833,0.44242979714314806,0.08437909651547625,0.25,8.0,0.4,8.0,0,solved,solved,train,7170,21.73423549349606,voyage_002,160.96195390957115,4.494831024985047,614.6940194151174,172584.824157966
2,soc_regulation,124.18091878601211,108.22201105358532,232.40292983959742,True,-19881.527925806455,7170,0.9543821929383682,0.45636884404304146,0.5755751726481183,,,-2.7728769770999238,0.054340195748565336,0.5041904356731197,0.10748600354418128,0.45,15.0,0.25,36.0,0,solved,solved,train,7170,23.465599719327276,voyage_002,164.02419572905487,12.962794977435017,663.6609699833186,19040.87996511658
3,fast_fc_response,15.342406850089036,24.362628129093256,39.705034979182294,True,-9559.65845191852,7170,5.057610652258404,0.9121331598004225,0.5355445171810832,,,-1.3332856976176457,0.050636011888916026,0.5292710564591177,0.0830860505811867,0.8,1.0,0.15,12.0,0,solved,solved,train,7170,21.762221963736508,voyage_002,8.282656820139977,51.782518069946114,615.4855409704319,8884.107736057997
4,fc_smoothing,152.18820837340743,160.50244960318398,312.6906579765914,True,-173346.20511504723,7170,0.29981863938365905,0.16472742449822037,0.5366758954650958,,,-24.176597645055402,0.06040060133484908,0.4189370403450967,0.10763108497485513,0.1,40.0,0.25,12.0,0,solved,solved,train,7170,22.14357384502743,voyage_002,272.88570845680755,1.6888788352224595,626.271046666841,172445.35948108858
