action_id,action_name,current_load_kw,current_soc,decision_index,delta_p_fc_kw,dual_residual,future_load_kw,h2_kg,load_delta_regime,load_regime,p_batt_first_kw,p_batt_horizon_kw,p_fc_first_kw,p_fc_horizon_kw,previous_batt_kw,previous_fc_kw,previous_fc_regime,previous_load_kw,primal_residual,q_batt,q_fc_var,q_h2,q_soc,reward,soc_horizon,soc_next,soc_predicted,soc_regime,solution_validation_error,solve_ms,solver_iterations,solver_status,solver_status_class,source_split,source_voyage_id,state_id,weighted_batt,weighted_fc_var,weighted_h2,weighted_soc
0,candidate_C,0.0668995116918154,0.25,5007,1.4166777834065627,1.1899419132979494e-13,"[0.0,0.0,0.0,0.0,0.0,0.0]",1.9103092973314414e-05,rapidly_falling,low,-1.4166777834065627,"[-1.4166777834074822,-2.4124286675601954,-3.0612298516938607,-3.437012556434073,-3.6136716939174702,-3.665075563044371]",1.4166777834065627,"[1.4166777834065627,2.4124286675594258,3.061229851693243,3.4370125564336083,3.6136716939171594,3.6650755630442178]",0.0668995116918154,0.0,low,0.4467879472038731,3.659295089164516e-13,0.4,20.0,0.25,12.0,-432.0161477555148,"[0.25000000000001826,0.2500006306436367,0.25000170455241005,0.2500030672793742,0.25000459728852525,0.2500062059386741,0.2500078374715993]",0.2500006306436002,0.2500006306436367,low,,0.10559987276792526,50,solved,solved,train,voyage_037,probe_001,2.0617356406123974e-06,0.017421666163174757,0.0005402792753644939,431.99818374834064
1,hydrogen_economy,0.0668995116918154,0.25,5007,2.0516928264014513,1.1303034296117711e-13,"[0.0,0.0,0.0,0.0,0.0,0.0]",2.767127442751185e-05,rapidly_falling,low,-2.0516928264014513,"[-2.0516928264023306,-3.4532573148215824,-4.328104399481662,-4.799518719483595,-4.990687872335527,-5.024731718007749]",2.0516928264014513,"[2.0516928264014513,3.453257314820848,4.328104399481074,4.799518719483154,4.990687872335233,5.024731718007601]",0.0668995116918154,0.0,low,0.4467879472038731,3.1885605267234496e-13,0.25,8.0,0.4,8.0,-432.0346968677369,"[0.2500000000000159,0.2500009133248299,0.250002450565444,0.2500043772500951,0.25000651378798683,0.25000873542610674,0.2500109722190724]",0.25000091332479807,0.2500009133248299,low,,0.07910002022981644,50,solved,solved,train,voyage_037,probe_001,4.324296776285313e-06,0.0365403077596109,0.0007826070949344425,431.9973696285856
2,soc_regulation,0.0668995116918154,0.25,5007,6.0121707885134805,4.005492957955915e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",8.118447734368101e-05,rapidly_falling,low,-6.0121707885134805,"[-6.012170788565696,-10.282586679119307,-13.107464110481597,-14.78273254972456,-15.604091080020563,-15.867065447295516]",6.0121707885134805,"[6.0121707885134805,10.282586679075765,13.107464110446754,14.782732549698435,15.604091080003169,15.867065447286857]",0.0668995116918154,0.0,low,0.4467879472038731,2.1879387190892885e-11,0.45,15.0,0.25,36.0,-432.30839441504077,"[0.25000000000109396,0.25000267636026685,0.2500072537225785,0.25001308859799015,0.2500196692303622,0.25002661549598143,0.2500336788263993]",0.25000267635807893,0.25000267636026685,low,,0.10999990627169609,125,solved,solved,train,voyage_037,probe_001,3.713243506559707e-05,0.31376907630429524,0.002296083186704974,431.9922921231147
3,fast_fc_response,0.0668995116918154,0.25,5007,27.75444888733555,1.0342125148601393e-13,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.00037726323224904624,rapidly_falling,low,-27.75444888733555,"[-27.754448887335826,-47.04899859650356,-59.45495309376883,-66.50979538517193,-69.72468590078013,-70.59184376407646]",27.75444888733555,"[27.75444888733555,47.048998596503345,59.45495309376865,66.5097953851718,69.72468590078006,70.59184376407644]",0.0668995116918154,0.0,low,0.4467879472038731,1.900701818158268e-13,0.8,1.0,0.15,12.0,-438.6625931308074,"[0.2500000000000095,0.2500123550787616,0.25003329925548745,0.2500597660259175,0.2500893733066269,0.2501204117173734,0.2501518361492485]",0.2500123550787426,0.2500123550787616,low,,0.07140007801353931,50,solved,solved,train,voyage_037,probe_001,0.0007913270802922845,6.686713828469804,0.010669869325659108,431.96441810593166
4,fc_smoothing,0.0668995116918154,0.25,5007,0.7093158963829298,1.5189725266372374e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",9.562654605743677e-06,rapidly_falling,low,-0.7093158963829298,"[-0.7093158964683477,-1.208088786493934,-1.5332524326251316,-1.7217367982541905,-1.810468823952829,-1.8363732111317825]",0.7093158963829298,"[0.7093158963829298,1.2080887864226577,1.5332524325680492,1.7217367982113447,1.8104688239242512,1.836373211117495]",0.0668995116918154,0.0,low,0.4467879472038731,2.744027227663537e-11,0.1,40.0,0.25,12.0,-432.00372903137264,"[0.250000000001372,0.2500003157594643,0.25000085354828633,0.25000153608588044,0.2500023025285497,0.2500031084708722,0.250003925944704]",0.25000031575672027,0.2500003157594643,low,,0.10859989561140537,150,solved,solved,train,voyage_037,probe_001,5.168567563090886e-07,0.004367439590811799,0.00027045380076249183,431.9990906211243
0,candidate_C,0.0668995116918154,0.25,5007,1.1929794905787503,1.4791901737193263e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.004115703462198767,rapidly_falling,low,-281.19297949057875,"[-281.19297949057983,-282.00253877189425,-282.5025998534252,-282.76701306401804,-282.86956672764256,-282.8839968568051]",281.19297949057875,"[281.19297949057875,282.0025387718934,282.50259985342444,282.7670130640174,282.869566727642,282.883996856805]",-279.9331004883082,280.0,medium,0.4467879472038731,3.6504133049675147e-13,0.4,20.0,0.25,12.0,-431.849553966824,"[0.25000000000001826,0.25012517493748776,0.25025071025567364,0.2503764681793979,0.25050234380843295,0.25062826508991803,0.2507541927950716]",0.2501251749374513,0.25012517493748776,low,,0.10140007361769676,50,solved,solved,train,voyage_037,probe_002,0.08122687758340427,0.012354167230395268,0.11640153179792045,431.63957139021227
1,hydrogen_economy,0.0668995116918154,0.25,5007,1.647698879031168,2.684174733838509e-13,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.004122886407763354,rapidly_falling,low,-281.64769887903117,"[-281.64769887903196,-282.7130461405734,-283.3193214418333,-283.5896432830113,-283.6469982702387,-283.61427040840596]",281.64769887903117,"[281.64769887903117,282.7130461405727,283.31932144183276,283.58964328301096,283.6469982702385,283.6142704084058]",-279.9331004883082,280.0,medium,0.4467879472038731,3.1796787425264483e-13,0.25,8.0,0.4,8.0,-431.8606500782322,"[0.2500000000000159,0.25012537735886325,0.25025122896416124,0.2503773504569686,0.2505035922853533,0.25062985964569456,0.25075611243700885]",0.2501253773588315,0.25012537735886325,low,,0.07770000956952572,50,solved,solved,train,voyage_037,probe_002,0.08148979524557591,0.023566940937157704,0.11660468196999148,431.63898866007946
2,soc_regulation,0.0668995116918154,0.25,5007,5.673752512199144,4.175939466805103e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.004186557994954659,rapidly_falling,low,-285.67375251219914,"[-285.6737525122512,-289.66296795825485,-292.26368525104886,-293.7715450231637,-294.48184625628255,-294.6896033230897]",285.67375251219914,"[285.67375251219914,289.66296795821137,292.26368525101407,293.77154502313766,294.48184625626527,294.6896033230811]",-279.9331004883082,280.0,medium,0.4467879472038731,2.184741276778368e-11,0.45,15.0,0.25,36.0,-432.11551069041957,"[0.2500000000010923,0.25012716958574605,0.2502561149952794,0.25038621813152645,0.2505169925016448,0.250648083067111,0.250779266117025]",0.25012716958356135,0.25012716958574605,low,,0.1097000204026699,125,solved,solved,train,voyage_037,probe_002,0.08383618186472841,0.2794398226535251,0.11840546046366689,431.6338292254377
3,fast_fc_response,0.0668995116918154,0.25,5007,20.04570379454225,1.292765643575174e-13,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.0044149376852265654,rapidly_falling,low,-300.04570379454225,"[-300.0457037945424,-312.9764450172076,-320.33178173860614,-323.6232959992939,-324.34197648428784,-323.96550930458733]",300.04570379454225,"[300.04570379454225,312.9764450172074,320.331781738606,323.6232959992938,324.34197648428784,323.96550930458733]",-279.9331004883082,280.0,medium,0.4467879472038731,1.900701818158268e-13,0.8,1.0,0.15,12.0,-435.320869737254,"[0.2500000000000095,0.25013356735391606,0.250272890913842,0.2504154887511546,0.2505595518280775,0.25070393483043,0.25084815024589685]",0.25013356735389713,0.25013356735391606,low,,0.07899990305304527,50,solved,solved,train,voyage_037,probe_002,0.09248379393240691,3.488109727591367,0.12486456181130923,431.6154116539189
4,fc_smoothing,0.0668995116918154,0.25,5007,0.671809889032204,1.9437531390485563e-12,"[0.0,0.0,0.0,0.0,0.0,0.0]",0.004107472934603624,rapidly_falling,low,-280.6718098890322,"[-280.6718098891176,-281.1394184640253,-281.4397434784606,-281.609683685995,-281.6861196170587,-281.7059143626187]",280.6718098890322,"[280.6718098890322,281.139418463954,281.43974347840356,281.60968368595206,281.6861196170301,281.7059143626045]",-279.9331004883082,280.0,medium,0.4467879472038731,2.7400304247748863e-11,0.1,40.0,0.25,12.0,-431.8412518748383,"[0.25000000000136996,0.2501249429380539,0.2502500940324659,0.2503753788185668,0.2505007392546868,0.2506261337167712,0.2507515369906171]",0.25012494293531384,0.2501249429380539,low,,0.1058999914675951,125,solved,solved,train,voyage_037,probe_002,0.08092606104781502,0.003917782352443248,0.11616875360377237,431.64023927783427
