voyage_id,split,action_id,action_name,q_h2,q_batt,q_soc,q_fc_var,sample_count,transition_count,completed,episode_steps,minimum_soc,final_soc,total_fixed_reward,mean_fixed_reward_per_step,hydrogen_kg,battery_net_energy_kwh,maximum_fc_step_change_kw,first_failure_decision_index,first_failure_execution_index,failure_soc,failure_previous_fc_kw,future_6_loads,solver_status
voyage_001,train,0,candidate_C,0.25,0.4,12.0,20.0,10770,10769,True,10769,0.4463015820671608,0.6186814220860609,-173032.8170795898,-16.067677321904522,49.4832881999076,-42.85720738170028,0.5704955561367342,,,,,,solved
voyage_001,train,1,fast_fc_response,0.25,0.6,12.0,5.0,10770,10769,True,10769,0.4807717868877188,0.5302919203636645,-70588.40516928466,-6.554778082392484,46.334476790044704,12.297841693071323,1.3809564227254327,,,,,,solved
voyage_001,train,2,medium_response,0.25,0.5,10.0,10.0,10770,10769,True,10769,0.46384774532066353,0.5604067782492488,-118153.97627290276,-10.97167576125014,47.387879867415286,-6.493829627532928,0.7347331922136959,,,,,,solved
voyage_001,train,3,balanced,0.25,0.4,10.0,12.0,10770,10769,True,10769,0.45709357933393013,0.5812868589022419,-140431.22085104274,-13.040321371626218,48.15017726319694,-19.522999954997662,0.6459649320923404,,,,,,solved
voyage_001,train,4,strong_fc_smoothing,0.25,0.25,12.0,30.0,10770,10769,True,10769,0.4090565800782601,0.659706241558698,-301014.4857346762,-27.951944074164377,51.09773759598124,-68.45669473262762,0.5287790210502408,,,,,,solved
voyage_001,train,5,soc_recovery,0.15,0.35,20.0,12.0,10770,10769,True,10769,0.4835321287425666,0.5948158863748602,-56743.15751133022,-5.269120392917654,48.60747690621418,-27.965113097914504,0.9736501037231164,,,,,,solved
voyage_001,train,6,economic_discharge,0.5,0.25,6.0,8.0,10770,10769,True,10769,0.3677356932901728,0.5000466932532832,-730646.9059810169,-67.84723799619435,45.29674444571113,31.17086340994964,0.663507492262184,,,,,,solved
voyage_002,train,0,candidate_C,0.25,0.4,12.0,20.0,7171,7170,True,7170,0.4658991542010699,0.5775193486509462,-74614.25913510587,-10.406451762218392,23.17775837925945,-17.172073558190938,0.3951819254286306,,,,,,solved
voyage_002,train,1,fast_fc_response,0.25,0.6,12.0,5.0,7171,7170,True,7170,0.5029697901671855,0.5359050818578057,-29788.882825235178,-4.1546559031011405,21.80714438350894,8.795228920727276,1.1858486966328314,,,,,,solved
voyage_002,train,2,medium_response,0.25,0.5,10.0,10.0,7171,7170,True,7170,0.4877176656297861,0.5554787830469351,-54975.080509167616,-7.667375245351132,22.409138461711933,-3.418760621287563,0.5600356878192088,,,,,,solved
