voyage_id,split,action_id,action_name,q_h2,q_batt,q_soc,q_fc_var,sample_count,transition_count,completed,episode_steps,minimum_soc,final_soc,total_fixed_reward,mean_fixed_reward_per_step,hydrogen_kg,battery_net_energy_kwh,maximum_fc_step_change_kw,first_failure_decision_index,first_failure_execution_index,failure_soc,failure_previous_fc_kw,future_6_loads,solver_status
voyage_001,train,0,candidate_C,0.25,0.4,12.0,20.0,10770,10769,True,10769,0.4463015820671608,0.6186814220860609,-173032.8170795898,-16.067677321904522,49.4832881999076,-42.85720738170028,0.5704955561367342,,,,,,
voyage_001,train,1,hydrogen_economy,0.6,0.15,4.0,2.0,10770,10769,True,10769,0.28270388491571974,0.36691834742524077,-1892226.9810410202,-175.7105563228731,40.702142511072466,114.24295120664564,3.1602220996012846,,,,,,
voyage_001,train,2,balanced,0.25,0.5,20.0,12.0,10770,10769,True,10769,0.4810875519810331,0.5775293485936142,-60729.269390327,-5.639267284829325,48.00325846240814,-17.178313522416452,0.9074557696642955,,,,,,
voyage_001,train,3,soc_maintenance,0.2,0.45,28.0,18.0,10770,10769,True,10769,0.48312830834347537,0.6010530591493809,-60275.018647763776,-5.597085954848526,48.837324578929646,-31.857108909215345,0.9671935855660934,,,,,,
voyage_001,train,4,strong_soc_recovery,0.3,0.45,50.0,18.0,10770,10769,True,10769,0.48569122512474916,0.5876126622736793,-48228.69301981025,-4.47847460486677,48.38759568290263,-23.470301258776647,1.354487726982569,,,,,,
voyage_001,train,5,fast_fc_response,0.15,0.8,12.0,1.0,10770,10769,True,10769,0.5034555418013044,0.5325983300217295,-28835.974303063016,-2.6776835642179417,46.30534237147225,10.858642066440277,3.770084776485078,,,,,,
voyage_001,train,6,fc_smoothing,0.15,0.15,8.0,50.0,10770,10769,True,10769,0.35307105746300044,0.7399173184121008,-516194.8579346415,-47.9334068097912,54.34634259726193,-118.50840668915446,0.3261313911467596,,,,,,
voyage_002,train,0,candidate_C,0.25,0.4,12.0,20.0,7171,7170,True,7170,0.4658991542010699,0.5775193486509462,-74614.25913510587,-10.406451762218392,23.17775837925945,-17.172073558190938,0.3951819254286306,,,,,,
voyage_002,train,1,hydrogen_economy,0.6,0.15,4.0,2.0,7171,7170,True,7170,0.3157122442299235,0.36832039879824274,-1109065.6513438364,-154.68140186106507,16.165114843824018,113.36807114989665,0.813908542937952,,,,,,
voyage_002,train,2,balanced,0.25,0.5,20.0,12.0,7171,7170,True,7170,0.5002782384356498,0.573206401821776,-25200.912593680812,-3.514771630917826,23.170541957725394,-14.48079473678572,0.7686578894960121,,,,,,
voyage_002,train,3,soc_maintenance,0.2,0.45,28.0,18.0,7171,7170,True,7170,0.49941937597865677,0.5990449173922513,-29396.2577025366,-4.099896471762427,24.139978955649088,-30.60402845276519,0.8716646592135078,,,,,,
voyage_002,train,4,strong_soc_recovery,0.3,0.45,50.0,18.0,7171,7170,True,7170,0.502496438415611,0.5716872721165557,-19035.328746476607,-2.654857565756849,23.42409009934233,-13.532857800730838,1.1794997152961457,,,,,,
voyage_002,train,5,fast_fc_response,0.15,0.8,12.0,1.0,7171,7170,True,7170,0.5292710564591177,0.5355445171810832,-9559.658451918529,-1.333285697617647,21.762221963736508,9.020221279004183,5.057610652258404,,,,,,
voyage_002,train,6,fc_smoothing,0.15,0.15,8.0,50.0,7171,7170,True,7170,0.37258894270419524,0.6700872956283465,-302797.9858516262,-42.23123930985024,26.654633469965106,-74.9344724720874,0.21832829002553922,,,,,,
voyage_003,train,0,candidate_C,0.25,0.4,12.0,20.0,14370,14369,True,14369,0.21601829050082996,0.5554098445273166,-984483.2552468502,-68.51438897952886,53.353885955138345,-3.3757429850472094,0.8307854502991177,,,,,,
