decision_index,execution_index,current_load_kw,previous_load_kw,load_delta_kw,load_kw,p_fc_kw,p_batt_kw,soc_before,soc_after,action_id,q_A0,q_A1,q_A2,q_A3,q_best,q_second,q_gap,reward,solver_status
0,1,43.76666,43.76666,0.0,43.79292649607631,43.640877063342714,0.15204943273359817,0.55,0.5499999323141771,0,-0.14139991998672485,-0.16780902445316315,-0.17592690885066986,-0.15899324417114258,-0.14139991998672485,-0.15899324417114258,0.017593324184417725,-0.015857661954347915,solved
1,2,43.79292649607631,43.76666,0.026266496076310375,43.870618440018816,43.51521068184257,0.3554077581762485,0.5499999323141771,0.549999774102034,0,-0.14542895555496216,-0.1718391329050064,-0.17963264882564545,-0.16309988498687744,-0.14542895555496216,-0.16309988498687744,0.017670929431915283,-0.015811691249830274,solved
2,3,43.870618440018816,43.79292649607631,0.07769194394250434,43.99807451539797,43.38969720800056,0.6083773073974044,0.549999774102034,0.5499995032788024,0,-0.15621346235275269,-0.18259717524051666,-0.18976734578609467,-0.1740424633026123,-0.15621346235275269,-0.1740424633026123,0.01782900094985962,-0.015765844958883106,solved
3,4,43.99807451539797,43.870618440018816,0.1274560753791505,44.17363340578417,43.264371788700025,0.9092616170841481,0.5499995032788024,0.5499990985149059,0,-0.16590040922164917,-0.1922680288553238,-0.19884227216243744,-0.18387925624847412,-0.16590040922164917,-0.18387925624847412,0.01797884702682495,-0.015720212979162734,solved
4,5,44.17363340578417,43.99807451539797,0.1755588903862062,44.39563379474786,43.1392683661455,1.2563654286023578,0.5499990985149059,0.5499985392354239,0,-0.17451685667037964,-0.20087803900241852,-0.20688436925411224,-0.19263684749603271,-0.17451685667037964,-0.19263684749603271,0.018119990825653076,-0.015674895112556844,solved
5,6,44.39563379474786,44.17363340578417,0.22200038896368568,44.66241436585943,43.01441967880057,1.647994687058862,0.5499985392354239,0.5499978056195554,0,-0.18208998441696167,-0.20845414698123932,-0.21391962468624115,-0.20034325122833252,-0.18208998441696167,-0.20034325122833252,0.01825326681137085,-0.01562999942282517,solved
6,7,44.66241436585943,44.39563379474786,0.2667805711115747,44.972313802689335,42.88985726232535,2.082456540363985,0.5499978056195554,0.5499968786000841,0,-0.18864518404006958,-0.21502186357975006,-0.21997378766536713,-0.2070235013961792,-0.18864518404006958,-0.2070235013961792,0.01837831735610962,-0.015585640654214958,solved
7,8,44.972313802689335,44.66241436585943,0.30989943682990173,45.323670788807966,42.765611450512914,2.5580593382950525,0.5499968786000841,0.549995739862843,0,-0.19420963525772095,-0.22060729563236237,-0.22507284581661224,-0.21270513534545898,-0.19420963525772095,-0.21270513534545898,0.018495500087738037,-0.015541938710905057,solved
8,9,45.323670788807966,44.972313802689335,0.3513569861186312,45.714824007785765,42.641711376225174,3.0731126315605906,0.549995739862843,0.54999437184618,0,-0.19880980253219604,-0.2252371460199356,-0.22924350202083588,-0.21741461753845215,-0.19880980253219604,-0.21741461753845215,0.018604815006256104,-0.015499017197126803,solved
9,10,45.714824007785765,45.323670788807966,0.39115321897779864,46.144112143193134,42.518184972328044,3.62592717086509,0.54999437184618,0.5499927577404238,0,-0.20247215032577515,-0.2289377599954605,-0.2325107902288437,-0.22117865085601807,-0.20247215032577515,-0.22117865085601807,0.01870650053024292,-0.015457002017814412,solved
10,11,46.144112143193134,45.714824007785765,0.42928813540736854,46.60987387860051,42.39505897262573,4.214814905974777,0.5499927577404238,0.5499908814873495,0,-0.2064698338508606,-0.23297716677188873,-0.23616348206996918,-0.22527015209197998,-0.2064698338508606,-0.22527015209197998,0.018800318241119385,-0.015416020039636269,solved
11,12,46.60987387860051,46.144112143193134,0.4657617354073764,47.110447897578304,42.272358912794424,4.83808898478388,0.5499908814873495,0.5499887277796462,0,-0.21002930402755737,-0.23658396303653717,-0.2394164651632309,-0.22891557216644287,-0.21002930402755737,-0.22891557216644287,0.018886268138885498,-0.015376197812258265,solved
12,13,47.110447897578304,46.60987387860051,0.5005740189777939,47.64417288369694,42.15010913131517,5.49406375238177,0.5499887277796462,0.5499862820603832,0,-0.21315759420394897,-0.23976565897464752,-0.2422776073217392,-0.23212206363677979,-0.21315759420394897,-0.23212206363677979,0.01896446943283081,-0.015337660349691907,solved
13,14,47.64417288369694,47.110447897578304,0.5337249861186351,48.20938752052683,42.02833277040622,6.181054750120609,0.5499862820603832,0.5499835305224781,0,-0.21586424112319946,-0.24253131449222565,-0.24475477635860443,-0.23489999771118164,-0.21586424112319946,-0.23489999771118164,0.019035756587982178,-0.01530052997157911,solved
14,15,48.20938752052683,47.64417288369694,0.5652146368298929,48.80443049163842,41.90705177695432,6.897378714684102,0.5499835305224781,0.5499804601081641,0,-0.21815603971481323,-0.2448873668909073,-0.24685417115688324,-0.23725521564483643,-0.21815603971481323,-0.23725521564483643,0.019099175930023193,-0.015264925204267539,solved
15,16,48.80443049163842,48.20938752052683,0.5950429711115888,49.42764048060209,41.78628690344557,7.641353577156522,0.5499804601081641,0.5499770585084592,0,-0.22004133462905884,-0.24684156477451324,-0.24858318269252777,-0.2391965389251709,-0.22004133462905884,-0.2391965389251709,0.01915520429611206,-0.015230959741527328,solved
16,17,49.42764048060209,48.80443049163842,0.6232099889636729,50.0773561709883,41.666057708895416,8.411298462092887,0.5499770585084592,0.5499733141626338,0,-0.22152823209762573,-0.24840261042118073,-0.24995003640651703,-0.24073278903961182,-0.22152823209762573,-0.24073278903961182,0.019204556941986084,-0.015198741464764954,solved
17,18,50.0773561709883,49.42764048060209,0.6497156903862091,50.75191624636745,41.546382559777925,9.205533686589526,0.5499733141626338,0.5499692162576808,0,-0.22262340784072876,-0.24957622587680817,-0.2509598731994629,-0.24186980724334717,-0.22262340784072876,-0.24186980724334717,0.019246399402618408,-0.015168371522585997,solved
18,19,50.75191624636745,50.0773561709883,0.6745600753791479,51.44965939030997,41.42727863095441,10.022380759355556,0.5499692162576808,0.5499647547277844,0,-0.22333675622940063,-0.250372052192688,-0.2516220808029175,-0.24261808395385742,-0.22333675622940063,-0.24261808395385742,0.019281327724456787,-0.01513994346956156,solved
19,20,51.44965939030997,50.75191624636745,0.6977431439425175,52.168924286386265,41.30876190660124,10.860162379785024,0.5499647547277844,0.5499599202537906,0,-0.2236737608909607,-0.250795841217041,-0.2519415616989136,-0.24298310279846191,-0.2236737608909607,-0.24298310279846191,0.01930934190750122,-0.015113542464052486,solved
20,21,52.168924286386265,51.44965939030997,0.7192648960762966,52.90804961816678,41.19084718113695,11.717202437029826,0.5499599202537906,0.5499547042626772,0,-0.22364336252212524,-0.25085604190826416,-0.2519266605377197,-0.2429739236831665,-0.22364336252212524,-0.2429739236831665,0.01933056116104126,-0.015089244524945495,solved
21,22,52.90804961816678,52.168924286386265,0.7391253317805138,53.66537406922191,41.07354806014873,12.59182600907318,0.5499547042626772,0.549949098927025,0,-0.22325283288955688,-0.2505592107772827,-0.251583456993103,-0.2425980567932129,-0.22325283288955688,-0.2425980567932129,0.019345223903656006,-0.01506711584715616,solved
22,23,53.66537406922191,52.90804961816678,0.7573244510551334,54.43923632312209,40.95687696131797,13.482359361804122,0.549949098927025,0.5499430971644886,0,-0.22250968217849731,-0.24991346895694733,-0.2509194612503052,-0.24186277389526367,-0.22250968217849731,-0.24186277389526367,0.019353091716766357,-0.015047212175754344,solved
23,24,54.43923632312209,53.66537406922191,0.7738622539001767,55.22797506343774,40.840845115345445,14.387129948092294,0.5499430971644886,0.5499366926372682,0,-0.22142094373703003,-0.2489251047372818,-0.24994038045406342,-0.24077534675598145,-0.22142094373703003,-0.24077534675598145,0.019354403018951416,-0.015029578238565955,solved
24,25,55.22797506343774,54.43923632312209,0.7887387403156509,56.02992897373928,40.725462566875315,15.304466406863966,0.5499366926372682,0.5499298797515814,0,-0.21999496221542358,-0.24760212004184723,-0.24865399301052094,-0.23934435844421387,-0.21999496221542358,-0.23934435844421387,0.019349396228790283,-0.015014247237109207,solved
25,26,56.02992897373928,55.22797506343774,0.8019539103015418,56.84343673759712,40.61073817541884,16.232698562178285,0.5499298797515814,0.549922653657136,0,-0.21823841333389282,-0.245951309800148,-0.24706660211086273,-0.23757660388946533,-0.21823841333389282,-0.23757660388946533,0.01933819055557251,-0.015001240395717983,solved
26,27,56.84343673759712,56.02992897373928,0.8135077638578423,57.6668370385817,40.49667961627706,17.170157422304634,0.549922653657136,0.5499150102466026,0,-0.21615880727767944,-0.24397994577884674,-0.24518440663814545,-0.235479474067688,-0.21615880727767944,-0.235479474067688,0.019320666790008545,-0.014990566568711911,solved
27,28,57.6668370385817,56.84343673759712,0.8234003009845736,58.49846856026343,40.383293381462934,18.1151751788005,0.5499150102466026,0.5499069461550878,0,-0.21376413106918335,-0.24169541895389557,-0.24301515519618988,-0.23306095600128174,-0.21376413106918335,-0.23306095600128174,0.01929682493209839,-0.014982221905467129,solved
28,29,58.49846856026343,57.6668370385817,0.8316315216817358,59.33666998621272,40.270584780622684,19.066085205590035,0.5499069461550878,0.5498984587596082,0,-0.21403580904006958,-0.2420349270105362,-0.243514284491539,-0.2333054542541504,-0.21403580904006958,-0.2333054542541504,0.01926964521408081,-0.01497618957324586,solved
29,30,59.33666998621272,58.49846856026343,0.8382014259492863,60.17978000000001,40.158557941956545,20.021222058043463,0.5498984587596082,0.5498895461785638,0,-0.21657294034957886,-0.24460376799106598,-0.2462833970785141,-0.23581218719482422,-0.21657294034957886,-0.23581218719482422,0.01923924684524536,-0.014972439537641474,solved
30,31,60.17978000000001,59.33666998621272,0.8431100137872889,61.10477360670774,40.04721581313856,21.05755779356918,0.5498895461785638,0.5498801722657283,0,-0.21864944696426392,-0.24671639502048492,-0.2486191838979721,-0.23785221576690674,-0.21864944696426392,-0.23785221576690674,0.019202768802642822,-0.01497432418667659,solved
