decision_index,execution_index,current_load_kw,previous_load_kw,load_delta_kw,load_kw,p_fc_kw,p_batt_kw,soc_before,soc_after,action_id,q_A0,q_A1,q_A2,q_A3,q_best,q_second,q_gap,reward,solver_status
0,1,32.07376,32.07376,0.0,31.947796656666668,31.762441039129065,0.18535561753760277,0.55,0.5499999174877059,2,623.5260009765625,625.2736206054688,625.907470703125,625.1082153320312,625.907470703125,625.2736206054688,0.63385009765625,-0.012244525903722664,solved
1,2,31.947796656666668,32.07376,-0.12596334333333203,31.83022765333333,31.45154450322803,0.37868315010530296,0.5499999174877059,0.5499997489143663,2,620.10205078125,621.8366088867188,622.463134765625,621.6591796875,622.463134765625,621.8366088867188,0.62652587890625,-0.012129747906689765,solved
2,3,31.83022765333333,31.947796656666668,-0.11756900333333675,31.72076353,31.141086151999176,0.5796773780008238,0.5499997489143663,0.5499994908671004,2,620.4996337890625,622.2351684570312,622.8634643554688,622.0604858398438,622.8634643554688,622.2351684570312,0.6282958984375,-0.012015152208009075,solved
3,4,31.72076353,31.83022765333333,-0.109464123333332,31.619114826666667,30.831081136187066,0.788033690479601,0.5499994908671004,0.549999140068627,2,620.8885498046875,622.625,623.2550048828125,622.453125,623.2550048828125,622.625,0.6300048828125,-0.011900756852016579,solved
4,5,31.619114826666667,31.72076353,-0.10164870333333198,31.52499208333333,30.521543998894312,1.0034480844390181,0.549999140068627,0.549998693376994,2,621.2689208984375,623.0062866210938,623.637939453125,622.8370361328125,623.637939453125,623.0062866210938,0.63165283203125,-0.011786579468580447,solved
5,6,31.52499208333333,31.619114826666667,-0.0941227433333367,31.43810584,30.212488676894342,1.2256171631056567,0.549998693376994,0.5499981477853082,2,621.6409912109375,623.3790893554688,624.012451171875,623.2125244140625,624.012451171875,623.3790893554688,0.63336181640625,-0.011672637228544091,solved
6,7,31.43810584,31.52499208333333,-0.08688624333333195,31.35816663666667,29.903928501941337,1.4542381347253333,0.5499981477853082,0.5499975004214662,2,622.0042724609375,623.7432250976562,624.378173828125,623.579345703125,624.378173828125,623.7432250976562,0.63494873046875,-0.011558946801258432,solved
7,8,31.35816663666667,31.43810584,-0.07993920333332838,31.284885013333334,29.59587620207748,1.689008811255853,0.5499975004214662,0.5499967485478857,2,622.3591918945312,624.0989379882812,624.735595703125,623.9376220703125,624.735595703125,624.0989379882812,0.63665771484375,-0.011445524314189697,solved
8,9,31.284885013333334,31.35816663666667,-0.07328162333333665,31.21797151,29.28834390293719,1.9296276070628124,0.5499967485478857,0.5499958895612372,2,622.7057495117188,624.4461669921875,625.0843505859375,624.2874755859375,625.0843505859375,624.4461669921875,0.63818359375,-0.011332385314590993,solved
9,10,31.21797151,31.284885013333334,-0.0669135033333319,31.15713666666667,28.981343129048685,2.1757935376179844,0.5499958895612372,0.5499949209921767,2,623.0440063476562,624.7850952148438,625.4248046875,624.6290283203125,625.4248046875,624.7850952148438,0.63970947265625,-0.011219544733220083,solved
10,11,31.15713666666667,31.21797151,-0.06083484333333189,31.102091023333333,28.674884805132606,2.427206218200727,0.5499949209921767,0.5499938405050782,2,623.462890625,625.2048950195312,625.8463134765625,625.0516357421875,625.8463134765625,625.2048950195312,0.64141845703125,-0.011107016850092999,solved
11,12,31.102091023333333,31.15713666666667,-0.055045643333336614,31.05254512,28.368979257397967,2.683565862602034,0.5499938405050782,0.5499926458977675,2,623.8649291992188,625.6077270507812,626.250732421875,625.4572143554688,626.250732421875,625.6077270507812,0.64300537109375,-0.010994815262256333,solved
12,13,31.05254512,31.102091023333333,-0.049545903333331864,31.008209496666662,28.063636214835242,2.9445732818314205,0.5499926458977675,0.5499913351012568,2,624.2506103515625,625.9942016601562,626.6387329101562,625.846435546875,626.6387329101562,625.9942016601562,0.64453125,-0.010882952853567343,solved
13,14,31.008209496666662,31.05254512,-0.04433562333333896,30.968794693333333,27.758864810506612,3.209929882826721,0.5499913351012568,0.5499899061794784,2,624.620361328125,626.3646850585938,627.0107421875,626.2196044921875,627.0107421875,626.3646850585938,0.64605712890625,-0.010771441766466735,solved
14,15,30.968794693333333,31.008209496666662,-0.03941480333332947,30.93401125,27.45467358283351,3.47933766716649,0.5499899061794784,0.5499883573290212,2,624.9744873046875,626.7195434570312,627.3670043945312,626.5769653320312,627.3670043945312,626.7195434570312,0.6474609375,-0.010660293375730087,solved
15,16,30.93401125,30.968794693333333,-0.03478344333333183,30.90356970666667,27.15107047688131,3.7524992297853608,0.5499883573290212,0.5499866868788654,2,625.3136596679688,627.0592651367188,627.708251953125,626.9192504882812,627.708251953125,627.0592651367188,0.64898681640625,-0.010549518264185856,solved
16,17,30.90356970666667,30.93401125,-0.030441543333331822,30.877180603333336,26.848062845641333,4.029117757692003,0.5499866868788654,0.54998489329012,2,625.6380004882812,627.3840942382812,628.0344848632812,627.24658203125,628.0344848632812,627.3840942382812,0.650390625,-0.0104391262003847,solved
17,18,30.877180603333336,30.90356970666667,-0.026389103333332997,30.85455448,26.545657451309953,4.308897028690048,0.54998489329012,0.549982975155759,2,625.9481201171875,627.6947631835938,628.3464965820312,627.5596923828125,628.3464965820312,627.6947631835938,0.6517333984375,-0.010329126118209176,solved
18,19,30.85455448,30.877180603333336,-0.022626123333335357,30.83540187666667,26.243860466565057,4.5915414101016125,0.549982975155759,0.5499809312003592,2,626.244384765625,627.9915161132812,628.64453125,627.8588256835938,628.64453125,627.9915161132812,0.65301513671875,-0.010219526098407332,solved
