candidate,split,condition,points,point_share,condition_MAE,condition_RMSE,condition_WAPE,condition_Bias,condition_underestimation_ratio,actual_mean_kw
candidate_asym_weighted_huber_delta10,train,low_load,21524,0.17979818230419675,0.9027449969043743,2.1361737332794273,18.882770839102314,0.3104175220433497,0.13408288422226353,4.780781074918085
candidate_asym_weighted_huber_delta10,train,normal_load,73714,0.6157611601176156,3.264019751414864,4.962692421809124,6.71069450270895,2.134110153078803,0.28508831429579184,48.63907528642908
candidate_asym_weighted_huber_delta10,train,high_load_p80,24474,0.20444065757818766,4.346142233221752,5.896292434160332,5.614904455678095,-0.07328897326407775,0.5335458037100597,77.40367209323921
candidate_asym_weighted_huber_delta10,train,high_load_p90,12222,0.10209502806736166,4.626382066504769,6.19693345693229,5.468092380570509,-1.1536754208019957,0.6026836851579119,84.6068746560218
candidate_asym_weighted_huber_delta10,train,high_positive_ramp,8653,0.07228180967655708,4.230528854957333,5.9737416949771145,6.513225395078108,-2.378854694055654,0.697792673061366,64.95290118708688
candidate_asym_weighted_huber_delta10,validation_as_test,low_load,13511,0.18477339241268018,1.1801851433658042,2.153943563445643,10.332044280840476,0.8126798342762017,0.08837243727333284,11.422568303511186
candidate_asym_weighted_huber_delta10,validation_as_test,normal_load,50821,0.6950165476874265,4.54858227732781,6.5801895329301034,9.974502285393624,2.2618023763217394,0.32110741622557604,45.60209770054015
candidate_asym_weighted_huber_delta10,validation_as_test,high_load_p80,8790,0.12021005989989333,4.8398988031554415,6.495560234732864,6.36977537350026,-0.15607642823654366,0.5014789533560865,75.98225242432474
candidate_asym_weighted_huber_delta10,validation_as_test,high_load_p90,4014,0.054894559776811354,5.417593694172751,7.09932005498318,6.513368094318899,-1.101210632666344,0.5495764823119084,83.17653195277101
candidate_asym_weighted_huber_delta10,validation_as_test,high_positive_ramp,6170,0.08437953010038018,5.370535708633002,7.222061768311036,9.519497834862,-3.822957079994041,0.7521880064829821,56.4161660814208
