model,task,horizon_step,horizon_seconds,MAE,RMSE,WAPE,Bias
LSTM,taskC_30_to_6,1,1,1.7851216758548725,3.6734715542025533,0.8547977797205465,-0.13451975924777956
LSTM,taskC_30_to_6,6,6,3.849395603457717,8.732654161138251,1.843217752357542,1.3136331244892199
current-hold,taskC_30_to_6,1,1,0.5991396555551975,1.4871998810165128,0.2868954280474225,-0.0011095289328911016
current-hold,taskC_30_to_6,6,6,3.573681567443211,8.865251368918242,1.7111967656604115,-0.006621920154613769
last-slope,taskC_30_to_6,1,1,0.0385056451113839,0.10413678939071785,0.018438261320285584,2.2724403054709732e-06
last-slope,taskC_30_to_6,6,6,0.8025592590731433,2.051634456987884,0.38429188008469717,4.8888084565674975e-05
moving-average-hold,taskC_30_to_6,1,1,8.42196143273107,20.77444506767871,4.032819740504828,-0.0174385076484971
moving-average-hold,taskC_30_to_6,6,6,10.805528246030498,26.60443306599012,5.17404380801856,-0.02295089887021976
ema-hold,taskC_30_to_6,1,1,10.107154146203287,24.8616497491722,4.839766969571137,-0.02171718024427232
ema-hold,taskC_30_to_6,6,6,12.252739835155973,30.066184088941032,5.867016515239803,-0.027229571465994917
