soc_regime,load_regime,transition_regime,action_id,action_name,state_action_count,mean_p_fc0_kw,mean_p_batt0_kw,mean_soc1,mean_common_cost,mean_soc_deadband_component,winner_count
above_soft_range,load_high,rapid_fall,0,balanced,28,599.2747669752707,73.74813112366022,0.6299670915821328,6.49194480226856,3.103203437044705,0
above_soft_range,load_high,rapid_fall,1,hydrogen_economy,28,599.1664236886027,73.85647414197513,0.6299671219083602,6.4920698865001025,3.1032308873850716,0
above_soft_range,load_high,rapid_fall,2,fc_smoothing,28,599.7572129412717,73.2656849207827,0.6299673783279046,6.486707274220946,3.1035144612917565,28
above_soft_range,load_high,rapid_fall,3,soc_protection,28,596.1844749580966,76.83842439504767,0.6299650913898027,6.667606062299177,3.101321635935134,0
above_soft_range,load_high,rapid_rise,0,balanced,28,513.5200910904837,160.9517284489851,0.6299282727228807,6.479000244355411,3.083929005568018,0
above_soft_range,load_high,rapid_rise,1,hydrogen_economy,28,513.4275278724419,161.0442914000539,0.6299283096697668,6.478819936328713,3.0839640614824675,0
above_soft_range,load_high,rapid_rise,2,fc_smoothing,28,513.9391391961001,160.5326801077098,0.629928530876598,6.474577544111865,3.0842094339123483,27
above_soft_range,load_high,rapid_rise,3,soc_protection,28,510.6610811291279,163.8107396405127,0.6299263868162505,6.636998078872958,3.0821628684057507,1
above_soft_range,load_high,stable,0,balanced,28,599.2533852858088,55.13624715334748,0.6299753767002729,6.492074588988422,3.107355998952067,0
above_soft_range,load_high,stable,1,hydrogen_economy,28,599.1455151156746,55.24411705483411,0.6299754073233048,6.492229011052731,3.107383603870144,0
above_soft_range,load_high,stable,2,fc_smoothing,28,599.7487219726574,54.640910229362376,0.6299756692634039,6.48662556307725,3.1076733781626276,28
above_soft_range,load_high,stable,3,soc_protection,28,596.1143586523765,58.27527504566241,0.6299733526086174,6.672002450606199,3.105449429480085,0
above_soft_range,load_low,rapid_fall,0,balanced,26,344.2591726186707,-162.3309150845539,0.6300721826517319,6.432483134796384,3.156255383722093,0
above_soft_range,load_low,rapid_fall,1,hydrogen_economy,26,344.2102297141737,-162.28197245214403,0.6300722405134529,6.432000499266805,3.1563104011108325,0
above_soft_range,load_low,rapid_fall,2,fc_smoothing,26,344.8962270082709,-162.9679697143261,0.63007253922391,6.424344798583718,3.15664392879312,26
above_soft_range,load_low,rapid_fall,3,soc_protection,26,340.5594476873115,-158.6311888458329,0.6300698860072663,6.666154085418232,3.154060291309261,0
above_soft_range,load_low,rapid_rise,0,balanced,26,324.94547853514206,-160.57790992797638,0.6300714022979302,6.423324960718585,3.1558581037398885,0
above_soft_range,load_low,rapid_rise,1,hydrogen_economy,26,324.9005400053166,-160.5329716702102,0.6300714619340855,6.422772449426585,3.155915040632965,0
above_soft_range,load_low,rapid_rise,2,fc_smoothing,26,325.5806438293133,-161.21307546229508,0.6300717580217099,6.415229366609437,3.156245707407607,26
above_soft_range,load_low,rapid_rise,3,soc_protection,26,321.25100371153326,-156.8834337982277,0.6300691085593105,6.656375439476741,3.153665890212415,0
above_soft_range,load_low,stable,0,balanced,26,255.32762617380328,14.864723383180468,0.6299933036516762,6.342443169386657,3.116364940367544,0
above_soft_range,load_low,stable,1,hydrogen_economy,26,255.29286333170947,14.89948595599087,0.6299933670050373,6.341608435320187,3.1164269742502677,0
above_soft_range,load_low,stable,2,fc_smoothing,26,255.83883896423092,14.35351035505501,0.6299936034527214,6.336744668062644,3.1166904432059868,26
above_soft_range,load_low,stable,3,soc_protection,26,252.09493745115358,18.097413366548864,0.6299912369119471,6.529927285589564,3.114411741494494,0
above_soft_range,load_medium,rapid_fall,0,balanced,26,353.8147478071438,91.26712121854533,0.6299592929682134,6.381371925697268,3.0993047434027456,0
above_soft_range,load_medium,rapid_fall,1,hydrogen_economy,26,353.75741644868145,91.3244523089326,0.6299593459213331,6.380772159147512,3.0993562581902783,0
above_soft_range,load_medium,rapid_fall,2,fc_smoothing,26,354.27648214701975,90.80538664203797,0.6299595704195154,6.376473627696931,3.099605768557903,26
above_soft_range,load_medium,rapid_fall,3,soc_protection,26,350.77874088312717,94.30312938611956,0.6299573219067643,6.551807840768632,3.097451355105375,0
above_soft_range,load_medium,rapid_rise,0,balanced,26,317.96703002248563,0.21812965034721707,0.6299998236127013,6.377711690231559,3.1196939101232126,0
above_soft_range,load_medium,rapid_rise,1,hydrogen_economy,26,317.9195055724654,0.2656538308521486,0.6299998813530477,6.377075857004386,3.119749865666835,0
above_soft_range,load_medium,rapid_rise,2,fc_smoothing,26,318.4905765525179,-0.3054171175874797,0.6300001289663933,6.371734981144768,3.1200256432756097,26
above_soft_range,load_medium,rapid_rise,3,soc_protection,26,314.6938409336819,3.4913200049100315,0.6299977364784322,6.569822853532339,3.1177191959149892,0
above_soft_range,load_medium,stable,0,balanced,26,443.4807487509406,-76.26622040934942,0.6300338707771072,6.441857203205528,3.1368207308556726,0
above_soft_range,load_medium,stable,1,hydrogen_economy,26,443.408840084539,-76.19431201367348,0.6300339180170043,6.441664983343546,3.136864968738278,0
above_soft_range,load_medium,stable,2,fc_smoothing,26,444.06165779198534,-76.84712968936478,0.6300342019907326,6.434866908646696,3.1371808408157102,26
above_soft_range,load_medium,stable,3,soc_protection,26,440.0029790754992,-72.78844944642672,0.6300316823424593,6.653095792707087,3.1347409530356254,0
below_soft_range,load_high,rapid_fall,0,balanced,28,600.0000000000258,73.0228975554356,0.46996757301478376,6.50486603779841,3.1363909129673533,14
below_soft_range,load_high,rapid_fall,1,hydrogen_economy,28,599.6818191499931,73.3410786764115,0.4699673521188574,6.505956553635136,3.136541932857219,0
below_soft_range,load_high,rapid_fall,2,fc_smoothing,28,600.0000000000016,73.02289779464301,0.46996750039056856,6.504896232395348,3.136419587407898,0
below_soft_range,load_high,rapid_fall,3,soc_protection,28,600.0000000056056,73.02289625189556,0.4699682165390763,6.50482648533404,3.1363532609013807,14
below_soft_range,load_high,rapid_rise,0,balanced,28,514.400665998359,160.0711529977191,0.4699288233006333,6.517620317458657,3.1560936991362287,10
below_soft_range,load_high,rapid_rise,1,hydrogen_economy,28,513.9429233338323,160.5288959344902,0.46992853988026395,6.516052451691651,3.1563359255925123,8
below_soft_range,load_high,rapid_rise,2,fc_smoothing,28,514.2209372575669,160.250881978837,0.46992867030508156,6.5154476434500195,3.1562251831474977,0
below_soft_range,load_high,rapid_rise,3,soc_protection,28,515.5649194800874,158.90689820007856,0.46992999406950603,6.592542386064824,3.155380937549805,10
