candidate,family,q_h2,q_batt,q_soc,q_fcvar,completed,failures,reward_per_step,worst_min_soc,mean_final_soc,h2_kg_h,battery_net_discharge_kwh,battery_throughput_kwh,fc_tv_kw_h,mean_fc_kw,fc_ge_590_fraction,first_p_fc_range_kw
B0,baseline_nominal,0.25,0.4,12,20,7,0,-3.33769223778932,0.4162220514600962,0.47141363320492535,20.928426585915684,343.26525016088607,350.67339857807457,262.4227026009743,376.49353979325355,0.42857142857142855,593.8585981748924
B1,balanced,0.25,0.45,30,20,7,0,-3.333198762336377,0.41622205146009744,0.47170683457357526,20.99015994238335,341.98454658262335,349.5249841246731,292.9808523775564,377.5912857174788,0.42857142857142855,593.8585706176777
B2,balanced,0.25,0.5,50,20,7,0,-3.3289160600395706,0.4162220514601048,0.4719959251376099,21.05134284793162,340.7217989989181,348.39489667646546,324.3605157594906,378.6736407892262,0.42857142857142855,593.8585430742838
B3,balanced,0.3,0.45,30,16,7,0,-3.3442882239593885,0.4162220514600983,0.47030174516581014,20.694787414371643,348.1219771157405,354.37324573009016,382.21312571690515,372.33063097480687,0.42857142857142855,593.9200266909833
B4,balanced,0.2,0.5,40,16,7,0,-3.3205997715637,0.41622205146010216,0.47259391526775885,21.178894962040776,338.1097781104297,346.11204675111304,363.92594697283806,380.9125158365019,0.42857142857142855,593.8584742762005
B5,balanced,0.3,0.55,50,24,7,0,-3.3321761736400384,0.41622205146010244,0.47177279612510953,21.004042632288172,341.69642652552193,349.258724380849,304.689377841063,377.83824576642286,0.42857142857142855,593.8585660261526
E0,baseline_economy,0.4,0.25,8,8,7,0,-3.7455056652127423,0.4140051374900694,0.46027999546277426,18.605766449673045,391.89697981860246,394.44544607159077,738.6295187400793,334.8092000866395,0.23976190476190476,594.1248562937968
E1,economy,0.5,0.25,12,12,7,0,-4.03988742194497,0.4110768622844816,0.4598317592120906,18.465099674995297,393.85487576158994,396.631589110356,745.7946500372965,333.13100356407887,0.14166666666666666,593.967633269599
E2,economy,0.4,0.35,20,12,7,0,-3.4007682758447566,0.4162220383597381,0.46593574643597957,19.789990813072567,367.1926595676423,370.8787673677931,500.55744193425954,355.98433173031964,0.42857142857142855,594.0407554571697
E3,economy,0.35,0.3,30,16,7,0,-3.374239368658997,0.4162220401663199,0.4682143562811077,20.259570837546992,357.2396917641207,362.36769286692123,355.05340121890106,364.51544699048105,0.42857142857142855,593.9319458959411
E4,economy,0.5,0.35,30,20,7,0,-3.4225058174795526,0.4159680404844064,0.46687782192402116,19.979405185281394,363.0776738358742,367.58235293201113,394.25124339405136,359.51146235754953,0.42857142857142855,593.9638324032951
E5,economy,0.35,0.4,40,20,7,0,-3.354103464776519,0.4162220514601009,0.46981241785862654,20.592020863319796,350.2593587935199,356.40257991066704,325.9406669220055,370.4985895367103,0.42857142857142855,593.9078492498145
F0,baseline_fast,0.15,0.8,12,8,7,0,-3.2758615536188675,0.4162220514600963,0.4762859372610893,21.99925126122392,321.98302604356184,331.60226820631794,755.99813434951,394.73544617953155,0.43166666666666664,593.9188486483897
R0,baseline_soc,0.25,0.45,80,8,7,0,-3.3306897527642474,0.41622205146040997,0.47013614542599175,20.671579416098314,348.8453167792686,353.9298828026812,747.0142734002749,371.71062554892575,0.42857142857142855,594.0422588047992
R1,soc,0.2,0.55,80,12,7,0,-3.3115902627712264,0.4162220514602,0.4728393016226038,21.23569575862992,337.0379305124661,344.6938030078418,532.8232413969205,381.83124234904204,0.42857142857142855,593.8992624807331
R2,soc,0.15,0.65,80,12,7,0,-3.2959144816206347,0.41622205146019997,0.47466047013410256,21.627793024298647,329.08306645424034,338.2699795625115,543.3686411197243,388.64969725609274,0.42857142857142855,593.8582227524215
R3,soc,0.2,0.65,120,12,7,0,-3.3022849006012462,0.4162220514610651,0.4736476254879963,21.412438586621906,333.50717186843286,341.58109881784964,610.7291182591531,384.8576069010706,0.42857142857142855,593.8991407238668
R4,soc,0.15,0.8,120,8,7,0,-3.2751752814643718,0.41622205146138014,0.476369509276804,22.019286605362904,321.6179834789199,331.2487206092984,751.5701122935183,395.04833980636744,0.43666666666666665,593.9188486483897
R5,soc,0.25,0.6,120,16,7,0,-3.3183861427634587,0.4162220514608969,0.4724148893435161,21.14324624861834,338.89176334752096,346.38821805044927,492.5502228921333,380.24224277613797,0.42857142857142855,593.8891401737133
S0,smooth,0.25,0.4,20,30,7,0,-3.333937872072035,0.4162220514600963,0.4721844487028387,21.09138772031225,339.8983280660008,348.14849691466844,184.75002479505434,379.37947301744094,0.42857142857142855,593.817599332121
S1,smooth,0.25,0.5,30,40,7,0,-3.328325551401671,0.41622205146009644,0.4728552622231334,21.233420996828897,336.96821460935234,345.82933361554007,163.7031854247548,381.8909988374253,0.42857142857142855,593.797065918177
S2,smooth,0.2,0.55,50,30,7,0,-3.3213677508839234,0.4162220514600997,0.47328485547624916,21.324387122906142,335.0917512797443,344.1397239733136,222.44849979780568,383.49939597708936,0.42857142857142855,593.8011395849227
S3,smooth,0.3,0.4,30,40,7,0,-3.3360628203533578,0.41622203789334117,0.4721562355359696,21.085698149282386,340.0215631788843,348.3455713357515,155.55701213819572,379.2738429206837,0.42857142857142855,593.7857755897198
S4,smooth,0.35,0.5,50,40,7,0,-3.3361659248482227,0.41622203630921123,0.4719762502827338,21.047269841736085,340.80773876501956,348.8840314582018,191.44864855333844,378.5999781325677,0.42857142857142855,593.7956381988799
S5,smooth,0.2,0.65,60,30,7,0,-3.3171457915253755,0.4162220514601037,0.47359714982969914,21.391010301849608,333.7276495438749,342.95682945526255,250.60487129682397,384.6686260364061,0.42857142857142855,593.8011199801363
