candidate,family,q_h2,q_batt,q_soc,q_fcvar,regime,segment_id,completed,failure_step,failure_status,steps,hours_executed,reward_per_step,min_soc,final_soc,h2_kg_h,battery_net_discharge_kwh_h,battery_throughput_kwh_h,fc_tv_kw_h,mean_fc_kw,fc_ge_590_fraction,first_p_fc_kw,first_p_batt_kw
E0,economy_extreme,0.4,0.25,8.0,8.0,low_load,train_parent_037_02,True,,,3271,0.9086111111111111,-4.327633068588089,0.4399176712898099,0.4399176712898099,0.4256090119373843,75.60041064340436,75.60041064340436,57.04703433447179,8.67881110899569,0.0,5.7726834941559115,0.5336125180640883
E2,economy_moderate,0.4,0.35,20.0,12.0,low_load,train_parent_037_02,True,,,3271,0.9086111111111111,-2.0919352729560377,0.4535882771784861,0.4811234093979027,1.8655573089279163,47.30185665807234,85.12204682480856,223.17049217571503,36.97736509432771,0.0,5.936504052433162,0.36979195978683777
B2,balanced,0.25,0.5,50.0,20.0,low_load,train_parent_037_02,True,,,3271,0.9086111111111111,-0.3729602160406694,0.47901371696605277,0.5117067788559687,2.932769923053764,26.298346676232,76.39194038617674,327.3929268156255,57.98087507616804,0.0,6.141456925716074,0.16483908650392554
B4,balanced,0.2,0.5,40.0,16.0,low_load,train_parent_037_02,True,,,3271,0.9086111111111111,-0.3547633689462496,0.4791963562839719,0.5099325139702484,2.8670108819437723,27.516845190228093,74.51359822237188,335.10478970147096,56.76237656217196,0.0,6.141525723799677,0.16477028842032304
S1,smooth,0.25,0.5,30.0,40.0,low_load,train_parent_037_02,True,,,3271,0.9086111111111111,-1.6585505054259366,0.4590729140748129,0.48406488393634867,1.9585395237309178,45.28176237401163,79.60885567694869,186.7414241327083,38.99745937838843,0.0,6.202934081823136,0.10336193039686403
S3,smooth,0.3,0.4,30.0,40.0,low_load,train_parent_037_02,True,,,3271,0.9086111111111111,-1.968551323477735,0.4562225582376429,0.4800847616814747,1.8209601042982546,48.01516091676552,80.79049189580812,189.08471732762806,36.26406083563454,0.0,6.190593636911345,0.11570237530865501
S5,smooth_protective,0.2,0.65,60.0,30.0,low_load,train_parent_037_02,True,,,3271,0.9086111111111111,-0.34242860920091894,0.477958298533623,0.5122605316987288,2.9471637613278316,25.9180500128325,75.44334504866868,283.9039913341953,58.36117173956755,0.0,6.198880019863727,0.1074159923562732
R2,soc,0.15,0.65,80.0,12.0,low_load,train_parent_037_02,True,,,3271,0.9086111111111111,-0.09418734655810294,0.48644604390389534,0.5172753370562313,3.117969632016495,22.474069959303694,65.76564861656558,458.9472820487367,61.805151793096364,0.0,6.141777247578474,0.16451876464152537
R4,soc_extreme,0.15,0.8,120.0,8.0,low_load,train_parent_037_02,True,,,3271,0.9086111111111111,-0.06262416170912988,0.48824500227607104,0.5154755020876768,3.066704897942308,23.710129046238773,61.40197549216983,721.9443864390746,60.56909270616128,0.0,6.081151351610472,0.2251446606095282
R6,soc_refined,0.15,0.65,120.0,12.0,low_load,train_parent_037_02,True,,,3271,0.9086111111111111,-0.0677502890798445,0.4889256561765157,0.5217456474619495,3.279200393951058,19.404028597211717,67.44815696919837,505.5043552577979,64.87519315518834,0.0,6.141777247578474,0.16451876464152537
R7,soc_refined,0.15,0.7,160.0,12.0,low_load,train_parent_037_02,True,,,3271,0.9086111111111111,-0.05941548461389465,0.48980745794297303,0.5255318374327761,3.4201538937029796,16.80381546652734,67.47607369015334,570.0232729688302,67.47540628587271,0.0,6.141822855356828,0.16447315686317143
E0,economy_extreme,0.4,0.25,8.0,8.0,ordinary,train_parent_061_01,True,,,7080,1.9666666666666666,-19.801980744623393,0.39978329052629585,0.45837652864458817,12.179800021449077,29.071040402937868,75.38940960559525,427.3050662774245,231.55505418048534,0.0,88.06143495602346,0.5149626880765368
E2,economy_moderate,0.4,0.35,20.0,12.0,ordinary,train_parent_061_01,True,,,7080,1.9666666666666666,-4.016331502833004,0.43712486691524916,0.48968439323526436,12.72598820316783,19.13742641755626,74.19601397992018,565.2800848781023,241.488668165867,0.0,88.23291855881953,0.3434790852804639
B2,balanced,0.25,0.5,50.0,20.0,ordinary,train_parent_061_01,True,,,7080,1.9666666666666666,-0.6376586822146278,0.46804445810935963,0.512630349442991,13.075019268854996,11.856946753002209,67.5594682164335,545.1020684948085,248.76914783042105,0.0,88.44745852549764,0.12893911860236074
B4,balanced,0.2,0.5,40.0,16.0,ordinary,train_parent_061_01,True,,,7080,1.9666666666666666,-0.5331123660662485,0.47139431468539217,0.512816589488378,13.058291780024968,11.797854996228939,55.86930245700713,474.01695621472965,248.82823958719428,0.0,88.44753054175288,0.1288671023471153
S1,smooth,0.25,0.5,30.0,40.0,ordinary,train_parent_061_01,True,,,7080,1.9666666666666666,-2.484511914112108,0.4427699331929336,0.532068108794851,13.46560496003305,5.689576328141521,73.44965884629222,379.85097985613646,254.93651825528173,0.0,88.51181140238735,0.0645862417126466
S3,smooth,0.3,0.4,30.0,40.0,ordinary,train_parent_061_01,True,,,7080,1.9666666666666666,-3.212847872293541,0.4346865419471629,0.5227026463920993,13.344910666737299,8.661126432880268,81.74821481600858,421.9074775634374,251.96496815054294,0.0,88.49889370771085,0.07750393638914943
S5,smooth_protective,0.2,0.65,60.0,30.0,ordinary,train_parent_061_01,True,,,7080,1.9666666666666666,-0.4912758716535258,0.46966852178209234,0.5250153901770436,13.268189318619477,7.927320269250288,60.71835549059938,367.52086793737493,252.69877431417294,0.0,88.50756770331762,0.06882994078237914
R2,soc,0.15,0.65,80.0,12.0,ordinary,train_parent_061_01,True,,,7080,1.9666666666666666,-0.1494214375740283,0.4888350629711377,0.5057964772825403,12.912477121434412,14.025253309675293,40.844808481496834,490.68070978598496,246.60084127374793,0.0,88.44779383107532,0.12860381302468227
R4,soc_extreme,0.15,0.8,120.0,8.0,ordinary,train_parent_061_01,True,,,7080,1.9666666666666666,-0.10939862285216381,0.4952649630998952,0.4990513946781466,12.78602200357483,16.16538799364527,32.980865442945834,521.656395724748,244.46070658977797,0.0,88.38433203377296,0.19206561032703462
R6,soc_refined,0.15,0.65,120.0,12.0,ordinary,train_parent_061_01,True,,,7080,1.9666666666666666,-0.1264142116034102,0.4906797531246582,0.5045672605720881,12.895022366144605,14.415269187974172,40.61437168079632,548.9586650263076,246.2108253954491,0.0,88.44779383107532,0.12860381302468227
R7,soc_refined,0.15,0.7,160.0,12.0,ordinary,train_parent_061_01,True,,,7080,1.9666666666666666,-0.1131951696191935,0.4926133545880852,0.5048909927058852,12.896647318006147,14.312552822810247,37.50811722173237,514.0170644565131,246.31354176061296,0.0,88.44784157225162,0.12855607184837936
E0,economy_extreme,0.4,0.25,8.0,8.0,fluctuating,train_parent_063_01,True,,,11431,3.1752777777777776,-65.24893558913026,0.27436396272710345,0.45715458994519836,27.952501188528707,18.24581656435178,137.0322765741438,450.2065219097685,497.6493616257571,0.5082669932639314,76.86320606291142,0.5118790958885882
E2,economy_moderate,0.4,0.35,20.0,12.0,fluctuating,train_parent_063_01,True,,,11431,3.1752777777777776,-26.37929683448875,0.3271432282370922,0.48753695590199214,28.281502708617747,12.275127483314376,131.396061347749,483.07031304046353,503.6200507067945,0.5074796605721285,77.03364684363257,0.34143831516743717
B2,balanced,0.25,0.5,50.0,20.0,fluctuating,train_parent_063_01,True,,,11431,3.1752777777777776,-14.454106416755023,0.35240939060985493,0.5178877149573919,28.588438057976923,6.3106497349065895,121.42081681320325,453.88982901938147,509.5845284552023,0.4947948560930802,77.24688215488264,0.1282030039173634
B4,balanced,0.2,0.5,40.0,16.0,fluctuating,train_parent_063_01,True,,,11431,3.1752777777777776,-14.616966874056855,0.35113616105946927,0.5146972468598903,28.53797602541201,6.937634909802025,119.40348133597485,469.6331484316981,508.9575432803068,0.47546146443880677,77.2469537331945,0.1281314256055026
S1,smooth,0.25,0.5,30.0,40.0,fluctuating,train_parent_063_01,True,,,11431,3.1752777777777776,-23.99259258276556,0.3384052321857519,0.5590124696023319,29.119746181864578,-1.7711146631683305,140.08700842384636,314.57736885920707,517.6662928532772,0.5408975592686555,77.31084369056248,0.06424146823752608
S3,smooth,0.3,0.4,30.0,40.0,fluctuating,train_parent_063_01,True,,,11431,3.1752777777777776,-26.39942578361623,0.3359985686622983,0.5559650202545218,29.099189086295194,-1.1722352812318173,142.574615447837,312.9559492174723,517.0674134713406,0.5478085906744816,77.29800455066878,0.07708060813122586
S5,smooth_protective,0.2,0.65,60.0,30.0,fluctuating,train_parent_063_01,True,,,11431,3.1752777777777776,-15.70289315494584,0.34804867583018007,0.5511848866572465,28.977264067515726,-0.23285184033238493,122.6014838038071,382.1308192978764,516.1280300304412,0.49523226314408186,77.30662579817631,0.06845936062369162
R2,soc,0.15,0.65,80.0,12.0,fluctuating,train_parent_063_01,True,,,11431,3.1752777777777776,-12.953657487897344,0.3547786025629457,0.5133321286980869,28.489962663797176,7.205905528179643,108.96582694251742,560.5130341255586,508.6892726619292,0.44799230163590237,77.24721542140803,0.1278697373919755
R4,soc_extreme,0.15,0.8,120.0,8.0,fluctuating,train_parent_063_01,True,,,11431,3.1752777777777776,-13.753883899847542,0.3515430303373466,0.5164930337081021,28.506371575490164,6.584730039201949,101.56652372523762,687.6028233176426,509.3104481509069,0.44528037791969205,77.18413954650326,0.19094561229674412
R6,soc_refined,0.15,0.65,120.0,12.0,fluctuating,train_parent_063_01,True,,,11431,3.1752777777777776,-12.398816756728504,0.35668310422083505,0.5140019542808507,28.494297347947203,7.0742725836325775,106.86808316108122,563.4249036711304,508.82090560647623,0.4453678593298924,77.24721542140803,0.1278697373919755
