candidate,family,q_h2,q_batt,q_soc,q_fcvar,completed,failures,reward_per_step,worst_min_soc,mean_min_soc,mean_final_soc,h2_kg_h,battery_net_discharge_kwh_h,battery_throughput_kwh_h,fc_tv_kw_h,mean_fc_kw,fc_ge_590_fraction
B2,balanced,0.25,0.5,50.0,20.0,4,1,-28.235621890469623,0.2012812387519186,0.35862893871379936,0.42104729708567434,19.459258903231905,59.82827162224231,133.28709637530682,472.3419295385944,351.67263479380364,0.3272113988417821
B4,balanced,0.2,0.5,40.0,16.0,4,1,-27.19931898402217,0.20121952800916226,0.36010241014105027,0.42111321665664236,19.393369238153042,60.08448105075539,128.10689798637452,467.2009791593083,350.70824627746583,0.3244217775476587
E0,economy_extreme,0.4,0.25,8.0,8.0,4,1,-69.08865547924407,0.20113299752464864,0.3058130201257028,0.3679566960506307,17.47094139805318,85.15021160838964,143.67430389066695,447.08787679365685,315.006153287789,0.30084814270764326
E2,economy_moderate,0.4,0.35,20.0,12.0,4,1,-39.830799861429654,0.20121780303786993,0.33632641027544863,0.3982909903739662,18.62034197326719,70.56914295764156,141.2007330399787,535.0407262892852,336.00128639451634,0.31555423578952285
R2,soc,0.15,0.65,80.0,12.0,4,1,-22.48017864351339,0.20121661115800946,0.37023315035392745,0.42536889993101257,19.476050374704638,58.08874199830427,115.33705873963996,528.1278284589192,352.4762499970523,0.3280311671125231
R4,soc_extreme,0.15,0.8,120.0,8.0,4,1,-20.965795516546233,0.20124977429055832,0.37342655500386285,0.42648684481322013,19.388081814736232,58.334334124726524,106.17206243446576,645.8084172176979,350.95340820839056,0.3264275983498724
R6,soc_refined,0.15,0.65,120.0,12.0,4,1,-21.989289159531914,0.20119801790622113,0.37194854911934916,0.4266207217352617,19.486085246882123,57.501085684653596,113.76002929771917,552.0142965504091,352.68401400351917,0.32929952799260176
R7,soc_refined,0.15,0.7,160.0,12.0,4,1,-21.513489692313534,0.20123309083540902,0.37319626177416587,0.4279882796935917,19.51516470138272,56.81446599787157,111.94423937958906,564.2220969775606,353.2434599758803,0.32994222814556573
S1,smooth,0.25,0.5,30.0,40.0,4,1,-43.66937637093677,0.2012754094330168,0.33719271194368927,0.41803909137734657,18.870014881141365,65.83438597967117,140.10302485108986,321.4079273202603,341.01275369251806,0.31507121906026847
S3,smooth,0.3,0.4,30.0,40.0,4,1,-47.19119178467925,0.20118792313665296,0.3327677568468664,0.41300361160071564,18.787762299060866,67.70660790820227,144.1493398645206,334.760259244073,339.1681320391663,0.3159666900905587
S5,smooth_protective,0.2,0.65,60.0,30.0,4,1,-28.907270290993203,0.20121596988728868,0.35739511019861836,0.4298190755337002,19.5942846124676,57.682583284493845,131.3774123956652,385.99798837865535,354.220333972187,0.3254843041975877
