dataset_version,voyage_id,split,time_original_or_reconstructed,timestamp,time_s,load_total_kw,source_interval_start_time,source_interval_end_time,is_original_30s_point,online_feasible,uses_future_endpoint,file_name
cubic_spline_1s_natural_clipped,voyage_022,train,original_30s_point,2024-04-29 08:00:07,0.0,1e-06,2024-04-29T08:00:07,2024-04-29T08:00:07,True,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:08,1.0,1.0000739370115253e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:09,2.0,1.0001473805613498e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:10,3.0,1.0002198371877724e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:11,4.0,1.000290813429092e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:12,5.0,1.000359815823608e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:13,6.0,1.000426350909619e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:14,7.0,1.0004899252254247e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:15,8.0,1.0005500453093233e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:16,9.0,1.0006062176996147e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:17,10.0,1.0006579489345974e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:18,11.0,1.0007047455525706e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:19,12.0,1.0007461140918336e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:20,13.0,1.0007815610906848e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:21,14.0,1.000810593087424e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
cubic_spline_1s_natural_clipped,voyage_022,train,reconstructed_1s_point,2024-04-29 08:00:22,15.0,1.0008327166203497e-06,2024-04-29T08:00:07,2024-04-29T08:00:37,False,False,True,4月29日08_00_4月29日18_00.xlsx
