dataset_version,voyage_id,load_min_original_30s,load_max_original_30s,load_min_spline_1s,load_max_spline_1s,negative_load_count,negative_load_ratio,original_30s_negative_load_count,original_30s_negative_load_ratio,reconstructed_1s_negative_load_count,reconstructed_1s_negative_load_ratio,above_original_local_max_count,above_original_local_max_ratio,below_original_local_min_count,below_original_local_min_ratio,global_overshoot_count,global_overshoot_ratio,comment
cubic_spline_1s_natural,voyage_001,0.0,634.152333,-33.144481555567815,655.6893243071898,321,0.029802246773744313,0,0.0,321,0.030832773028527518,1273,0.12227451733743157,1540,0.14792046873499184,347,0.03221613592052734,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_002,-70.8582,490.8397,-70.8582,493.5177016096948,102,0.01428371376557905,4,0.016736401673640166,98,0.014198782961460446,1001,0.14503042596348883,1110,0.16082294986960302,21,0.002940764598795687,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_003,-107.153667,812.5562,-107.90506971936836,844.5642442032121,524,0.036538595634892965,12,0.025052192066805846,512,0.03693550714182658,2190,0.15798586062617226,2348,0.16938392728322033,76,0.005299490969946308,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_004,0.0,723.015433,-49.3116845011073,732.5640114750466,170,0.015827204170933806,0,0.0,170,0.016374494317087266,1560,0.15026006549797727,1842,0.17742246195338085,179,0.016665114979983242,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_005,-108.273,659.281467,-108.36987126598736,659.7896879678441,1568,0.06229390965793969,49,0.058333333333333334,1519,0.06243064403435946,3421,0.14060252352965352,3756,0.15437096707903497,69,0.00274124985101903,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_006,-107.5032,500.3436,-109.04740624164376,503.0506739177802,2329,0.21622876241760283,75,0.20833333333333334,2254,0.21650177696666986,1346,0.12928633176447987,1259,0.12092978580347709,39,0.0036208337201745428,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_007,-108.203733,628.200933,-108.26655649355206,633.6271330978536,351,0.03267852155292803,9,0.025069637883008356,342,0.03294162974378732,1391,0.13398189173569638,1527,0.1470814871893662,39,0.003630946839214226,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_008,2e-06,815.424,-0.0144716211722869,815.6703448593581,98,0.006847879253720914,0,0.0,98,0.007084508060435191,2247,0.16243764909997832,2202,0.1591845586640642,259,0.01809796659911956,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_009,-107.915,418.7092,-108.11086759163751,424.1821580717892,1661,0.11582176975106338,50,0.10438413361169102,1611,0.11621699610445824,2100,0.15149329101139808,2392,0.17255807242822105,47,0.003277316784045743,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_010,-54.56124,503.780067,-54.7355593737445,522.7970916305379,1536,0.14260514344072045,49,0.1361111111111111,1487,0.1428296993564499,1481,0.142253385841898,1830,0.17577562193833446,91,0.0084486120137406,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_011,-109.395,850.99286,-109.51525116399492,856.2158684719548,2943,0.1022905008515519,92,0.09583333333333334,2851,0.10251339398079896,4132,0.14857430513106326,4522,0.16259753335011326,31,0.0010774738451913386,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_012,-111.719998,401.428267,-111.90475469957714,405.6619801678165,14448,0.4463254147230546,480,0.4444444444444444,13968,0.4463903358793263,3736,0.11939535329647502,3878,0.12393339938001342,37,0.001142998362732075,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_013,-110.765333,705.286667,-110.80216894710269,706.3103941966929,10868,0.2748539490655269,360,0.27293404094010615,10508,0.2749202030244362,4503,0.11781173146355502,4725,0.12361990476688818,30,0.0007587061531069017,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_014,-110.759998,703.746033,-111.41037267626056,714.8816358863353,4281,0.1489509759576911,144,0.15015641293013557,4137,0.148909365776402,3140,0.11302282053127924,3337,0.12011374271110792,43,0.0014961205246859888,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_015,-108.5909,785.682467,-108.61607217636686,806.0846477484042,3081,0.14283065226461453,98,0.1361111111111111,2983,0.1430626828449475,2538,0.12172078077790034,2561,0.1228238453791185,44,0.002039775624681285,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_016,-6.4e-05,841.6076,-0.1278118384976151,843.047455666382,465,0.016178977766953134,11,0.011470281543274244,454,0.01634151608955439,3251,0.1170182132315888,3743,0.13472752141674466,212,0.007376222121707665,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_017,-105.645641,381.636667,-105.71004683753334,381.963144637211,452,0.04208174285448282,11,0.03064066852367688,441,0.042477364669620495,1158,0.1115392024658062,1220,0.11751107686380273,38,0.003537845638208733,negative load present in original 30s nodes and reconstructed 1s interior; clipped version required for nonnegative-only diagnostics; local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_018,41.03338000000001,770.075733,40.83492801853531,792.8451677296626,0,0.0,0,0.0,0,0.0,2084,0.12221440300258034,2048,0.1201032136992728,67,0.0037979706365852276,local endpoint overshoot present; global original-range overshoot present
cubic_spline_1s_natural,voyage_019,0.0,701.068267,-0.0434940739590179,703.5577549255304,120,0.0033360206833282367,0,0.0,120,0.003451151821920566,4349,0.1250754939461045,4763,0.13698196773173046,136,0.003780823441105335,negative load introduced in reconstructed 1s interior; clipped version required; local endpoint overshoot present; global original-range overshoot present
