voyage_id,file_name,start_time,end_time,duration_h,num_samples,mean_load_kw,max_load_kw,min_load_kw,negative_load_count,missing_value_count,timestamp_gap_count,timestamp_monotonic_increasing,load_identity_max_abs_error_kw,extreme_load_gt_1000kw_count,load_definition,load_scope
voyage_001,3月25日14_00_3月25日17_00.xlsx,2024-03-25T14:00:25,2024-03-25T16:59:55,2.9916666666666667,360,195.95389819999997,634.152333,0.0,0,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_002,3月26日14_00_3月26日16_00.xlsx,2024-03-26T14:00:27,2024-03-26T15:59:27,1.9833333333333334,239,208.070322665272,490.8397,-70.8582,4,0,0,True,5.684341886080802e-14,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_003,3月27日07_00_3月27日11_00.xlsx,2024-03-27T07:00:29,2024-03-27T10:59:29,3.9833333333333334,479,176.07332542588728,812.5562,-107.153667,12,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_004,3月28日08_00_3月28日11_00.xlsx,2024-03-28T08:00:01,2024-03-28T10:59:01,2.9833333333333334,359,267.7953486183844,723.015433,0.0,0,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_005,3月29日08_00_3月29日15_00.xlsx,2024-03-29T08:00:04,2024-03-29T14:59:34,6.991666666666666,840,238.8455828988095,659.281467,-108.273,49,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_006,4月2日14_00_4月2日17_00.xlsx,2024-04-02T14:00:12,2024-04-02T16:59:42,2.9916666666666667,360,170.78153165833334,500.3436,-107.5032,75,0,0,True,5.684341886080802e-14,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_007,4月3日08_00_4月3日11_00.xlsx,2024-04-03T08:00:14,2024-04-03T10:59:14,2.9833333333333334,359,275.1920974011142,628.200933,-108.203733,9,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_008,4月7日08_00_4月7日12_00.xlsx,2024-04-07T08:00:24,2024-04-07T11:58:54,3.975,478,206.4847003493724,815.424,2e-06,0,0,0,True,1.1368683772161603e-13,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_009,4月8日08_00_4月8日12_00.xlsx,2024-04-08T08:00:26,2024-04-08T11:59:26,3.9833333333333334,479,82.31855634237998,418.7092,-107.915,50,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_010,4月9日08_00_4月9日11_00.xlsx,2024-04-09T08:00:28,2024-04-09T10:59:58,2.9916666666666667,360,211.4017035472222,503.780067,-54.56124,49,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_011,4月12日08_00_4月12日16_00.xlsx,2024-04-12T08:00:03,2024-04-12T15:59:33,7.991666666666666,960,188.70644970312503,850.99286,-109.395,92,0,0,True,1.1368683772161603e-13,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_012,4月15日08_00_4月15日17_00.xlsx,2024-04-15T08:00:08,2024-04-15T16:59:38,8.991666666666667,1080,58.14610551944444,401.428267,-111.719998,480,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_013,4月16日08_00_4月16日19_00.xlsx,2024-04-16T08:00:10,2024-04-16T18:59:10,10.983333333333333,1319,226.54729927369218,705.286667,-110.765333,360,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_014,4月17日07_00_4月17日17_00.xlsx,2024-04-17T09:00:11,2024-04-17T16:59:11,7.983333333333333,959,179.69812555161624,703.746033,-110.759998,144,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_015,4月18日12_00_4月18日18_00.xlsx,2024-04-18T12:00:13,2024-04-18T17:59:43,5.991666666666666,720,257.24705575416664,785.682467,-108.5909,98,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_016,4月21日08_00_4月21日16_00.xlsx,2024-04-21T08:00:18,2024-04-21T15:59:18,7.983333333333333,959,244.37692729405634,841.6076,-6.4e-05,11,0,0,True,1.1368683772161603e-13,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_017,4月22日14_00_4月22日17_00.xlsx,2024-04-22T14:00:20,2024-04-22T16:59:20,2.9833333333333334,359,188.2710457632312,381.636667,-105.645641,11,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_018,4月23日13_00_4月23日18_00.xlsx,2024-04-23T13:05:22,2024-04-23T17:59:22,4.9,589,330.2324455008489,770.075733,41.03338,0,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_019,4月24日07_00_4月24日17_00.xlsx,2024-04-24T07:00:23,2024-04-24T16:59:53,9.991666666666667,1200,195.57672778833333,701.068267,0.0,0,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_020,4月25日08_00_4月25日18_00.xlsx,2024-04-25T08:00:26,2024-04-25T17:59:56,9.991666666666667,1200,182.16465540250002,733.8372,-109.806399,137,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_021,4月28日08_00_4月28日12_00.xlsx,2024-04-28T08:00:04,2024-04-28T11:59:34,3.9916666666666667,480,192.55035170833332,650.2504,-108.08,45,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_022,4月29日08_00_4月29日18_00.xlsx,2024-04-29T08:00:07,2024-04-29T17:58:07,9.966666666666667,1197,185.23580786883872,727.0949,-107.3331,50,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
