feature,representation,count,missing_count,min,max,mean,std,p01,p05,p50,p95,p99,near_zero_variance
soc,physical,23122,0,0.36725,0.9759166666666667,0.7034029603840498,0.1297178508891899,0.4466841666666667,0.5010833333333333,0.6975833333333333,0.9187500000000001,0.9572325000000002,False
fc_power_kw,physical,23122,0,0.0,437.0,111.54164864631088,131.28692195793363,0.0,0.0,48.0,394.0,426.0,False
previous_fc_power_kw,physical,23122,0,0.0,437.0,111.47850531960903,131.2665804302082,0.0,0.0,48.0,394.0,426.0,False
battery_power_kw,physical,23122,0,-318.3623,847.568,123.2298676582908,166.62051884195023,-233.050763,-108.406643,68.356175,445.33183,615.5920630000002,False
load_power_kw,physical,23122,0,0.007374,1103.8994,234.7715163046017,213.31070582963903,0.023155810000000002,32.28589225,152.10225,648.78056,824.7053190000001,False
recent_load_mean_kw,physical,23122,0,0.013452999999999998,1102.1710833333334,235.12344931526252,209.79792188901357,0.0235251,33.20472111666667,156.30036666666666,642.5284075,814.5020408333336,False
recent_load_population_std_kw,physical,23122,0,0.0,431.96167600420523,17.85558578023829,34.00111654394103,0.0012388264682622607,0.4387388379281326,5.50040513298691,89.69845650722046,170.55767440953568,False
recent_load_trend_kw_per_s,physical,23122,0,-7.214004752380952,6.921905523809523,-0.002917659780736557,0.5796589696329364,-2.2305731344761903,-0.6567393952380953,-8.281428571428572e-06,0.7201933995238096,2.047775650000003,False
base_load_kw,physical,23122,0,0.013024299376999414,1099.2426042679322,235.00906048943892,208.2583921794643,0.054409088577058125,33.3314464806342,158.8326629468517,639.9956689722575,808.23205197735,False
recent_delta_soc,physical,23122,0,-0.034916666666666596,0.007249999999999979,-0.0028611928033907097,0.003808930835763724,-0.01416666666666666,-0.009999999999999898,-0.001583333333333381,0.0023291666666665927,0.0050000000000000044,False
delta_load_kw,physical,23122,0,-671.453915008612,428.05949760732915,-0.23754418483726322,38.8166464005773,-146.32266029105352,-42.78818020286917,-0.22765489788980986,45.7639669579063,129.39464257751854,False
delta_fc_kw,physical,23122,0,-230.0,144.0,0.0631433267018424,8.268010357683439,-14.0,-2.0,0.0,2.0,23.0,False
measured_power_balance_residual_kw,physical,23122,0,-1.1368683772161603e-13,1.1368683772161603e-13,8.243038786459924e-16,1.6244178242003957e-14,-5.684341886080802e-14,-2.842170943040401e-14,0.0,2.842170943040401e-14,5.684341886080802e-14,True
soc,normalized,23122,0,0.36725,0.9759166666666667,0.7034029603840498,0.1297178508891899,0.4466841666666667,0.5010833333333333,0.6975833333333333,0.9187500000000001,0.9572325000000002,False
fuel_cell_power_fraction,normalized,23122,0,0.0,0.7283333333333334,0.18590274774385146,0.218811536596556,0.0,0.0,0.08,0.6566666666666666,0.71,False
previous_fuel_cell_power_fraction,normalized,23122,0,0.0,0.7283333333333334,0.18579750886601507,0.21877763405034698,0.0,0.0,0.08,0.6566666666666666,0.71,False
battery_power_fraction,normalized,23122,0,-0.2550979967948718,0.6791410256410256,0.09874188113645097,0.13351003112335755,-0.1867393934294872,-0.08686429727564103,0.05477257612179487,0.35683640224358976,0.4932628709935899,False
load_power_fraction,normalized,23122,0,1.2290000000000001e-05,1.8398323333333333,0.3912858605076695,0.35551784304939843,3.859301666666667e-05,0.053809820416666675,0.25350375,1.0813009333333334,1.3745088650000004,False
recent_load_mean_fraction,normalized,23122,0,2.2421666666666662e-05,1.8369518055555556,0.3918724155254375,0.3496632031483559,3.92085e-05,0.05534120186111111,0.2605006111111111,1.0708806791666665,1.3575034013888894,False
recent_load_population_std_fraction,normalized,23122,0,0.0,0.7199361266736753,0.029759309633730482,0.05666852757323505,2.064710780437101e-06,0.0007312313965468877,0.009167341888311517,0.1494974275120341,0.28426279068255944,False
recent_load_window_trend_fraction,normalized,23122,0,-1.8035011880952379,1.7304763809523804,-0.0007294149451841392,0.1449147424082341,-0.5576432836190476,-0.16418484880952383,-2.070357142857143e-06,0.1800483498809524,0.5119439125000007,False
causal_base_load_fraction,normalized,23122,0,2.1707165628332356e-05,1.8320710071132202,0.39168176748239825,0.3470973202991071,9.068181429509687e-05,0.055552410801057,0.26472110491141954,1.0666594482870957,1.3470534199622501,False
recent_delta_soc,normalized,23122,0,-0.034916666666666596,0.007249999999999979,-0.0028611928033907097,0.003808930835763724,-0.01416666666666666,-0.009999999999999898,-0.001583333333333381,0.0023291666666665927,0.0050000000000000044,False
load_residual_fraction,normalized,23122,0,-1.1190898583476865,0.7134324960122153,-0.000395906974728772,0.06469441066762882,-0.2438711004850892,-0.07131363367144862,-0.0003794248298163498,0.07627327826317716,0.21565773762919757,False
fuel_cell_delta_fraction,normalized,23122,0,-0.38333333333333336,0.24,0.00010523887783640397,0.013780017262805732,-0.023333333333333334,-0.0033333333333333335,0.0,0.0033333333333333335,0.03833333333333333,False
