,soc,fuel_cell_power_fraction,previous_fuel_cell_power_fraction,battery_power_fraction,load_power_fraction,recent_load_mean_fraction,recent_load_population_std_fraction,recent_load_window_trend_fraction,causal_base_load_fraction,recent_delta_soc,load_residual_fraction,fuel_cell_delta_fraction,speed_fraction
soc,1.0,-0.20428373803893224,-0.20808766490252242,0.23789977618124344,0.04640155201699531,0.01969891382149151,0.04287771568825881,0.12108438956381562,0.01993042021874675,-0.1932143971740274,0.1360472982748727,0.07093659730910518,-0.07282246165626248
fuel_cell_power_fraction,-0.20428373803893224,1.0,0.9986520544110042,-0.002816065768110556,0.6528050364288143,0.6774997004986265,0.17253482114871424,-0.046606875968323455,0.6821907842107767,-0.020073627523535257,-0.05606334079879624,0.037209257148599705,0.47688097587300793
previous_fuel_cell_power_fraction,-0.20808766490252242,0.9986520544110042,1.0,-0.005837208914275848,0.649633530783251,0.6748167285836996,0.17341875725124284,-0.04924158083261843,0.6794326366225847,-0.015095554526404462,-0.05851769876507772,-0.014709426909425128,0.4756515118375009
battery_power_fraction,0.23789977618124344,-0.002816065768110556,-0.005837208914275848,1.0,0.7556845993052871,0.6957201055378798,0.06231042721177676,0.30762340849386716,0.7040462940247225,-0.9252498886581665,0.3550780449949467,0.058133825525307846,0.6063372386897511
load_power_fraction,0.04640155201699531,0.6528050364288143,0.649633530783251,0.7556845993052871,1.0,0.9707465884563102,0.1601888097064828,0.20251730853425803,0.980126377926739,-0.714047899087247,0.2322734947310516,0.06840938388248977,0.7716362895088192
recent_load_mean_fraction,0.01969891382149151,0.6774997004986265,0.6748167285836996,0.6957201055378798,0.9707465884563102,1.0,0.18283713764418116,-0.0030501848167488995,0.9980385005707729,-0.7351856095406583,-0.0029286863152301265,0.05928173178533664,0.7832666239444882
recent_load_population_std_fraction,0.04287771568825881,0.17253482114871424,0.17341875725124284,0.06231042721177676,0.1601888097064828,0.18283713764418116,1.0,-0.07140862243110203,0.17996682981387974,-0.09144203786629167,-0.07537545650933943,-0.015075952160629286,0.15111831594572042
recent_load_window_trend_fraction,0.12108438956381562,-0.046606875968323455,-0.04924158083261843,0.30762340849386716,0.20251730853425803,-0.0030501848167488995,-0.07140862243110203,1.0,0.04027390225266791,-0.03343878465167846,0.8228032531105943,0.05020082341169614,0.06165377377150517
causal_base_load_fraction,0.01993042021874675,0.6821907842107767,0.6794326366225847,0.7040462940247225,0.980126377926739,0.9980385005707729,0.17996682981387974,0.04027390225266791,1.0,-0.7277722084933302,0.03470870925522511,0.06078188543195864,0.7840571550924075
recent_delta_soc,-0.1932143971740274,-0.020073627523535257,-0.015095554526404462,-0.9252498886581665,-0.714047899087247,-0.7351856095406583,-0.09144203786629167,-0.03343878465167846,-0.7277722084933302,1.0,-0.028983882303183064,-0.0960679259033385,-0.6220091646061133
load_residual_fraction,0.1360472982748727,-0.05606334079879624,-0.05851769876507772,0.3550780449949467,0.2322734947310516,-0.0029286863152301265,-0.07537545650933943,0.8228032531105943,0.03470870925522511,-0.028983882303183064,1.0,0.04662218073981913,0.04313950792284904
fuel_cell_delta_fraction,0.07093659730910518,0.037209257148599705,-0.014709426909425128,0.058133825525307846,0.06840938388248977,0.05928173178533664,-0.015075952160629286,0.05020082341169614,0.06078188543195864,-0.0960679259033385,0.04662218073981913,1.0,0.02903913938544502
speed_fraction,-0.07282246165626248,0.47688097587300793,0.4756515118375009,0.6063372386897511,0.7716362895088192,0.7832666239444882,0.15111831594572042,0.06165377377150517,0.7840571550924075,-0.6220091646061133,0.04313950792284904,0.02903913938544502,1.0
