,soc,fuel_cell_power_fraction,previous_fuel_cell_power_fraction,battery_power_fraction,load_power_fraction,recent_load_mean_fraction,recent_load_population_std_fraction,recent_load_window_trend_fraction,causal_base_load_fraction,recent_delta_soc,load_residual_fraction,fuel_cell_delta_fraction,speed_fraction
soc,1.0,-0.17473808370885277,-0.1794469185347628,0.2273832339014397,0.07037714019999136,0.04334365292781627,0.03613312820268299,0.13978404755643462,0.04411840130559334,-0.1792106944051541,0.19397442607610257,0.06091420571228049,-0.07921599483954245
fuel_cell_power_fraction,-0.17473808370885277,1.0,0.9967558400849015,0.0854986561670704,0.664997709448603,0.6850102948602502,0.35246506599471933,-0.023733215474625393,0.6878282959659883,-0.0943003036220415,-0.02850951924265917,0.08427609370850685,0.48980322031075413
previous_fuel_cell_power_fraction,-0.1794469185347628,0.9967558400849015,1.0,0.08215296465056413,0.6619142399956226,0.6824364935689246,0.3510032827110294,-0.027966125201980455,0.6851989413648253,-0.09025832605419794,-0.034049447706897495,0.05278903726666717,0.48836614009928053
battery_power_fraction,0.2273832339014397,0.0854986561670704,0.08215296465056413,1.0,0.7775815070766502,0.7289721229630711,0.324826543193078,0.2131619326274742,0.7363531145429988,-0.9308431248757159,0.3004926377190726,0.05216481428880331,0.6382976854904719
load_power_fraction,0.07037714019999136,0.664997709448603,0.6619142399956226,0.7775815070766502,1.0,0.9747297835918183,0.47050732957054703,0.1455445700965863,0.9821020423967426,-0.7377028476463319,0.20398836464970038,0.08620761841845559,0.7680479358910084
recent_load_mean_fraction,0.04334365292781627,0.6850102948602502,0.6824364935689246,0.7289721229630711,0.9747297835918183,1.0,0.48044057272577095,0.009503958057957798,0.9979520914485032,-0.7560336177870741,0.05931561012613064,0.08266665962026096,0.7744610444687248
recent_load_population_std_fraction,0.03613312820268299,0.35246506599471933,0.3510032827110294,0.324826543193078,0.47050732957054703,0.48044057272577095,1.0,0.02679085341723741,0.4815195479558172,-0.33254271961818443,0.011765139212637991,0.022358926831626554,0.38128973399122107
recent_load_window_trend_fraction,0.13978404755643462,-0.023733215474625393,-0.027966125201980455,0.2131619326274742,0.1455445700965863,0.009503958057957798,0.02679085341723741,1.0,0.035674460645428105,-0.03096174604291357,0.7132052594420064,0.05136775834817364,0.030752496496493066
causal_base_load_fraction,0.04411840130559334,0.6878282959659883,0.6851989413648253,0.7363531145429988,0.9821020423967426,0.9979520914485032,0.4815195479558172,0.035674460645428105,1.0,-0.7508351154647632,0.07602852734561483,0.08321465518320867,0.7763894896703329
recent_delta_soc,-0.1792106944051541,-0.0943003036220415,-0.09025832605419794,-0.9308431248757159,-0.7377028476463319,-0.7560336177870741,-0.33254271961818443,-0.03096174604291357,-0.7508351154647632,1.0,-0.0997289008972192,-0.07165706645812873,-0.6455074452231182
load_residual_fraction,0.19397442607610257,-0.02850951924265917,-0.034049447706897495,0.3004926377190726,0.20398836464970038,0.05931561012613064,0.011765139212637991,0.7132052594420064,0.07602852734561483,-0.0997289008972192,1.0,0.06409716751024551,0.07402415443144586
fuel_cell_delta_fraction,0.06091420571228049,0.08427609370850685,0.05278903726666717,0.05216481428880331,0.08620761841845559,0.08266665962026096,0.022358926831626554,0.05136775834817364,0.08321465518320867,-0.07165706645812873,0.06409716751024551,1.0,0.0440738481960684
speed_fraction,-0.07921599483954245,0.48980322031075413,0.48836614009928053,0.6382976854904719,0.7680479358910084,0.7744610444687248,0.38128973399122107,0.030752496496493066,0.7763894896703329,-0.6455074452231182,0.07402415443144586,0.0440738481960684,1.0
