parent,sample_id,split,affected_point_count,start,end,speed_min_kn,speed_median_kn,speed_max_kn,load_min_kw,load_median_kw,load_max_kw,fc_median_kw,battery_bus_median_kw,complete_raw_bms_point_count,all_12_raw_bms_charging_point_count,mixed_raw_bms_direction_point_count,raw_bms_unavailable_point_count,raw_speed_point_count,interpolated_speed_point_count,raw_power_anchor_point_count,interpolated_power_point_count
4月25日08_00_4月25日18_00,zero_boundary_014,train,4,2024-04-25T15:36:26+08:00,2024-04-25T15:37:56+08:00,0.1053033806983038,0.1676953755285122,0.2477476901377683,-27.770863843290435,-15.817837197462076,-3.052960463544553,38.31789890172489,-55.76257349051886,0,0,0,4,0,4,0,4
5月14日12_00_5月14日19_00,zero_boundary_023,train,18,2024-05-14T15:06:23+08:00,2024-05-14T15:26:53+08:00,1.0,1.9,6.4,-121.0018,-81.24385000000001,-41.6722,183.0,-259.302,18,18,0,0,18,0,18,0
5月15日08_00_5月15日17_00,zero_boundary_024,validation,78,2024-05-15T11:08:25+08:00,2024-05-15T14:07:55+08:00,0.2,1.9,7.5,-116.87169999999998,-64.8419,-8.411180000000002,172.0,-231.4684,78,77,1,0,78,0,78,0
5月17日08_00_5月17日18_00,zero_boundary_025,train,11,2024-05-17T09:23:28+08:00,2024-05-17T16:30:58+08:00,3.9,8.5,12.0,-63.425604207407446,-29.295864925957144,-6.085640601481501,170.00651851851853,-192.52913446090795,11,11,0,0,11,0,0,11
5月20日08_00_5月20日18_00,zero_boundary_026,train,39,2024-05-20T08:25:34+08:00,2024-05-20T16:14:34+08:00,0.1006249963831018,1.9,7.7,-101.2727,-65.12620000000001,-29.0043,106.0,-170.656,33,33,0,6,28,11,39,0
5月21日05_00_5月21日11_00,zero_boundary_027,validation,8,2024-05-21T07:43:35+08:00,2024-05-21T07:47:05+08:00,1.8,1.8,4.8,-100.2646,-95.66929999999999,-59.76589999999999,143.0,-238.66930000000002,8,8,0,0,8,0,8,0
5月24日08_00_5月24日19_00,zero_boundary_028,train,49,2024-05-24T09:46:42+08:00,2024-05-24T12:28:42+08:00,0.2,1.6,10.3,-85.64398011555562,-53.47480121138755,-1.8553778626178463,171.99674074074076,-225.7965983703704,49,49,0,0,49,0,0,49
5月29日14_00_5月29日17_00,zero_boundary_030,train,18,2024-05-29T15:14:57+08:00,2024-05-29T15:29:57+08:00,4.8,6.2,8.9,-34.34568,-13.137774999999998,-1.0296299999999974,75.0,-87.137775,18,10,8,0,18,0,18,0
5月30日05_00_5月30日17_00,zero_boundary_031,train,59,2024-05-30T10:05:58+08:00,2024-05-30T15:46:28+08:00,0.2,1.9,12.3,-139.1036674804454,-70.29060153142291,-1.4385704592592674,75.0,-147.88884079585185,59,36,23,0,59,0,0,59
6月20日08_00_6月20日16_00,zero_boundary_039,train,7,2024-06-20T09:12:08+08:00,2024-06-20T09:15:08+08:00,0.1352940675082692,0.3508882871169954,0.5410698675193265,-16.118896439433975,-12.611925975205724,-4.655882927383303,0.0,-12.611925975205724,0,0,0,7,0,7,7,0
