parent,sample_id,split,source_relative_path,source_sha256,point_count,duration_s,minimum_kw,maximum_kw,mean_kw,y_min_kw,y_max_kw,image_relative_path
3月27日07_00_3月27日11_00,zero_boundary_002,train,train/zero_boundary_002.csv,e18e7ed56d7c0d8b90ae71b0b7ce14b25dd71a63aff7af9f0b98f188730dd2dd,12169,12168.0,0.0,811.0917,282.5837431895589,-40.554585,851.6462849999999,train/zero_boundary_002.png
4月3日08_00_4月3日11_00,zero_boundary_005,train,train/zero_boundary_005.csv,a27b6754c30c178b73f189c1126f843dbc6255f811f9e9ff54b70024d43d5f49,9259,9258.0,0.0,646.8333,324.86886014331577,-32.341665,679.174965,train/zero_boundary_005.png
4月8日08_00_4月8日12_00,zero_boundary_006,train,train/zero_boundary_006.csv,38f715e4d8af698ddac0e5496a0b5fbeb1e2af6c4457ca1f29eee4050906223c,10551,10550.0,0.0,573.5695,125.34669020548601,-28.678475,602.247975,train/zero_boundary_006.png
4月9日08_00_4月9日11_00,zero_boundary_007,train,train/zero_boundary_007.csv,42007cd96902b83aa6e0e6ad4b057f7543f52ce571c6c0ffb5d0d1d0171704cb,8749,8748.0,-6.889550666583084,511.5353,271.6176139461731,-32.81079319991224,537.4565425333292,train/zero_boundary_007.png
4月12日08_00_4月12日16_00,zero_boundary_008,train,train/zero_boundary_008.csv,d077451727123193e5820e2dc2fa4a9ea89173557a5e13bac395772f2c445d80,22857,22856.0,0.0,951.936,309.90267521156176,-47.5968,999.5328000000001,train/zero_boundary_008.png
4月17日07_00_4月17日17_00,zero_boundary_011,train,train/zero_boundary_011.csv,5b4630a23f841153a7ff68dd7db43fe20eb5555952d8e1757b52fe34a129cb82,24937,24936.0,-109.444882,754.4027000000001,227.4808545030452,-152.63726110000002,797.5950791000001,train/zero_boundary_011.png
4月22日14_00_4月22日17_00,zero_boundary_013,train,train/zero_boundary_013.csv,a900f41df34e2d024642412e07a6f541c97133c5b52784b2f23ef11922aacaa5,10309,10308.0,0.0,630.6029,223.3926336634495,-31.530145,662.1330449999999,train/zero_boundary_013.png
4月28日08_00_4月28日12_00,zero_boundary_015,train,train/zero_boundary_015.csv,1031e7458155f93563a68db82a51c6c57334fd0f00a65f1fb05920d7795f88d8,10116,10115.0,0.0,1103.8994,422.44954444354204,-55.194970000000005,1159.09437,train/zero_boundary_015.png
4月30日08_00_4月30日15_00,zero_boundary_016,train,train/zero_boundary_016.csv,c61b80b65d2478888d2a11a6255e73e883fbb720be4c93b5c01962fcb3a718ce,21071,21070.0,0.0,835.2338,348.71147199499643,-41.76169,876.99549,train/zero_boundary_016.png
5月7日08_00_5月7日18_00,zero_boundary_017,train,train/zero_boundary_017.csv,72ee87bf57e89cd9b3a1eae65ba394057f809d92bb37883c9ee49b7b365e8c32,29774,29773.0,-97.23942307455256,896.4362,307.1838406435957,-146.92320422828018,946.1199811537276,train/zero_boundary_017.png
