time,temp,GHI,GHI90,GHI10,collected
2021-02-10 12:30:00,-6,128,263,13,2021-02-10 12:00:00
2021-02-10 12:40:00,-6,150,246,43,2021-02-10 12:00:00
2021-02-10 12:50:00,-6,150,246,43,2021-02-10 12:00:00
2021-02-10 13:00:00,-6,150,246,43,2021-02-10 12:00:00
2021-02-10 13:10:00,-5,141,221,44,2021-02-10 12:00:00
2021-02-10 13:20:00,-5,141,221,44,2021-02-10 12:00:00
2021-02-10 13:30:00,-5,141,221,44,2021-02-10 12:00:00
2021-02-10 13:40:00,-5,125,189,49,2021-02-10 12:00:00
2021-02-10 13:50:00,-5,125,189,49,2021-02-10 12:00:00
2021-02-10 14:00:00,-5,125,189,49,2021-02-10 12:00:00
2021-02-10 14:10:00,-6,108,147,39,2021-02-10 12:00:00
2021-02-10 14:20:00,-6,108,147,39,2021-02-10 12:00:00
2021-02-10 14:30:00,-6,108,147,39,2021-02-10 12:00:00
2021-02-10 14:40:00,-6,67,95,21,2021-02-10 12:00:00
2021-02-10 14:50:00,-6,67,95,21,2021-02-10 12:00:00
2021-02-10 15:00:00,-6,67,95,21,2021-02-10 12:00:00
2021-02-10 15:10:00,-7,29,46,6,2021-02-10 12:00:00
2021-02-10 15:20:00,-7,29,46,6,2021-02-10 12:00:00
2021-02-10 15:30:00,-7,29,46,6,2021-02-10 12:00:00
2021-02-10 15:40:00,-8,3,6,0,2021-02-10 12:00:00
2021-02-10 15:50:00,-8,3,6,0,2021-02-10 12:00:00
2021-02-10 16:00:00,-8,3,6,0,2021-02-10 12:00:00
2021-02-10 16:10:00,-8,0,0,0,2021-02-10 12:00:00
2021-02-10 16:20:00,-8,0,0,0,2021-02-10 12:00:00
2021-02-10 16:30:00,-8,0,0,0,2021-02-10 12:00:00
2021-02-10 16:40:00,-8,0,0,0,2021-02-10 12:00:00
2021-02-10 16:50:00,-8,0,0,0,2021-02-10 12:00:00
2021-02-10 17:00:00,-8,0,0,0,2021-02-10 12:00:00
2021-02-10 17:10:00,-8,0,0,0,2021-02-10 12:00:00
2021-02-10 17:20:00,-8,0,0,0,2021-02-10 12:00:00
